img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.infusionsoft.com/,954,0.0,,,,,
we-learn-always.png,2806,2604.0,2984.0,2956.0,2832.0,2738.0,2634
easy_automations_with_keap_video.jpg,4345,3922.0,9994.0,9524.0,8024.0,6502.0,4672
sales_pipeline-card1.png,2844,2416.0,5380.0,5102.0,4466.0,3824.0,2910
payment_not_blue.png,2345,2142.0,4884.0,4742.0,4202.0,3488.0,2658
dashboard_but_tiny-card3.png,2046,1774.0,4620.0,4504.0,3822.0,3196.0,2302
left.jpg,2488,2294.0,4478.0,4296.0,3468.0,2758.0,2314
right.jpg,2987,2714.0,5252.0,4954.0,4080.0,3228.0,2730
integrations-chart.png,27103,26872.0,45674.0,44054.0,40262.0,35652.0,30140
playbook_image.png,2664,2464.0,6240.0,5882.0,5194.0,4304.0,3172
Migration_SPV.jpg,3198,2998.0,9076.0,8580.0,7334.0,5644.0,3732
general-contact.png,1896,1442.0,1888.0,1862.0,1774.0,1644.0,1502
two-people.png,2277,2032.0,2754.0,2718.0,2578.0,2372.0,2164
easy_automations_with_keap_video.jpg,120912,120540.0,9994.0,9524.0,8024.0,6502.0,4672
sales_pipeline-card1.png,31544,31266.0,5380.0,5102.0,4466.0,3824.0,2910
payment_not_blue.png,27164,26882.0,4884.0,4742.0,4202.0,3488.0,2658
dashboard_but_tiny-card3.png,29962,29680.0,4620.0,4504.0,3822.0,3196.0,2302
integrations-chart.png,531840,530832.0,45674.0,44054.0,40262.0,35652.0,30140
?id=781106771899801&ev=PageView&dl=https%3A%2F%2Fkeap.com%2F&rl=&if=false&ts=1650729715720&sw=360&sh=640&v=2.9.57&r=stable&a=tmtealium&ec=0&o=30&fbp=fb.1.1650729715717.289811967&it=1650729715517&coo=f,297,44.0,,,,,
pixel;r=329838842;source=TLM;rf=3;a=p-rF1-jwXQgaCaS;url=https%3A%2F%2Fkeap.com%2F;uht=2;fpan=1;fpa=P0-1495580464-1650729715970;pbc=;ns=0;ce=1;qjs=1;qv=a98acd33-20220316110313;cm=;gdpr=0;ref=;d=keap.co,373,35.0,,,,,
?id=781106771899801&ev=Microdata&dl=https%3A%2F%2Fkeap.com%2F&rl=&if=false&ts=1650729716224&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%2,91,44.0,,,,,
identify?amp=f763a44d-eceb-410f-982e-03353a355737R,377,43.0,72.0,72.0,72.0,72.0,72
identify?amp=f763a44d-eceb-410f-982e-03353a355737R,377,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=474910115&t=event&ni=1&_s=2&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=474910115&t=event&ni=1&_s=2&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=474910115&t=pageview&_s=1&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=36,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=474910115&t=pageview&_s=1&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=36,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=474910115&t=timing&_s=2&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=360x,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=474910115&t=timing&_s=2&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=360x,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=474910115&t=event&ni=1&_s=3&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=474910115&t=event&ni=1&_s=3&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=,55,35.0,44.0,44.0,44.0,44.0,44
pixel;r=1323320376;event=rule;labels=_fp.event.KEAP%20Homepage;rf=0;a=p-rF1-jwXQgaCaS;url=https%3A%2F%2Fkeap.com%2F;uht=2;fpan=0;fpa=P0-1495580464-1650729715970;pbc=;ns=0;ce=1;qjs=1;qv=a98acd33-202203,210,35.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-67121508-31&cid=1510879607.1650729716&jid=696878173&_u=YGBACUAABAAAAC~&z=990036990,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-67121508-31&cid=1510879607.1650729716&jid=696878173&_u=YGBACUAABAAAAC~&z=990036990,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-67121508-30&cid=1510879607.1650729716&jid=750608144&_u=aHDACUABBAAAAC~&z=314495284,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-67121508-30&cid=1510879607.1650729716&jid=750608144&_u=aHDACUABBAAAAC~&z=314495284,107,42.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=474910115&t=event&ni=1&_s=4&dl=https%3A%2F%2Fkeap.com%2F&ul=en-us&de=UTF-8&dt=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&sd=24-bit&sr=,55,35.0,44.0,44.0,44.0,44.0,44
sp.pl?a=10000&d=Sat%2C%2023%20Apr%202022%2016%3A01%3A57%20GMT&n=-5&b=Keap%C2%AE%20(fka%20Infusionsoft)%20%7C%20CRM%2C%20Sales%20%26%20Marketing%20Automation&.yp=10136322&f=https%3A%2F%2Fkeap.com%2F&en,0,0.0,44.0,44.0,44.0,44.0,44
?random=1650729716933&cv=9&fst=1650729600000&num=1&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=e,154,42.0,,,,,
?random=1650729716933&cv=9&fst=1650729600000&num=1&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=e,548,42.0,,,,,
?random=1650729716930&cv=9&fst=1650729600000&num=1&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=e,108,42.0,,,,,
