img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.intipseleb.com/,17790,104235.0,,,,,
logo-intipselebnew.png?v=2.3.36,3261,2716.0,3870.0,3786.0,3468.0,3070.0,2602
6262d91c90055-fajar-nugros_373_280.jpg,21696,21213.0,6328.0,5620.0,4444.0,3416.0,2306
62631813e230b-sahurnya-pesbukers_373_280.jpg,66811,66311.0,27178.0,25964.0,21244.0,16426.0,10602
6261ff9dc8f0c-viola-maria-istri-daniel-mananta_373_280.jpg,27142,26689.0,7716.0,6772.0,5058.0,3650.0,2284
6262cdd49bbfe-pemain-film-srimulat-hil-yang-mustahal_373_280.jpg,38895,38395.0,13918.0,11788.0,9026.0,6814.0,4266
6262d8546a794-keluarga-fairuz-arafiq-dan-sonny-septian_373_280.jpg,40524,40054.0,12932.0,11886.0,9570.0,7050.0,4524
6262d7bf8e5e8-wulan-guritno-dan-sabda-ahessa_373_280.jpeg,32846,32149.0,10308.0,8640.0,6700.0,5104.0,3168
626268b1939ae-audi-marissa-marcell-siahaan_373_280.jpg,38257,37550.0,13156.0,11326.0,8676.0,6850.0,4020
vlh-live.svg?v=2.3.36,1510,1499.0,,,,,
6262df49e0f35-mackenyu-arata_375_211.JPG,22753,22040.0,7362.0,7002.0,5556.0,3746.0,2010
61b6a5f4639fa-aditya-zoni-yasmine_375_211.jpg,32573,31866.0,13156.0,12216.0,9762.0,6904.0,3806
6262e82310973-kiky-saputri_375_211.jpg,37483,36775.0,14760.0,14058.0,11178.0,7952.0,4568
6262d7836faac-nadine-chandrawinata_375_211.jpg,21605,20901.0,6744.0,6312.0,5032.0,3726.0,2336
6262bbaa44be0-viviz_375_211.jpeg,33366,32659.0,11472.0,10942.0,8488.0,6320.0,3904
6262b4e104b14-kang-ha-neul-ha-ji-won-dan-jung-hae-in_375_211.jpeg,28161,27456.0,8336.0,7930.0,6150.0,4650.0,3020
6262ab26c003e-ryan-delon-dan-sea_375_211.jpg,34163,33457.0,11992.0,11390.0,8806.0,6508.0,3832
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Berita%20Gosip%20Artis%20Terbaru%20Indonesia%20dan%20Dunia%20-%20IntipSeleb&time=1650671941406&time_zone_offset=-300&screen_params=360x640x24&j,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
6262abcf9ae6d-syakir-daulay_375_211.jpg,17513,16806.0,5166.0,4872.0,4036.0,2916.0,1842
b2?c1=2&c2=8429568&ns__t=1650671941138&ns_c=UTF-8&c8=Berita%20Gosip%20Artis%20Terbaru%20Indonesia%20dan%20Dunia%20-%20IntipSeleb&c7=https%3A%2F%2Fwww.intipseleb.com%2F&c9=,190,0.0,,,,,
62624a6a6b46e-lucinta-luna_375_211.jpeg,26297,25598.0,7698.0,7200.0,5730.0,4288.0,2766
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-1Z84NXSN5J&cid=404271833.1650671941&gtm=2oe4k0&aip=1&z=1141068160,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-158108765-1&cid=404271833.1650671941&jid=221422047&_u=aEDAAEABAAAAAC~&z=2011589543,324,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-158108765-1&cid=404271833.1650671941&jid=221422047&_u=aEDAAEABAAAAAC~&z=2011589543,501,42.0,72.0,72.0,72.0,72.0,72
l?ebcid=ALh7CaSO2F84XB0VP8ewOpz3bfBJjIkakZh_j4mdVAh-MCbCrqEXM_qUVOwRTRw40GVPkOUp4RoBA7BOikuBOlMj8CMUB63jMQ,0,0.0,,,,,
6888572332517050249,37832,37696.0,4426.0,4264.0,3496.0,2658.0,1756
l?ebcid=ALh7CaSLwR0WnR16WXD7UlwYbldC6SUXRKXuKQL7r9hjQ6FegSkWvCj7We8XOfc51xaNii7ZLIKlWdqRkt3NJfRVpSpKDYT8hg,0,0.0,,,,,
15530323760968536553,131476,131285.0,10282.0,9682.0,7788.0,5940.0,3808
l?ebcid=ALh7CaSzOrrz1OD39EE3SPdAxogxlAaxs-pUYPGLoj_zijswLXExqmvuIreRp-FKiM6SnEip9pImk3vEM5T3fhXbOCbianE4Cg,0,0.0,,,,,
17780725117051513477,34685,34314.0,3206.0,3010.0,2430.0,1836.0,1186
pageTransferSize,1595336,,,,,,
totalByteWeight,3164115,,,,,,
