img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.investopedia.com/,35521,153765.0,,,,,
snapchat_shutterstock_433696099-082b6df3d4574cdfad42c70572a19f4f.jpg,13814,13604.0,5432.0,5198.0,4132.0,2992.0,2110
IndexETFs-94b08e8fadc3408da600fa78b25c1470.jpg,29241,29014.0,11920.0,11564.0,9138.0,6404.0,4258
InvescoImage1-6b370ae24d184d6dba16765bf51d3aed.jpg,9578,9056.0,8116.0,7724.0,6136.0,4318.0,2930
homepageimage-f37ab46ed3054cc999c6873db3f3736d.jpeg,6857,6648.0,5878.0,5594.0,4484.0,3078.0,2018
INV-Exp-180-ETFs-Thumbnail-773444928b0842de83ddc2fc9449bfaf.png,13173,12952.0,11754.0,11258.0,9406.0,6798.0,4748
INV-Exp-188-WhyBitcoinsHaveValue-Thumbnail-b9bcd48b42f3439183ac9b2b2073a677.png,18860,18644.0,16974.0,16246.0,13410.0,9246.0,6242
INV-Exp-179-CalculateHomeEquity-Thumbnail-b411e2ba64c04ba6a23e3cfcf471eb41.png,11491,10994.0,9902.0,9468.0,7546.0,5366.0,3682
sparkline-1.svg,568,382.0,,,,,
sparkline-2.svg,327,381.0,,,,,
sparkline-3.svg,773,384.0,,,,,
bitcoinondollarbill-ca582846c4c94e5da27573e328ace89c.jpg,15213,14892.0,13310.0,12906.0,10390.0,7698.0,5332
Thisv.That403bvs.RothIRA-3f405c5b8cf747f2aaea349a2d07bc10.jpg,5311,4894.0,4218.0,4020.0,3084.0,2238.0,1470
collect?v=1&_v=j96&aip=1&a=203059988&t=pageview&_s=1&dl=https%3A%2F%2Fs.tradingview.com%2Fembed-widget%2Ftickers%2F%3Flocale%3Den&dr=https%3A%2F%2Fwww.investopedia.com%2F&ul=en-us&de=UTF-8&dt=Tickers%,194,35.0,44.0,44.0,44.0,44.0,44
INV_FinancialLiteracyFinalImages_GenX-de63dcc85baf425dacfce009029834fb.jpg,6891,6582.0,6066.0,5776.0,4882.0,3592.0,2466
collect?v=1&_v=j96&a=1544266771&t=pageview&qt=0&_s=1&dl=https%3A%2F%2Fwww.investopedia.com%2F&dr=&dp=%2F&ul=en-us&de=UTF-8&dt=Investopedia%3A%20Sharper%20insight%2C%20better%20investing.&sd=24-bit&sr=,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-6319545-2&cid=671560416.1650636029&jid=1377742064&_u=YGDAgUABAAAAAG~&z=1558835854,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-6319545-2&cid=671560416.1650636029&jid=1377742064&_u=YGDAgUABAAAAAG~&z=1558835854,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-6319545-2&cid=671560416.1650636029&jid=470431859&_u=YEBAAUAAAAAAAC~&z=1238582137,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-6319545-2&cid=671560416.1650636029&jid=470431859&_u=YEBAAUAAAAAAAC~&z=1238582137,107,42.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=1544266771&t=event&ni=1&qt=0&_s=1&dl=https%3A%2F%2Fwww.investopedia.com%2F&dr=&dp=%2F&ul=en-us&de=UTF-8&dt=Investopedia%3A%20Sharper%20insight%2C%20better%20investing.&sd=24-bit&s,55,35.0,44.0,44.0,44.0,44.0,44
en.png,3088,2982.0,1746.0,1692.0,1468.0,1248.0,926
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
l?ebcid=ALh7CaQXrIubNW5Tk89dWNAeS6XohjzSnIgEkMU61p2OZJ47oVpyWiP9k5V6DVofb9HbNV9uTANWjmOw-TgbWXz_byY3JaR6eQ,0,0.0,,,,,
pixel?rt=displayImg&fmt=banner&s=4101628429&org=ZAw1vhR9FY3qWbxBRzir&p=googlesem&cmp=1653377667,297,35.0,,,,,
adview?ai=CqDNW_bRiYvHSO7mE2fcP8NG38A6M26WBaLu67trzCa6Dl42MDhABIKS3nRRgy9y0BaAB5aGy7APIAQHgAgCoAwGqBJACT9CqdaxPUcdpVlCuL_d3uCnArjr4yDhzZ7I7pBEtqDHi4AsPAH3l-cPeFykkw2tpXzkWDRLR6Mjyd-phgE6tCdskKfw4NHOqn,0,0.0,,,,,
si?st=NO_DATA,0,0.0,,,,,
b2?c1=2&c2=6036459&ns__t=1650636033541&ns_c=UTF-8&c8=&c7=https%3A%2F%2Fwww.investopedia.com%2F&c9=,190,0.0,,,,,
sync?ssp=themediagrid,0,0.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1188977,,,,,,
totalByteWeight,3504576,,,,,,
