img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.javatpoint.com/,21011,124383.0,,,,,
jtp_logo.png,1731,1413.0,1328.0,1330.0,1326.0,1326.0,1324
jtp_logo.png,1810,1413.0,1328.0,1330.0,1326.0,1326.0,1324
home.png,637,282.0,162.0,162.0,160.0,160.0,160
python.png,722,348.0,920.0,900.0,832.0,746.0,674
java.png,689,339.0,1170.0,1142.0,1070.0,964.0,850
js.png,942,400.0,208.0,206.0,204.0,204.0,204
html.png,1025,458.0,246.0,242.0,238.0,236.0,232
sql.png,891,326.0,192.0,192.0,192.0,192.0,192
php.png,1062,501.0,236.0,232.0,230.0,224.0,218
csharp.png,1910,1351.0,284.0,284.0,284.0,284.0,284
cpp.png,1903,1339.0,928.0,888.0,780.0,676.0,556
ds.png,1046,489.0,288.0,288.0,286.0,282.0,276
aptitude.png,989,428.0,1116.0,1082.0,960.0,832.0,708
reasoning.png,1044,483.0,1464.0,1424.0,1324.0,1194.0,1032
selenium.png,904,338.0,1112.0,1084.0,982.0,884.0,780
dbms.png,1098,540.0,1154.0,1110.0,996.0,862.0,726
c.png,1871,1271.0,254.0,254.0,254.0,254.0,254
android.png,873,310.0,184.0,184.0,184.0,184.0,184
interview.png,1057,489.0,274.0,274.0,274.0,274.0,274
javatpoint-training61.gif,44332,43759.0,96926.0,93276.0,81316.0,67160.0,48822
internship2.png,21546,20975.0,18178.0,17414.0,14522.0,11208.0,7648
rss1.png,1567,1005.0,622.0,598.0,534.0,450.0,360
mail1.png,1855,1292.0,484.0,476.0,422.0,366.0,298
facebook1.jpg,1078,514.0,464.0,452.0,398.0,338.0,292
twitter1.png,1154,586.0,318.0,314.0,282.0,252.0,222
youtube32.png,1230,668.0,646.0,616.0,536.0,458.0,366
blog.png,899,336.0,474.0,460.0,410.0,354.0,290
clear.png,1042,1018.0,128.0,128.0,128.0,128.0,128
generate_204,178,0.0,,,,,
generate_204,178,0.0,,,,,
collect?v=1&aip=1&t=dc&_r=3&tid=UA-24880427-1&cid=594498107.1650724162&jid=1245235350&_v=5.7.2&z=623379844,430,35.0,44.0,44.0,44.0,44.0,44
splunk.png,1327,768.0,820.0,796.0,722.0,610.0,502
spss.png,1160,598.0,688.0,664.0,588.0,476.0,374
swagger.png,1470,910.0,986.0,948.0,810.0,666.0,504
transact-sql.png,1553,988.0,192.0,192.0,192.0,192.0,192
tumblr.png,1239,674.0,956.0,930.0,830.0,734.0,608
react.png,1607,1046.0,1148.0,1106.0,964.0,806.0,586
regex.png,1293,728.0,906.0,864.0,760.0,658.0,530
r-programming.png,1585,1025.0,974.0,942.0,832.0,722.0,542
rxjs.png,1794,1223.0,208.0,206.0,204.0,204.0,204
react-native.png,1945,1379.0,1622.0,1590.0,1496.0,1334.0,1202
python-design-patterns.png,1496,935.0,818.0,798.0,720.0,636.0,536
python-pillow.png,2748,2184.0,1298.0,1260.0,1146.0,1014.0,866
python-turtle.png,2530,1971.0,1040.0,1020.0,946.0,842.0,746
keras.png,1147,583.0,738.0,724.0,652.0,550.0,448
artificial-intelligence.png,2533,1971.0,1090.0,1064.0,972.0,886.0,768
amazon-web-services.png,2363,1805.0,1564.0,1532.0,1422.0,1288.0,1150
selenium.png,2878,2321.0,1112.0,1084.0,982.0,884.0,780
cloud-computing.png,1715,1150.0,882.0,858.0,788.0,716.0,616
hadoop.png,2720,2160.0,1346.0,1310.0,1194.0,1066.0,938
reactjs.png,1936,1366.0,208.0,206.0,204.0,204.0,204
data-science.png,2373,1806.0,1690.0,1654.0,1546.0,1408.0,1234
angular7.png,2002,1442.0,1046.0,1018.0,936.0,840.0,742
blockchain.png,1544,973.0,1174.0,1164.0,1102.0,1026.0,928
git.png,1262,698.0,882.0,868.0,794.0,722.0,632
machine-learning.png,2555,1989.0,1390.0,1360.0,1258.0,1126.0,988
devops.png,2977,2414.0,1602.0,1568.0,1420.0,1208.0,1018
aptitude.png,2508,1945.0,1116.0,1082.0,960.0,832.0,708
reasoning.png,2507,1941.0,1464.0,1424.0,1324.0,1194.0,1032
verbal-ability.png,2545,1983.0,1196.0,1172.0,1072.0,952.0,818
interview-questions.png,2508,1938.0,1208.0,1166.0,1064.0,962.0,826
company-questions.png,2711,2142.0,1162.0,1124.0,1050.0,962.0,866
dbms.png,2728,2165.0,1154.0,1110.0,996.0,862.0,726
data-structures.png,2167,1607.0,1308.0,1278.0,1170.0,1060.0,944
daa.png,2770,2208.0,1306.0,1278.0,1154.0,1012.0,888
operating-system.png,2356,1792.0,1136.0,1108.0,1032.0,938.0,854
computer-network.png,2505,1944.0,1282.0,1258.0,1170.0,1074.0,980
compiler-design.png,3316,2753.0,904.0,862.0,736.0,594.0,464
computer-organization.png,2752,2189.0,1016.0,976.0,858.0,716.0,564
discrete-mathematics.png,2761,2196.0,1418.0,1380.0,1246.0,1118.0,972
ethical-hacking.png,0,0.0,768.0,738.0,650.0,542.0,418
computer-graphics.png,0,0.0,1788.0,1752.0,1602.0,1412.0,1202
pageTransferSize,396040,,,,,,
totalByteWeight,783929,,,,,,
