img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.jstor.org/,9901,62495.0,,,,,
jstor_homepagehero_nov2021_frank_cancian.webp,148136,147546.0,103092.0,91070.0,44076.0,31244.0,18434
jstor_homepagehero_nov2021_johannes_van_keulen.webp,299563,299132.0,228838.0,201354.0,147288.0,120290.0,75806
jstor_homepagehero_nov2021_egyptian_winged_scarab.webp,139198,138784.0,106644.0,98894.0,70642.0,53590.0,28954
jstor_homepagehero_nov2021_elizabeth_catlett.webp,95575,95098.0,68046.0,57234.0,37952.0,28942.0,17762
jstor_homepagehero_nov2021_georgia_okeeffe.webp,121315,120820.0,79888.0,60570.0,25896.0,18530.0,10378
10.2307_community.28564171.png,180071,179412.0,17352.0,16590.0,14234.0,11480.0,8124
10.2307_3343038.png,96002,95598.0,11008.0,10402.0,8596.0,6438.0,4334
10.2307_community.26313001.png,698,489.0,26468.0,25204.0,20612.0,16070.0,10402
10.2307_community.28561477.png,143,0.0,37550.0,35682.0,28972.0,22130.0,14536
how_the_public_health_community_prepares_for_pandemics.png,144,0.0,7018.0,6718.0,5690.0,4616.0,3552
10.2307_j.ctvndv4xh.png,132,0.0,7322.0,7038.0,5826.0,4590.0,3194
10.2307_community.29272683.png,162,0.0,17886.0,16898.0,13236.0,9120.0,5158
public-health-reports-1918-influenza-epidemic-NYC.png,233,0.0,21028.0,19932.0,16186.0,12456.0,7916
10.2307_community.25783319.png,133,0.0,9862.0,9354.0,7488.0,5528.0,3678
community.29435714.png,232,0.0,17514.0,16580.0,12922.0,9652.0,6120
10.2307_community.28163327.png,142,0.0,25726.0,24622.0,20636.0,15986.0,10956
resrep24634.png,155,0.0,16282.0,15554.0,12908.0,9558.0,5708
10.2307_community.26314759.png,198,0.0,6540.0,6052.0,4534.0,3212.0,2042
10.2307_community.24791896.png,135,0.0,16696.0,15676.0,12956.0,9542.0,6132
theatrical-qing-dynasty-robe.jpg,40054,39858.0,14654.0,13844.0,11036.0,7732.0,4970
birth-of-mahavira.jpg,43602,43312.0,17682.0,16808.0,13220.0,9746.0,5954
youth-service-coalition-inc.jpg,75002,74597.0,38292.0,36828.0,30874.0,24122.0,15562
filatios-on-horseback.jpg,78094,77737.0,33308.0,31394.0,24750.0,17938.0,11034
poweredBy_ot_logo.svg,1829,2998.0,,,,,
work-with-images.jpg,118304,117865.0,42164.0,39722.0,31792.0,23026.0,14832
alternative-press.jpg,202251,201483.0,87360.0,82830.0,65528.0,47382.0,29040
artstor-images.jpg,98794,98363.0,17622.0,15956.0,11116.0,7824.0,5212
pageTransferSize,2515244,,,,,,
totalByteWeight,4247855,,,,,,
