img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.juntadeandalucia.es/,128120,126768.0,,,,,
Icono-Junta_0.png,1132,827.0,352.0,348.0,330.0,310.0,304
Logo-Junta-hover.png,1109,806.0,440.0,420.0,402.0,370.0,332
Logo_Andalucia_con_Ucrania_segmento.png,19504,19199.0,7534.0,7514.0,7478.0,7402.0,7336
fondo-gris---virus.png,124828,124519.0,14672.0,13802.0,11182.0,8102.0,5402
logo_ucrania_cuadrado.png,4898,4593.0,2502.0,2490.0,2434.0,2370.0,2310
logo-jda.png,10864,10556.0,3832.0,3742.0,3386.0,2976.0,2544
logo-junta.png,21081,20776.0,6446.0,6440.0,6402.0,6356.0,6304
spinner.gif,17897,17592.0,14366.0,13688.0,11848.0,10458.0,8888
recomendacion_transparencia.jpg,31941,31633.0,19458.0,18340.0,14218.0,10702.0,7682
ajax-loader.gif,4482,4178.0,2640.0,2532.0,2230.0,1912.0,1604
recomendacion_encontrar_empleo.jpg,61510,61202.0,43266.0,40726.0,31670.0,23072.0,15826
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-17601464-1&cid=1771457845.1650727762&jid=1405354668&_u=YEBAAAAAAAAAAC~&z=1406279908,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-17601464-1&cid=1771457845.1650727762&jid=1405354668&_u=YEBAAAAAAAAAAC~&z=1406279908,501,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,3227854,,,,,,
totalByteWeight,3750349,,,,,,
