img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.jw.org/,846,0.0,,,,,
siteLogo-jworg-print.png,3013,2630.0,1250.0,1192.0,1030.0,828.0,628
siteLogo-jworg-print-rtl.png,4949,4566.0,2472.0,2360.0,2000.0,1650.0,1224
home-bottom.jpg,197275,196889.0,127828.0,118046.0,94096.0,66238.0,38018
siteLogo-jworg-mobile.svg,3796,3409.0,,,,,
502000235_univ_lss_lg.jpg,91761,91376.0,24656.0,23492.0,18662.0,14052.0,9124
1011202_univ_pnr_md.jpg,47560,47175.0,11836.0,11036.0,8636.0,6364.0,4000
1011556_univ_pnr_md.jpg,59350,58965.0,14854.0,14086.0,10688.0,7734.0,4786
1011580_univ_pnr_md.jpg,103660,103275.0,33432.0,30760.0,23254.0,15550.0,8616
1011205_univ_pnr_md.jpg,64719,64334.0,18350.0,17190.0,13714.0,9820.0,6264
1011206_univ_pnr_md.jpg,63905,63520.0,16012.0,14906.0,11688.0,8668.0,5572
1011204_univ_pnr_md.jpg,69430,69046.0,18368.0,17538.0,13788.0,10458.0,6842
1011552_univ_pnr_md.jpg,59094,58709.0,16062.0,14884.0,11660.0,8650.0,5502
1011569_univ_pnr_md.jpg,64419,64034.0,19318.0,18088.0,14374.0,10582.0,6444
1011233_univ_pnr_md.jpg,84560,84175.0,24922.0,23354.0,18530.0,13706.0,8364
502019458_univ_lss_lg.jpg,52213,51828.0,15728.0,14664.0,11366.0,8210.0,5302
donate-color.svg,1570,1183.0,,,,,
wol-tm-color.svg,997,611.0,,,,,
jworg-apps-tm-color.svg,3729,3342.0,,,,,
jwlibrary-tm-color.svg,3337,2950.0,,,,,
jwlibrary-signlanguage-tm-color.svg,3350,2963.0,,,,,
wl-tm-color.svg,7191,6804.0,,,,,
jwlanguage-tm-color.svg,3939,3552.0,,,,,
insight.png?ref&id=pa-1011200,307,141.0,72.0,72.0,72.0,72.0,72
501100014_univ_lss_md.jpg,43319,42934.0,9938.0,9282.0,7060.0,5108.0,3154
500100123_univ_lss_md.jpg,48452,48067.0,11726.0,11108.0,8550.0,6416.0,4218
502012505_univ_lss_md.jpg,35801,35416.0,10474.0,9726.0,7312.0,5050.0,3156
1001070103_univ_sqs_md.jpg,6946,6569.0,2812.0,2632.0,2110.0,1598.0,1064
1001070103_univ_sqr_md.jpg,18236,17858.0,6950.0,6532.0,5074.0,3702.0,2254
1011722_univ_sqr_md.jpg,15480,15095.0,4340.0,4070.0,3248.0,2434.0,1498
502012232_univ_sqr_md.jpg,18661,18276.0,4828.0,4594.0,3574.0,2650.0,1688
1011229_univ_sqr_md.jpg,13797,13412.0,3448.0,3246.0,2646.0,1928.0,1238
502016296_univ_lss_md.jpg,53309,52924.0,26664.0,25562.0,22246.0,18524.0,13500
502015530_univ_lss_md.jpg,26418,26033.0,6590.0,6210.0,4730.0,3542.0,2236
502014202_univ_lss_md.jpg,48112,47727.0,18786.0,17704.0,14304.0,10746.0,7066
1102014280_univ_lss_md.jpg,33944,33559.0,10062.0,9426.0,7448.0,5612.0,3842
502019103_univ_lss_md.jpg,48821,48436.0,18602.0,17144.0,13486.0,9878.0,5974
502015502_univ_lss_md.jpg,49247,48862.0,18108.0,17038.0,12788.0,9188.0,5158
502014311_univ_lss_md.jpg,43632,43247.0,16680.0,15834.0,12856.0,9814.0,6526
502014315_univ_lss_md.jpg,52845,52460.0,21204.0,19900.0,15298.0,11148.0,6708
1102017423_univ_lss_md.jpg,65315,64930.0,29882.0,27742.0,22400.0,16728.0,10116
pageTransferSize,3494213,,,,,,
totalByteWeight,8294983,,,,,,
