img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.kompas.tv/,34105,200475.0,,,,,
18.png,13915,13580.0,,,,,
kompastv.png,9702,9358.0,5184.0,5186.0,5170.0,5152.0,5132
365x100web.png,6313,5979.0,5420.0,5286.0,4928.0,4456.0,3888
img.png,1357,1029.0,210.0,210.0,210.0,212.0,210
widget-ramadan-2022.png,7718,7390.0,2384.0,2242.0,1824.0,1392.0,930
img.png,1356,1029.0,210.0,210.0,210.0,212.0,210
kompastv-play.png,12275,11888.0,5122.0,5030.0,4634.0,4190.0,3612
bbc-news.png,3553,3227.0,2122.0,2066.0,1760.0,1346.0,986
wall-ramadan2.jpg,9020,8683.0,4230.0,3944.0,2778.0,1320.0,472
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Berita%20Terkini%20Independen%20Terpercaya%20-%20Kompas%20TV&time=1650730260027&time_zone_offset=-300&screen_params=360x640x24&java_enabled=0&c,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
20220423103146.jpg,40937,40556.0,25974.0,24714.0,19600.0,14718.0,9906
1650727337144.a_177_117.jpg,4644,4319.0,,,,,
b2?c1=2&c2=8077308&ns__t=1650730260308&ns_c=UTF-8&c8=Berita%20Terkini%20Independen%20Terpercaya%20-%20Kompas%20TV&c7=https%3A%2F%2Fwww.kompas.tv%2F&c9=,189,0.0,,,,,
20220303160153.jpg,4399,4081.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-RZH41LCX4K&cid=1273517277.1650730261&gtm=2oe4k0&aip=1&z=2085564157,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-FPCSQ489QX&cid=1273517277.1650730261&gtm=2oe4k0&aip=1&z=641839845,107,42.0,72.0,72.0,72.0,72.0,72
1650727312055.a_177_117.jpg,5522,5188.0,,,,,
1650726259821.a_177_117.jpg,5354,5029.0,,,,,
1650692130355.a_177_117.jpg,5978,5652.0,,,,,
1650696277387.a_177_117.jpg,5534,5208.0,,,,,
PushDown-ReRun-EP-2&3.jpg,145836,145300.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-63737554-1&cid=1273517277.1650730261&jid=456979533&_u=YADAAEAAAAQCAC~&z=372961808,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-63737554-1&cid=1273517277.1650730261&jid=456979533&_u=YADAAEAAAAQCAC~&z=372961808,63,42.0,72.0,72.0,72.0,72.0,72
20220127225659.jpg,15890,15534.0,,,,,
