img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.lenovo.com/,1157,0.0,,,,,
1.png,420,72.0,72.0,72.0,72.0,72.0,72
lenovo-pcs-tablets-hover.jpg,22427,22032.0,12512.0,11776.0,9654.0,7208.0,4786
lenovo-phones-hover.jpg,28330,27908.0,8598.0,8156.0,6444.0,4846.0,3248
lenovo-smart-devices-hover.jpg,33223,32792.0,13544.0,12724.0,10008.0,7326.0,4418
lenovo-data-center-hover.jpg,96149,95621.0,48702.0,46038.0,37136.0,26396.0,14320
lenovo-logo-red.png,2266,1946.0,1982.0,1912.0,1636.0,1272.0,916
footer-icons.png,9499,9160.0,9036.0,8700.0,7482.0,6050.0,4292
arrow-down.png,429,110.0,114.0,112.0,104.0,98.0,84
Flag-Placeholder.png,444,96.0,96.0,96.0,96.0,96.0,96
Flag-EG.png,828,480.0,208.0,198.0,170.0,146.0,126
FTV_DskTp_1920x655.png,83693,83162.0,58528.0,55264.0,44582.0,34428.0,23960
FTV_Mobile_380x300.png,22714,22318.0,15718.0,14874.0,12078.0,8872.0,5680
hbpix?pixId=16873&pcv=70&ptid=66&tpuv=01&tpu=34220571370048247711943480426516785146,278,43.0,,,,,
?id=2136100510014232&ev=PageView&dl=https%3A%2F%2Fwww.lenovo.com%2Feg%2Fen%2F&rl=&if=false&ts=1650658964101&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650658964099.722514097&it=1650658962205&,411,44.0,,,,,
ibs:dpid=21&dpuuid=164870504129000455189,945,42.0,,,,,
ibs:dpid=134096&dpuuid=2022042220224400097655886160,945,42.0,,,,,
ibs:dpid=771&dpuuid=CAESELM4cf4QO0Eay3mk0Pza2l0&google_cver=1?gdpr=0&gdpr_consent=,945,42.0,,,,,
ibs:dpid=22052&dpuuid=3626695232218202173,945,42.0,,,,,
ibs:dpid=575&dpuuid=-2828512919161454431,945,42.0,,,,,
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nva7u&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=24506711-e63e-4f4e,353,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nva7u&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=24506711-e63e-4f4e,337,43.0,72.0,72.0,72.0,72.0,72
ibs:dpid=269&dpuuid=b6ff6263-0e94-4100-9eaa-6b2f455e070a&ddsuuid=34220571370048247711943480426516785146,945,42.0,,,,,
?env=mWeb&zdid=314,0,0.0,,,,,
ibs:dpid=30064&dpuuid=%7BUUID_6j5b2cv%7D,963,42.0,,,,,
ibs:dpid=53196&dpuuid=Q7039453642081799105,945,42.0,,,,,
ibs:dpid=73426&dpuuid=34220571370048247711943480426516785146,945,42.0,,,,,
ibs:dpid=121998&dpuuid=e024411087c7585a0be32a008881467a,945,42.0,,,,,
ibs:dpid=87898&dpuuid=4c_d5004cee-e23d-43c9-908a-3bd0ee268979,945,42.0,,,,,
ibs:dpid=129099&dpuuid=08ba2bd5f43bf92db7a245fabae572f8,945,42.0,,,,,
?id=2136100510014232&ev=Microdata&dl=https%3A%2F%2Fwww.lenovo.com%2Feg%2Fen%2F&rl=&if=false&ts=1650658965608&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Lenovo%C2%AE%20Official%20Site%20%7C%20La,214,44.0,,,,,
MAP.d?mn=adobe&mv=34220571370048247711943480426516785146&gdpr=0&gdpr_consent=&redirect=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D184561&bounce=1,1013,42.0,,,,,
?random=1650658965880&cv=9&fst=1650657600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
?random=1650658965880&cv=9&fst=1650657600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
pageTransferSize,2121301,,,,,,
totalByteWeight,5287399,,,,,,
