img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.lenta.ru/,209,0.0,,,,,
pwa_list_sq_1024_ee7b4cc52308724104ab51e3a388c018.jpg,437254,436919.0,,,,,
pwa_list_sq_60_webp_5f5a7f007ef391308e59a174ec4f1cd5.webp,1190,860.0,810.0,796.0,690.0,498.0,376
pwa_list_sq_60_webp_955373edf885424f291d3e41d953721f.webp,1683,1352.0,1340.0,1294.0,1136.0,860.0,592
pwa_list_sq_60_webp_bf5b473d9c5ff7824ebfc9741d39c193.webp,1405,1074.0,1016.0,998.0,876.0,640.0,420
pwa_list_sq_60_webp_1d442c91583d5a9ea0c26b7db560f54d.webp,1154,824.0,792.0,784.0,674.0,500.0,360
pwa_list_sq_60_webp_475413fc1116fe8d81f0b796415f3a2b.webp,1595,1264.0,1228.0,1206.0,1054.0,762.0,548
pwa_list_sq_60_webp_34e6c3caab14761a77ae5e8bb0a03fb9.webp,1308,978.0,950.0,936.0,828.0,610.0,412
pwa_list_sq_60_webp_fb653927bf770845b8edf35051291dc2.webp,1385,1054.0,998.0,960.0,832.0,644.0,392
pwa_list_sq_60_webp_0282194f4227f6cfabb7e613bcff16cd.webp,1264,934.0,898.0,872.0,768.0,566.0,380
pwa_list_sq_60_webp_0ad7aa36c87c986901d8625c1329acd5.webp,822,492.0,466.0,456.0,402.0,278.0,204
pwa_list_sq_60_webp_cab0ac58fec98c22a59aff0fd8515d56.webp,1160,830.0,768.0,764.0,660.0,492.0,316
pwa_list_sq_60_webp_86943312c830edc5f07089a5f0b97f75.webp,1248,918.0,900.0,878.0,774.0,574.0,400
pwa_list_sq_60_webp_375ddf6892a721a8db1e95d8d1e1bb26.webp,1284,954.0,924.0,898.0,796.0,592.0,400
pwa_list_sq_768_webp_e2e2b1a9b0e4d7f5f1fd589037cf8959.webp,35395,35062.0,,,,,
preview_b6c78443c63ff10bea0a10581701726f.jpg,89494,89160.0,37748.0,35366.0,28802.0,21928.0,14318
preview_b317f955a7216f3f4a84ca626f94bc00.jpg,97816,97482.0,41072.0,38810.0,31544.0,24524.0,16376
preview_322605a4604fbb8063ec94ba27dcf40e.jpg,76424,76090.0,26054.0,24238.0,19494.0,14726.0,9592
preview_29be0d1dc1787ef126667c41f2344f02.jpg,88921,88587.0,30184.0,28750.0,23882.0,17956.0,12044
preview_0738f0762b2bc7a935ce72373b9a94b7.jpg,97243,96909.0,38670.0,36292.0,28572.0,20588.0,12764
preview_fa199520bc062484aab8674f7a27f6e6.jpg,96855,96521.0,41286.0,38556.0,31530.0,23542.0,15160
preview_ee6e8681ce98834e52bc44f8d16c8df4.jpg,142885,142550.0,66646.0,63574.0,52756.0,41616.0,28240
preview_e5547225784333b69b5e98014bbfae2a.jpg,56686,56353.0,17666.0,16588.0,13548.0,10240.0,6986
preview_cbfe0c13ed46d5c9ef912152ed05787b.jpg,76920,76586.0,26788.0,24922.0,20428.0,15790.0,10718
preview_da9d0f090fd05adacb00de8addee24c9.jpg,77281,76947.0,27518.0,26116.0,21192.0,16534.0,11450
