img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.loom.com/,16712,73375.0,,,,,
laptop-on-desk.webp,79131,78694.0,62566.0,58670.0,42888.0,34520.0,28782
cover.webp,38849,38458.0,30664.0,29376.0,24564.0,20852.0,17702
notion.svg,2960,8593.0,,,,,
controls.svg,1381,2745.0,,,,,
recorder.svg,13744,42752.0,,,,,
hero-cursor.svg,1236,2791.0,,,,,
effective.jpg,54680,54270.0,16314.0,15528.0,12734.0,10058.0,7784
showcase-team-alignment.webp,24016,23616.0,22842.0,22354.0,19364.0,14088.0,10770
showcase-engineering.webp,21459,21060.0,19986.0,19926.0,17150.0,13006.0,10186
showcase-design.webp,24815,24418.0,23506.0,22940.0,20262.0,14704.0,11480
showcase-sales.webp,20525,20126.0,18872.0,18438.0,15668.0,11306.0,8930
loom-homepage-background.webp,14538,14174.0,13306.0,13054.0,12448.0,12338.0,11922
katie-burke.jpg?fm=webp&w=1004,36027,35622.0,13430.0,12614.0,9656.0,6660.0,4300
HubSpot_Logo.svg,1309,1826.0,,,,,
ed2fbe013284dc7017af8a6b577d6a4134ad14b6-84x25.svg,2239,6549.0,,,,,
fd078ed892c076ea70ea5e4c80ecc5b530e95a1e-540x67.svg,1056,1736.0,,,,,
?id=180129910577668&ev=PageView&dl=https%3A%2F%2Fwww.loom.com%2F&rl=&if=false&ts=1650728044765&sw=360&sh=640&v=2.9.57&r=stable&a=tmgoogletagmanager&ec=0&o=30&fbp=fb.1.1650728044762.241353011&it=165072,297,44.0,,,,,
f588b9109e5d8830187c6fe95151f39f09c41791-115x32.svg,1476,3005.0,,,,,
6fca4b9e68970bbf120e5a14505652391a9c6cfe-152x23.svg,5815,35537.0,,,,,
bbe5d38b9222fb13959183605249f671616b4ce7-120x32.svg,487,786.0,,,,,
0?ti=137032492&Ver=2&mid=83a9479a-4f5a-49d5-996f-9bc54effdd86&sid=cf0f4740c31a11ec8718ad3b174da53e&vid=cf0fa130c31a11ecbed07b2a764dfcea&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Loom%3A%20A,153,0.0,,,,,
?id=180129910577668&ev=PageView&dl=https%3A%2F%2Fwww.loom.com%2F&rl=&if=false&ts=1650728046355&sw=360&sh=640&v=2.9.57&r=stable&a=tmgoogletagmanager&ec=2&o=30&fbp=fb.1.1650728044762.241353011&it=165072,91,44.0,,,,,
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=01ed0dd1-2d02-4f65-bf4b-d135a98c3a01&_expected_cookie=c97e666d92d14aceeaf65a9ca8c74a58,142,43.0,,,,,
loom-homepage-foreground-mobile-min.webp,94717,94262.0,99460.0,97310.0,90534.0,78136.0,55278
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-71926612-1&cid=2127457330.1650728044&jid=2033408274&_u=aEBAAEAAAAAAAC~&z=2136899542,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-71926612-1&cid=2127457330.1650728044&jid=2033408274&_u=aEBAAEAAAAAAAC~&z=2136899542,501,42.0,72.0,72.0,72.0,72.0,72
__ptq.gif?k=1&sd=360x640&cd=24-bit&cs=UTF-8&ln=en-us&bfp=2134856215&v=1.1&a=6555299&rcu=https%3A%2F%2Fwww.loom.com%2F&pu=https%3A%2F%2Fwww.loom.com%2F&t=Loom%3A+Async+Video+Messaging+for+Work+%7C+Loom,964,45.0,72.0,72.0,72.0,72.0,72
?random=1650728049866&cv=9&fst=1650726000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
?random=1650728049866&cv=9&fst=1650726000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
pageTransferSize,3350218,,,,,,
totalByteWeight,6366796,,,,,,
