img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.makemytrip.com/,64117,231906.0,,,,,
home-revamp-sprite9.webp,91255,90794.0,87614.0,86082.0,76742.0,64032.0,52690
homeLogo.webp,1416,1154.0,1312.0,1282.0,1188.0,1076.0,970
flag-sprite2.webp,6045,5774.0,3146.0,3044.0,2664.0,2280.0,1762
DF-SummerSale-21042022.jpg,13163,12808.0,9724.0,9164.0,7102.0,5388.0,3494
Indigo-19042022.jpg,19885,19542.0,12434.0,11696.0,9310.0,6878.0,4764
IF-Vistara-SummerSale-19042022.jpg,12497,12142.0,9442.0,8902.0,7036.0,5328.0,3646
airasia-Chicklet-BG-20042022.jpg,25656,25274.0,15162.0,14074.0,11168.0,8116.0,5430
language1@2x_20210901.png,2059,1734.0,,,,,
icHomeLob_TiSmall_20200904.png,1855,1528.0,,,,,
PWA_TPI_Beach.jpg,20715,20372.0,28594.0,26908.0,22342.0,17030.0,10890
PWA_TPI_Mountains.jpg,21164,20791.0,14716.0,13572.0,10394.0,7074.0,4214
PWA_TPI_HMoon.jpg,18742,18408.0,17070.0,15872.0,12150.0,8960.0,4974
m_Trip_Idea_July_Orange_4x_l_341_452.jpg,11857,11598.0,6522.0,6160.0,4872.0,3632.0,2534
androidAppImg.png,4131,3854.0,2848.0,2722.0,2404.0,2072.0,1568
iosAppImg.png,3530,3262.0,3052.0,2974.0,2642.0,2280.0,1738
homeSprite@16x.png,96471,95995.0,47186.0,45766.0,40912.0,35588.0,29314
ibs:dpid=411&dpuuid=YmPyzwAAAGt74wQX,945,42.0,,,,,
s45176445328883?AQB=1&ndh=1&pf=1&t=23%2F3%2F2022%2017%3A36%3A32%206%20-300&mid=76699225620835238750269526806509390828&aamlh=3&ce=UTF-8&ns=makemytrip&cdp=2&fpCookieDomainPeriods=2&pageName=landing%3Abr,330,43.0,,,,,
s47590312340444?AQB=1&ndh=1&pf=1&t=23%2F3%2F2022%2017%3A36%3A32%206%20-300&mid=76699225620835238750269526806509390828&aamlh=3&ce=UTF-8&ns=makemytrip&cdp=2&fpCookieDomainPeriods=2&pageName=landing%3Abr,250,43.0,,,,,
s44914301533040?AQB=1&ndh=1&pf=1&t=23%2F3%2F2022%2017%3A36%3A32%206%20-300&mid=76699225620835238750269526806509390828&aamlh=3&ce=UTF-8&ns=makemytrip&cdp=2&fpCookieDomainPeriods=2&pageName=landing%3Abr,249,43.0,,,,,
s44628820679484?AQB=1&ndh=1&pf=1&t=23%2F3%2F2022%2017%3A36%3A32%206%20-300&mid=76699225620835238750269526806509390828&aamlh=3&ce=UTF-8&ns=makemytrip&cdp=2&fpCookieDomainPeriods=2&pageName=landing%3Abr,317,43.0,,,,,
s47932314788093?AQB=1&ndh=1&pf=1&t=23%2F3%2F2022%2017%3A36%3A32%206%20-300&mid=76699225620835238750269526806509390828&aamlh=3&ce=UTF-8&ns=makemytrip&cdp=2&fpCookieDomainPeriods=2&pageName=landing%3Abr,250,43.0,,,,,
1x1,796,128.0,,,,,
1x1,796,128.0,,,,,
1x1,691,128.0,,,,,
1x1,691,128.0,,,,,
1x1,691,128.0,,,,,
1x1,691,128.0,,,,,
sodar?id=sodar2&v=225&li=gda_r20220420&jk=422235881745768&rc=,0,0.0,,,,,
generate_204?LOlYNg,9,0.0,,,,,
sodar?id=sodar2&v=225&t=2&li=gda_r20220420&jk=422235881745768&bg=!dHeldzPNAAYXWUUuN1k7ACkAdvg8WqJxNpO9HAAzqkTd3vEqbZUJD4Sglp6wHEeowpWLFxTl8FGhtAIAAABRUgAAAARoAQeZAv1mlvXOUACNnJ8KPPhN6BjZCXCVsOrwkBAGLL,0,0.0,,,,,
pageTransferSize,1038296,,,,,,
totalByteWeight,2443575,,,,,,
