img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.mega.nz/,195,0.0,,,,,
loading-sprite_v4@2x.png,7204,6991.0,7778.0,7734.0,7574.0,7344.0,7102
loading-sprite_v4@2x.png,7204,6991.0,7778.0,7734.0,7574.0,7344.0,7102
mobile-mobile-sprite-2x.6e61359d0a2b8a04.png,135591,135241.0,166210.0,161552.0,143336.0,124432.0,106238
mobile-mobile-menus-sprite-2x.b0155a80ba2dce73.png,10390,10176.0,12284.0,12138.0,11520.0,11022.0,10472
mega-startpage-sprite-2x.f8c80ce9c12a1c08.png,71305,71028.0,80376.0,78508.0,72874.0,65606.0,58952
start_img2-1@2x.png?v=c527321c239566f4,10458,10245.0,4036.0,4010.0,3946.0,3974.0,3800
start_img4-1@2x.png?v=897b30beec3f0bce,22685,22463.0,8724.0,8590.0,8246.0,7900.0,7526
start_img5-3@2x.png?v=a12ef1c8855f2bfb,121437,121105.0,41142.0,39728.0,36396.0,32438.0,28452
mega-bottom-page-start_img5-4-2x.8129fb19402f3869.png,32528,32297.0,29146.0,28496.0,25818.0,22752.0,19404
start_img1-2@2x.png?v=bad082903d6d4263,70405,70129.0,49828.0,49406.0,47928.0,46100.0,43562
start_img1-1@2x.png?v=46b45ddafe4e7f44,91405,91101.0,29238.0,28808.0,27746.0,26486.0,25174
start_img1-3a@2x.png?v=3620c2f0d896f79b,76695,76409.0,23004.0,22660.0,20450.0,18568.0,16454
affiliate-img1@2x.png?v=cd52e09e8b30e4ad,26693,26462.0,13540.0,13386.0,13254.0,13140.0,13054
affiliate-img2@2x.png?v=2f8903031ea0b1d8,54297,54039.0,55210.0,53854.0,49068.0,43386.0,37840
affiliate-img3@2x.png?v=c7b3af4d9b10ee38,23733,23511.0,13266.0,12944.0,12042.0,11240.0,10318
mega-bottom-page-start_img2-2x.2d4e7a0a9056fb9f.png,43962,43713.0,12516.0,12098.0,11218.0,10336.0,9122
start_img3-2@2x.png?v=3108f681734239a1,103017,102703.0,111058.0,108214.0,99326.0,88964.0,79942
start_img3-1@2x.png?v=ff1722fa7446949f,25435,25204.0,27720.0,27240.0,25562.0,23530.0,21402
mega-bottom-page-start_img3-2x.f907575db76f9466.png,150010,149642.0,82416.0,79934.0,71554.0,62142.0,53984
start_img4@2x.png?v=811d8197f16e3caf,25695,25464.0,7368.0,7384.0,6792.0,6208.0,5618
start_img5-1@2x.png?v=297cea8b36498249,45116,44867.0,37948.0,36720.0,33182.0,29322.0,24406
mega-bottom-page-start_img5-2x.2d9401dfa041a867.png,125518,125177.0,95816.0,91954.0,81170.0,67718.0,53958
start-sl-img1.png?v=495ab41f2fe6ba8,92828,92524.0,36884.0,35472.0,30702.0,25064.0,19366
mega-bottom-page-start-sl-img2.1638632eb4bea544.png,141476,141117.0,34966.0,33978.0,29642.0,24486.0,18736
start-sl-img6.png?v=278f0f69b3eafef6,15742,15529.0,11336.0,10898.0,9512.0,7966.0,6222
start-sl-img7.png?v=94e7bda303c26618,15160,14947.0,11926.0,11456.0,10652.0,9538.0,8394
pageTransferSize,3668510,,,,,,
totalByteWeight,10633868,,,,,,
