img,imgTransferSize,imgActualSize
https://www.mercadolibre.com.co/,73,0.0
logo__small@2x.png,2069,1444.0
D_NQ_674859-MLA49611753031_042022-F.webp,40231,39494.0
credit-card.svg,1110,982.0
D_Q_NP_2X_897653-CBT49601629209_042022-G.jpg,6220,5572.0
D_Q_NP_2X_977983-CBT49423361193_032022-G.jpg,13240,12575.0
D_Q_NP_2X_837735-CBT49298535057_032022-G.jpg,7551,6896.0
D_Q_NP_2X_903025-CBT46097088109_052021-G.jpg,11277,10614.0
d+.svg,6439,13422.0
star+.svg,1660,2418.0
truckgiftv4@2x.png,1699,1116.0
qrx2.png,1797,1277.0
D_NQ_891220-MLA49705853587_042022-F.webp,62461,61672.0
D_NQ_960120-MLA49611753797_042022-F.webp,22408,21724.0
offer-til-05-05-mla-mco-mlc-v2@3x.png,335600,334102.0
comboplus-brand@2x.png?v=1,2898,2376.0
disney-nivel6-mla-mco-mlm@3x.png,366500,365057.0
D_NQ_961177-MLA49611873889_042022-C.webp,25602,24908.0
D_NQ_777212-MLA49612017006_042022-C.webp,19922,19238.0
background_home202004061018.jpg,10015,9825.0
background_home201712261105.jpg,30996,31056.0
D_Q_NP_2X_834882-MLA25716447036_062017-I.webp,2572,1934.0
D_NQ_989988-MLA49612098112_042022-C.webp,12998,12332.0
D_NQ_714476-MLA49265559038_032022-C.webp,24323,23628.0
D_Q_NP_2X_716449-MCO45828068961_052021-T.webp,4124,3478.0
D_Q_NP_2X_749958-MCO45347811978_032021-T.webp,10094,9440.0
D_Q_NP_2X_963518-MCO48864964682_012022-T.webp,2013,1386.0
D_Q_NP_2X_891197-MCO46712815927_072021-T.webp,10390,9742.0
5443119618186060904?,524814,524427.0
11615291836644147310?,38618,38292.0
D_Q_NP_2X_757919-MCO46727989546_072021-T.webp,4129,3492.0
D_Q_NP_2X_974327-MCO45608521727_042021-T.webp,9545,8900.0
sodar?id=sodar2&v=225&li=gpt_2022041801&jk=922245915817430&rc=,0,0.0
D_NQ_721013-MLA49614845390_042022-F.webp,40757,40018.0
generate_204?oIqa4g,9,0.0
sodar?id=sodar2&v=225&t=2&li=gpt_2022041801&jk=922245915817430&bg=!_P-l_7vNAAYXWUUuN1k7ACkAdvg8WiTvTEmtrDvlK8w-z2QvchCU8Eh55xJ-_DFjylMmVwmogTYMiQIAAADfUgAAAARoAQcKAHbbtlmAUJ7CrysQPtbfhQfhSN6Qh9YqVIyy_,0,0.0
pageTransferSize,2332169,
totalByteWeight,3867577,
