img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.mercadolivre.com.br/,127047,457166.0,,,,,
logo__small@2x.png,2069,1444.0,2036.0,1980.0,1750.0,1488.0,1182
D_NQ_606806-MLA49696240155_042022-F.webp,42671,41932.0,37920.0,36234.0,30542.0,22262.0,15858
credit-card.svg,1111,982.0,,,,,
D_Q_NP_2X_670611-MLB48633115777_122021-P.webp,11705,11040.0,10016.0,9430.0,7880.0,5408.0,3764
D_Q_NP_2X_697725-MLB47804949871_102021-P.webp,25961,25260.0,21972.0,20652.0,16472.0,11988.0,8000
D_Q_NP_2X_823876-MLB31334192734_072019-P.webp,14903,14238.0,12812.0,12146.0,9884.0,5700.0,3634
D_Q_NP_2X_603074-MLB49365511254_032022-P.webp,15766,15092.0,13568.0,12934.0,10784.0,7066.0,4712
D_NQ_758720-MLA49719737754_042022-F.webp,40085,39338.0,35504.0,34118.0,29060.0,19742.0,13704
D_NQ_857059-MLA49696129168_042022-F.webp,22108,21410.0,18906.0,17990.0,14386.0,10196.0,7038
d+.svg,6439,13422.0,,,,,
star+.svg,1660,2418.0,,,,,
truckgiftv4@2x.png,1699,1116.0,1700.0,1658.0,1484.0,1290.0,1030
qrx2.png,1797,1277.0,1666.0,1612.0,1460.0,1256.0,1030
offer-til-05-05-mlb-v2@3x.png,298914,297624.0,87960.0,82508.0,62180.0,44304.0,27442
disney-nivel6-mlc-mlb@3x.png,392258,390761.0,94012.0,86102.0,62624.0,43440.0,26154
comboplus-brand@2x.png?v=1,2898,2376.0,2772.0,2628.0,2260.0,1798.0,1260
logoSquare@3x.png?v=1,4350,3712.0,2940.0,2774.0,2394.0,1906.0,1384
5494029120519789788?,393710,393209.0,30342.0,28222.0,22768.0,17556.0,13122
2944569024676047978?,61110,60987.0,31340.0,30498.0,27198.0,22782.0,18018
paramount-widget-mlb@3x.jpg,52789,52040.0,27422.0,26002.0,19728.0,14054.0,8736
deezer-widget-mlb@3x.jpg,95493,94806.0,37306.0,34966.0,27310.0,19880.0,12380
paramount-logo-vdp-56-x-56-filled@3x.png,2937,2310.0,2988.0,2860.0,2440.0,1860.0,1242
deezer-logo-vdp-filled@3x.png,4259,3621.0,3290.0,3170.0,2828.0,2370.0,1900
sodar?id=sodar2&v=225&li=gpt_2022041801&jk=1024192229355856&rc=,0,0.0,,,,,
generate_204?JEOQ_A,9,0.0,,,,,
D_NQ_784312-MLA49602538999_042022-C.webp,3333,2688.0,2502.0,2396.0,2060.0,1376.0,944
sodar?id=sodar2&v=225&t=2&li=gpt_2022041801&jk=1024192229355856&bg=!6-il6KzNAAYXWUUuN1k7ACkAdvg8Wi4tT5KfAh7q5Ax17FAvihvBbZ-kJ5uyV8UUzCJtu7kUBqjdZgIAAADbUgAAAAZoAQeZAwmbBeF-Zdlz9ZIY81c_yicGf4q8gahZ8AuM,0,0.0,,,,,
D_NQ_611728-MLA49695368354_042022-C.webp,12501,11834.0,9902.0,9434.0,7216.0,4964.0,3318
background_home201712060403.jpg,16770,16336.0,5410.0,4764.0,3416.0,2628.0,1794
background_home201712070342.jpg,14873,14892.0,7592.0,7192.0,5526.0,4078.0,2486
D_Q_NP_2X_620931-MLA25957089312_092017-I.webp,2155,1528.0,1422.0,1336.0,1196.0,826.0,598
D_NQ_963238-MLA49695604633_042022-C.webp,11569,10902.0,9594.0,9226.0,7404.0,5048.0,3224
D_NQ_775069-MLA49707346018_042022-C.webp,20397,19704.0,17796.0,16908.0,13810.0,8696.0,5404
D_NQ_902849-MLA49719433354_042022-F.webp,74849,74030.0,67632.0,64678.0,56064.0,36278.0,23992
D_Q_NP_2X_821398-MLA32790540182_112019-T.webp,3783,3134.0,2706.0,2592.0,2144.0,1598.0,1216
D_Q_NP_2X_893530-MLA45178759714_032021-T.webp,4106,3460.0,3022.0,2940.0,2376.0,1718.0,1278
D_Q_NP_2X_869981-MLA49139071970_022022-T.webp,0,0.0,5544.0,5338.0,4256.0,3024.0,2120
D_Q_NP_2X_681905-MLA48699726652_122021-T.webp,0,0.0,17378.0,16570.0,14434.0,8132.0,4870
D_Q_NP_2X_702477-MLA40812428403_022020-T.webp,0,0.0,3618.0,3492.0,2934.0,2108.0,1460
D_Q_NP_2X_980005-MLA48700120666_122021-T.webp,0,0.0,7472.0,7118.0,5132.0,3268.0,2148
pageTransferSize,2220392,,,,,,
totalByteWeight,3374894,,,,,,
