img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.merriam-webster.com/,17133,134887.0,,,,,
mw-logo--color.svg,4787,11020.0,,,,,
menu-toggle.svg,634,533.0,,,,,
link-icon.svg,747,519.0,,,,,
ul-icon-up-down.svg,780,617.0,,,,,
ul-icon-wordlist.svg,696,497.0,,,,,
ul-icon-recents.svg,864,850.0,,,,,
mw-logo--white.svg,4768,11112.0,,,,,
ul-icon-account.svg,1354,3128.0,,,,,
mob-menu-close.svg,653,481.0,,,,,
audio-pron.svg,1061,2043.0,,,,,
ReviewsJustText.svg,3804,8804.0,,,,,
timetraveler-logo.svg,2163,3870.0,,,,,
double-arrows-white.svg,920,1161.0,,,,,
biking-zone-street-sign-9230-131fdec19945674ad6d1cde57b4978c3@1x.jpg,18992,18630.0,12062.0,11304.0,9034.0,6594.0,4446
carrot@2x.png,678,327.0,332.0,332.0,330.0,330.0,330
double-arrows-white.svg,0,1161.0,,,,,
b2?c1=2&c2=20567959&ns__t=1650664507120&ns_c=UTF-8&cv=3.5&c8=Dictionary%20by%20Merriam-Webster%3A%20America%27s%20most-trusted%20online%20dictionary&c7=https%3A%2F%2Fwww.merriam-webster.com%2F&c9=,189,0.0,,,,,
setuid?bidder=rubicon&gdpr=&gdpr_consent=&us_privacy=1---&account=9262&f=i&uid=L2AZ10W8-1K-4QC2,602,86.0,72.0,72.0,72.0,72.0,72
https%3A%2F%2Fs.amazon-adsystem.com%2Fecm3%3Fex%3Dmediagrid.com%26id%3D%24%7BBSW_UUID%7D,0,0.0,,,,,
https%3A%2F%2Fs.amazon-adsystem.com%2Fecm3%3Fex%3Dbeeswax.com%26id%3D%24UID,0,0.0,,,,,
en.png,3088,2982.0,1746.0,1692.0,1468.0,1248.0,926
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
l?ebcid=ALh7CaTJ5_2giVN-CkZJ_GlneVlpSHlUgdhg-DuBqrQiLYhh3Hft8DXTcZK9JtjsuGrdD6asBiquuT3WvUbpdEUOfvsAYJIlqA,0,0.0,,,,,
adview?ai=C-MTLPCRjYqzgDPWOmLAP3JyjwASh_oGoafewrqbvD9nZHhABIKivqhVgy9y0BaABp_nxowLIAQapAvfKspngE0w-4AIAqAMBqgTyAU_QGLUEcK0YeeWwRqIzM4Pf_uR-o5AvTrAHO02Wpu-nIRAnumPdxRbKoUIfmI2G1aQaVcHqlTkpzF_W7oTn6VgsQ,0,0.0,,,,,
downsize_200k_v1?w=100&h=100,2658,2306.0,93734.0,87286.0,67454.0,50144.0,32624
downsize_200k_v1?w=200&h=200,9567,9450.0,13298.0,12678.0,10626.0,7906.0,5236
setuid?bidder=brightroll&gdpr=&gdpr_consent=&us_privacy=1---&f=i&uid=y-FIugLPNE2oIpMkqgyZlJvqK4Ar8.QlnwwEaPuZ6qR7hzI4oHzAIx0w--~A,738,86.0,72.0,72.0,72.0,72.0,72
si?st=NO_DATA,0,0.0,,,,,
setuid?bidder=grid&gdpr=&gdpr_consent=&us_privacy=1---&uid=6a35a722-d3fe-47d2-bc16-1cf29bc29fa5,833,86.0,72.0,72.0,72.0,72.0,72
rum?cm_dsp_id=39&external_user_id=bce88ac9-6989-41cb-aed7-d6fc703ca942&expiration=1653256509&gdpr=0&gdpr_consent=&C=1,1022,43.0,72.0,72.0,72.0,72.0,72
setuid?bidder=conversant&gdpr=&gdpr_consent=&us_privacy=1---&networkId=72582&version=1&f=i&uid=AAAGpnvCyuPXSwM2YodSAAAAAAA&expiration=1650750911&is_secure=true,933,86.0,72.0,72.0,72.0,72.0,72
getuid?https%3A%2F%2Fprebid-server.rubiconproject.com%2Fsetuid%3Fbidder%3Dadnxs%26gdpr%3D%26gdpr_consent%3D%26us_privacy%3D1---%26f%3Di%26uid%3D%24UID,689,43.0,72.0,72.0,72.0,72.0,72
7.gif?puid=$UID&gdpr=0&gdpr_consent=,689,43.0,,,,,
pageTransferSize,1973449,,,,,,
totalByteWeight,5972631,,,,,,
