img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.mydramalist.com/,530,0.0,,,,,
xo6oz_2m.jpg,48514,47750.0,21406.0,19890.0,14948.0,10444.0,6210
j7EmB_2w.jpg,25270,24901.0,10934.0,10360.0,8258.0,6230.0,4150
j7EPr_2w.jpg,27551,27151.0,9930.0,8932.0,6434.0,4296.0,2712
logo_w.png,2782,2332.0,2474.0,2472.0,2472.0,2474.0,2470
xo6oz_2c.jpg,11461,11125.0,5746.0,5400.0,4154.0,2982.0,1810
j7EmB_2c.jpg,8759,8410.0,4050.0,3766.0,3070.0,2368.0,1596
j7EPr_2c.jpg,8594,8157.0,3222.0,2948.0,2280.0,1610.0,1078
Rox4o_2c.jpg,10836,10229.0,4698.0,4368.0,3472.0,2624.0,1712
rwdrN_2c.jpg,10570,10157.0,5066.0,4746.0,3762.0,2864.0,1896
vrD6e_2c.jpg,15135,14750.0,8660.0,8188.0,6456.0,4780.0,2956
jnJw8_2c.jpg,12199,11501.0,6358.0,6110.0,5006.0,3990.0,2818
BAQeb_2c.jpg,8867,8439.0,3588.0,3382.0,2722.0,2070.0,1398
Ro14x_2c.jpg,12945,12557.0,7124.0,6716.0,5498.0,4148.0,2666
Row86_2c.jpg,10936,10545.0,5220.0,5004.0,3924.0,2894.0,1904
EBKgb_2c.jpg,8646,8259.0,3694.0,3454.0,2734.0,1990.0,1280
Q4o5Y_2c.jpg,13448,12952.0,7258.0,6698.0,5412.0,3990.0,2566
BjZj6s.jpg,9666,9269.0,5526.0,5188.0,4138.0,2954.0,1704
egd3Es.jpg,8570,8183.0,4562.0,4296.0,3500.0,2714.0,1738
8pX2bs.jpg,11582,11013.0,7072.0,6646.0,5514.0,4172.0,2736
BPBo7_4s.jpg,7641,7257.0,3728.0,3492.0,2702.0,2030.0,1246
jdmAz_4s.jpg,11009,10584.0,6782.0,6296.0,5102.0,3828.0,2448
11XPQ_4s.jpg,10275,9793.0,5684.0,5312.0,4374.0,3280.0,2122
JxZRYs.jpg,7065,6661.0,3234.0,3048.0,2424.0,1830.0,1156
Rbgmr_4s.jpg,11650,11265.0,7512.0,6966.0,5598.0,4148.0,2492
Xrjlqs.jpg,11234,10843.0,6918.0,6478.0,5140.0,3764.0,2296
o7D8ks.jpg,12916,12342.0,8550.0,8154.0,6634.0,5130.0,3288
xRXg3_4s.jpg,12622,12199.0,8184.0,7742.0,6278.0,4760.0,3110
b3JmNs.jpg,12115,11603.0,7516.0,7218.0,5884.0,4424.0,2896
collect?v=1&_v=j96&a=147573038&t=pageview&_s=1&dl=https%3A%2F%2Fmydramalist.com%2F&ul=en-us&de=UTF-8&dt=Organize%2C%20Discuss%2C%20Discover%20Asian%20Dramas%20%26%20Movies%20-%20MyDramaList&sd=24-bit&,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-22552592-2&cid=645321871.1650713823&jid=747417138&_u=IGBAgEABAAAAAE~&z=1620406421,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-22552592-2&cid=645321871.1650713823&jid=747417138&_u=IGBAgEABAAAAAE~&z=1620406421,501,42.0,72.0,72.0,72.0,72.0,72
9414058555812479708,42738,42368.0,36262.0,34840.0,25390.0,19224.0,12684
en.png,3446,2982.0,1746.0,1692.0,1468.0,1248.0,926
icon.png,449,344.0,174.0,170.0,146.0,120.0,82
l?ebcid=ALh7CaSm48ufLHToWnOzcleX7Rb3xmh1e6g2rbsYHEfr8qx-duoDqSADOBzG6Fi8iUlPHZCtF1njYYICaWJhmVYN0QIJ9o8OAQ,0,0.0,,,,,
adview?ai=C9dCU5uRjYt0c07iYsA_2u5vYB8SP2t5ph6XL7fEP2dkeEAEgrL-bggFgy9y0BaABlNf64gLIAQLgAgCoAwHIAwiqBO4BT9Ac2GqjdekBfkQY5eau0RMJELASnneWa7crbNOkGsGIMbPaXODnsVPUPvtQ1b0bQtZZZ5De4bg8TeVYXeJ90n_ZC5nqjOLTC,0,0.0,,,,,
l?ebcid=ALh7CaTLl61WZanKelFq1A-dd_fxwW4RCV1wM8Eg3gpPHhnFi-FlHXUA4wmeq1SzttX1pQLGbYHJMKgc1TTzA0fdEPy522LT-A,0,0.0,,,,,
adview?ai=ChqLb5uRjYt4c07iYsA_2u5vYB5XCy81p-bycy7sP2dkeEAEgrL-bggFgy9y0BaAB4MrR0AHIAQmpAjQ1up9pNXI-4AIAqAMByAMKqgTrAU_QFT_Tih_ygXZdkETrTYAgKZsb13e5i8FnFEn4-WT1km-lK4e2VUlyxyhk1CDTjmjvKTS3UhthP3UZZqpmJ,0,0.0,,,,,
downsize_200k_v1,83098,82926.0,52334.0,49560.0,40154.0,29772.0,19706
pageTransferSize,2011659,,,,,,
totalByteWeight,4525180,,,,,,
