img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.mynet.com/,111082,403054.0,,,,,
oyun-2048-icon-b.svg,10590,10272.0,,,,,
oyun-kelim-bul-icon.svg,2070,1763.0,,,,,
oyun-sudoku.png,13388,13074.0,1856.0,1788.0,1576.0,1270.0,954
imsakiye.svg,19430,19103.0,,,,,
eczane.svg,1597,1290.0,,,,,
gazeteler.svg,1947,1640.0,,,,,
hava-durumu.svg,1590,1283.0,,,,,
namaz-vakitleri.svg,1927,1620.0,,,,,
astroloji.svg,1157,851.0,,,,,
tvde-bugun.svg,1311,1004.0,,,,,
milli-piyango.svg,1500,1193.0,,,,,
vitrin.svg,1361,1054.0,,,,,
canli-borsa.svg,1821,1514.0,,,,,
finansl-cevirici.svg,2536,2228.0,,,,,
kredi-hesapla-icon.svg,2085,1778.0,,,,,
play-store.png,7541,7237.0,2906.0,2880.0,2806.0,2740.0,2676
app-store.png,5040,4729.0,1822.0,1830.0,1826.0,1822.0,1828
huawei-app-gallery-icon.png,33998,33656.0,5288.0,5206.0,4822.0,4412.0,3834
640x100.jpg,15314,14964.0,13968.0,13438.0,11488.0,7638.0,5368
ihh-ramazan-min.jpg,12794,12478.0,6074.0,5790.0,4788.0,3702.0,2592
14303134-640x360.jpg,21660,21374.0,18826.0,17880.0,14158.0,10116.0,7118
14302814-640x360.jpg,20300,19968.0,16442.0,15568.0,11890.0,8152.0,5352
14302683-640x360.jpg,16138,15860.0,13506.0,12804.0,9828.0,6926.0,4776
14300094-640x360.jpg,33437,33140.0,27494.0,26048.0,19828.0,13670.0,8732
14303081-640x360.jpg,13055,12778.0,10676.0,10212.0,7658.0,5530.0,3908
14302513-640x360.jpg,97312,96988.0,87050.0,84098.0,69562.0,51380.0,34014
14303613-640x360.jpg,44364,44068.0,38780.0,37080.0,30364.0,19768.0,12128
14302781-640x360.jpg,34772,34476.0,30570.0,28772.0,22416.0,15186.0,9874
14294451-640x360.jpg,39141,38844.0,35200.0,33796.0,26238.0,17696.0,11448
14302904-640x360.jpg,26057,25770.0,22116.0,20918.0,15618.0,10594.0,7044
14302470-640x360.jpg,13135,12686.0,9932.0,9394.0,7036.0,4978.0,3434
14303003-640x360.jpg,19259,18800.0,16372.0,15706.0,12584.0,8834.0,5912
14294067-640x360.jpg,16659,16380.0,14152.0,13278.0,10072.0,6404.0,4166
13842082-640x360.jpg,16785,16498.0,15202.0,14174.0,11078.0,8404.0,5438
14302779-640x360.jpg,19999,19712.0,17390.0,16540.0,12074.0,7168.0,4156
14302891-640x360.jpg,25105,24818.0,20190.0,19018.0,13774.0,8836.0,5238
14297774-640x360.jpg,15588,15138.0,12006.0,11262.0,7978.0,5848.0,3990
14295391-640x360.jpg,16173,15894.0,14036.0,13326.0,10842.0,7718.0,5394
14298754-640x360.jpg,9896,9618.0,7828.0,7350.0,5940.0,4402.0,3156
14301417-640x360.jpg,20952,20664.0,17510.0,16740.0,12918.0,9152.0,5952
14292441-640x360.jpg,18463,18174.0,14280.0,13616.0,9908.0,7184.0,4660
14302611-640x360.jpg,14672,14392.0,11750.0,11206.0,8282.0,5814.0,3982
14303645-640x360.jpg,18385,18098.0,14978.0,14030.0,10410.0,6962.0,4686
14299368-640x360.jpg,32977,32690.0,29126.0,27730.0,23046.0,15808.0,10202
14294032-640x360.jpg,12015,11736.0,9912.0,9310.0,7418.0,5298.0,3658
14299554-640x360.jpg,44742,44446.0,40176.0,38782.0,31780.0,22168.0,14986
14300281-640x360.jpg,27589,27302.0,24026.0,23028.0,18556.0,13048.0,8692
14300406-640x360.jpg,19256,18968.0,15890.0,15018.0,11444.0,8104.0,5268
14299281-640x360.jpg,31236,30948.0,27428.0,26140.0,18838.0,12322.0,7486
14188615-640x360.jpg,14945,14666.0,12378.0,11726.0,9016.0,6540.0,4594
14295074-640x360.jpg,19096,18764.0,15412.0,14462.0,10660.0,7316.0,4956
14297777-640x360.jpg,26536,26248.0,22998.0,21892.0,17110.0,11756.0,7946
14301225-640x360.jpg,22917,22630.0,18614.0,17714.0,12914.0,9260.0,5892
14300081-640x360.jpg,16777,16490.0,14330.0,13456.0,10008.0,6080.0,3808
14298565-640x360.jpg,24145,23812.0,20248.0,19002.0,15008.0,10268.0,6922
14299269-640x360.jpg,18805,18518.0,15832.0,15148.0,10778.0,7686.0,5202
14296253-640x360.jpg,21850,21564.0,18960.0,18182.0,14304.0,9728.0,6392
13516945-640x360.jpg,13039,12760.0,10998.0,10348.0,7824.0,5788.0,3932
14215028-640x360.jpg,84365,84040.0,76542.0,72498.0,61714.0,41356.0,25476
14298038-640x360.jpg,23232,22944.0,18776.0,17750.0,12532.0,8356.0,5404
13512731-640x360.jpg,16371,16092.0,13966.0,13284.0,10572.0,7518.0,5144
14294677-640x360.jpg,19126,18838.0,16154.0,15194.0,11066.0,7566.0,4684
14293924-640x360.jpg,12643,12364.0,10486.0,9742.0,7440.0,5564.0,4034
14296955-640x360.jpg,16139,15862.0,13724.0,12904.0,10250.0,7596.0,4810
14299500-640x360.jpg,13224,12944.0,11858.0,11222.0,8322.0,6148.0,4008
14303715-640x360.jpg,30390,30104.0,26404.0,25088.0,18568.0,12720.0,7974
14298711-640x360.jpg,27600,27236.0,23578.0,22102.0,17438.0,12342.0,7896
14300934-640x360.jpg,40127,39830.0,36410.0,34350.0,27602.0,20540.0,12818
14279527-640x360.jpg,21681,21394.0,18570.0,17586.0,13610.0,8924.0,5874
14299639-360x200.jpg,13197,12918.0,15454.0,14710.0,11984.0,8260.0,5400
14297121-360x200.jpg,11695,11418.0,9928.0,9414.0,7622.0,5712.0,3600
14297488-360x200.jpg,15731,15452.0,13866.0,13302.0,10406.0,7056.0,4460
14296921-360x200.jpg,11118,10840.0,15454.0,14710.0,11984.0,8260.0,5400
14296027-360x200.jpg,6002,5724.0,15454.0,14710.0,11984.0,8260.0,5400
14297196-360x200.jpg,14985,14706.0,13208.0,12544.0,10158.0,6562.0,4038
360x200.jpg,6648,6370.0,6270.0,6002.0,4732.0,3454.0,2294
14296477-360x200.jpg,10401,10122.0,15454.0,14710.0,11984.0,8260.0,5400
360x200.jpg,17672,17384.0,7416.0,6908.0,5262.0,3620.0,1934
14296751-360x200.jpg,12052,11774.0,15454.0,14710.0,11984.0,8260.0,5400
14281797-360x200.jpg,10328,10048.0,8536.0,8052.0,6578.0,4972.0,3356
14291434-360x200.jpg,8279,8002.0,15454.0,14710.0,11984.0,8260.0,5400
14290971-360x200.jpg,19091,18802.0,15454.0,14710.0,11984.0,8260.0,5400
14290806-360x200.jpg,14518,14238.0,15454.0,14710.0,11984.0,8260.0,5400
14290327-360x200.jpg,5139,4860.0,15454.0,14710.0,11984.0,8260.0,5400
14291082-360x200.jpg,7036,6758.0,6390.0,6048.0,4686.0,3390.0,2064
14290305-360x200.jpg,12567,12288.0,11840.0,11224.0,8980.0,6628.0,3942
14290671-360x200.jpg,11356,11076.0,15454.0,14710.0,11984.0,8260.0,5400
14291578-360x200.jpg,7544,7266.0,15454.0,14710.0,11984.0,8260.0,5400
14286920-360x200.jpg,10657,10378.0,15454.0,14710.0,11984.0,8260.0,5400
mynet-logo.png,5167,4862.0,3588.0,3546.0,3284.0,2968.0,2662
pixel.gif?ch=1,365,43.0,72.0,72.0,72.0,72.0,72
pixel.gif?ch=2,365,43.0,72.0,72.0,72.0,72.0,72
widget-bg.png,70656,70210.0,106532.0,104740.0,94018.0,85742.0,76918
mynet-logo-bayrak.png,8049,7745.0,4556.0,4458.0,4130.0,3734.0,3342
14303053-640x480.jpg,60189,59884.0,53780.0,52034.0,40580.0,25920.0,16454
14302627-640x480.jpg,77593,77278.0,70920.0,67984.0,55642.0,36724.0,24288
14301416-640x480.jpg,46343,46046.0,40814.0,38774.0,30488.0,21056.0,13894
14041956-640x540.jpg,20264,19976.0,15906.0,15256.0,11782.0,8692.0,5874
14298680-640x540.jpg,64218,63834.0,56872.0,54406.0,45146.0,28400.0,18320
14296188-640x540.jpg,30406,30118.0,26834.0,25424.0,19740.0,14250.0,9072
14287264-640x540.jpg,40006,39708.0,34294.0,32412.0,25056.0,17162.0,11416
14296082-640x540.jpg,26707,26342.0,22062.0,20798.0,15518.0,11068.0,7066
14294301-640x540.jpg,88953,88584.0,76602.0,72708.0,58808.0,43134.0,25870
14286069-640x540.jpg,70081,69766.0,62990.0,59902.0,46592.0,31262.0,19932
14279364-640x540.jpg,69317,69002.0,63750.0,60138.0,47438.0,34050.0,19790
14301825-640x480.jpg,27194,26906.0,24448.0,23198.0,18542.0,13996.0,9844
14301267-640x480.jpg,38743,38446.0,32674.0,31326.0,24494.0,17740.0,12090
14298598-640x480.jpg,62854,62548.0,55334.0,52198.0,42078.0,31488.0,19814
14303259-640x480.jpg,41266,40970.0,36924.0,35784.0,29742.0,21330.0,14866
14286927-640x540.jpg,39654,39356.0,35636.0,33548.0,26652.0,19326.0,11742
14302969-640x480.jpg,63219,62914.0,56432.0,52898.0,43076.0,31982.0,20174
explore.svg,5173,4865.0,,,,,
close.png,2061,1758.0,2376.0,2274.0,2060.0,1778.0,1450
28.gif,2346,2019.0,892.0,864.0,744.0,644.0,464
pixel.gif?ch=1,0,43.0,72.0,72.0,72.0,72.0,72
pixel.gif?ch=2,0,43.0,72.0,72.0,72.0,72.0,72
ping?h=mynet.com&p=%2F&u=D8l7rWBrQ4F1CiRKq-&d=mynet.com&g=52164&g0=anasayfa&g1=No%20Author&n=1&f=00001&c=0&x=3367&m=3367&y=21151&o=360&w=640&j=45&R=1&W=0&I=0&E=0&e=0&r=&b=12016&t=1ppkvCLzLM3BBB3Mbqw84,201,43.0,,,,,
learn?tagid=V2_726797&src.rand=1738032685&depp=6.3.2-7,641,43.0,72.0,72.0,72.0,72.0,72
activity?tagid=V2_726804&src.rand=1663322666&depp=6.3.2-7,392,43.0,72.0,72.0,72.0,72.0,72
14302896-640x480.jpg,65114,64810.0,60004.0,56600.0,45408.0,32870.0,18854
downsize_200k_v1?sqp=4sqPyQSTAUKQAQgAEhQNzczMPhUAAABAHQAAAAAlAAAAABgAIgoNAACAPxUAAIA_Kk8ISxABHQAAtEIgACgBMAY4A0CAwtcvSAFQAFgAYEtwAngAgAEAiAEAkAEAnQEAAIA_oAEAqAEAsAGAreIEuAH___________8BxQEtsp0-MhcI8QE,9509,9483.0,21814.0,21330.0,19534.0,17150.0,14776
adview?ai=CN9po-rhjYqK9Gra7kdUP9r2Z6AKIhZ3AadSOsfeuD9rZHhABINCAvx5gy9y0BaABg_KinijIAQapAtdSkF5JDzc-4AIAqAMByAMKqgSaAk_Q3XdCiZOivV936Sv9_F6IvR1dMO3EQWYypK67LKEe6jtZkY8aUkoYXbs86KzxxPja6aJ_NfahbR04KIJtK,0,0.0,,,,,
l?ebcid=ALh7CaSkENEvbMWHGJoaEby8WFIcJ78-Sa50pvvAr8pqF3_Wzus8ipofhBE28MoxnUjSd6vVOT3wfY-bqokuGkyby17o0PibHw,0,0.0,,,,,
tr.png,3081,3057.0,1908.0,1856.0,1608.0,1362.0,1012
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
tr_bl.png,3064,3040.0,1924.0,1828.0,1586.0,1344.0,1012
l?ebcid=ALh7CaTJQfAGu8j1cyVq5h3OEBdnPcvlUdtyQLjISedoaRi_z7QgM2RnsWzI515UK0x5VHK3OkcgBk2IxAG8x1TyVbBTJiVf9A,0,0.0,,,,,
adview?ai=CbP8C-rhjYqG9Gra7kdUP9r2Z6AKIhZ3AadSOsfeuD9rZHhABINCAvx5gy9y0BaABg_KinijIAQmpAtdSkF5JDzc-4AIAqAMByAMKqgSZAk_Q8Ok8aIulsiWGDsuJ3ALleWWaeN5fhmXp_ws7aZHTdDdQXxYeTvN8ouzdVeL_D-RFHJrPeKcdgmcMsnR8D,0,0.0,,,,,
downsize_200k_v1?w=200&h=200,3379,3352.0,21814.0,21330.0,19534.0,17150.0,14776
