img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.newsmth.net/,106,0.0,,,,,
logo_footer.gif,2237,2034.0,1940.0,1882.0,1646.0,1428.0,1078
beian.png,19479,19256.0,,,,,
hd315.gif,1493,1290.0,922.0,896.0,768.0,636.0,456
hdfj.jpg,12986,12771.0,5864.0,5596.0,4620.0,3588.0,2404
2022-04-22-16-36-15.gif,378512,377891.0,197354.0,185290.0,145848.0,104214.0,65554
hm.gif?cc=1&ck=1&cl=24-bit&ds=360x640&vl=1785&et=0&ja=0&ln=en-us&lo=0&rnd=238029371&si=3663c777a66d280fdb290b6b9808aff0&su=https%3A%2F%2Fwww.mysmth.net%2F&v=1.2.92&lv=1&api=6_0&sn=26085&r=0&ww=1004&ct,299,43.0,72.0,72.0,72.0,72.0,72
feedback_grey600_24dp.png,744,205.0,182.0,182.0,182.0,182.0,180
settings_grey600_24dp.png,696,604.0,496.0,494.0,494.0,494.0,492
gen_204?id=mys&d=ChQIByoQd2ViX2ludGVyc3RpdGlhbAoHCAgqA2x0cgoMCAEqCHBvcnRyYWl0CgoIAioGc2VydmVyCkIIBCo-bXlzaWRpYV9hbmFseXRpY3MscGVyZl92aWRlb192cDlfZ2NhY2hlLG15c2lkaWFfcmVsZWFzZV9jYW5hcnkKDRArIQAAAAAAADF,442,0.0,,,,,
gen_204?id=mys&d=ChQIByoQd2ViX2ludGVyc3RpdGlhbAoHCAgqA2x0cgoMCAEqCHBvcnRyYWl0CgoIAioGc2VydmVyCkIIBCo-bXlzaWRpYV9hbmFseXRpY3MscGVyZl92aWRlb192cDlfZ2NhY2hlLG15c2lkaWFfcmVsZWFzZV9jYW5hcnkKDRAQIQAAAAAAAAA,20,0.0,,,,,
sodar?id=sodar2&v=225&li=gda_r20220420&jk=472079556271228&rc=,0,0.0,,,,,
generate_204?dY6f7g,9,0.0,,,,,
sodar?id=sodar2&v=225&t=2&li=gda_r20220420&jk=472079556271228&bg=!wMOlw4fNAAYXWUUuN1k7ACkAdvg8WsOwc0-E9ZoZu-zlUAOGomwdE0XtrEv5vFVD4u66JK-4aaQn6AIAAABgUgAAAARoAQcKADvT3cfQdL0vqP5AkQszvgVYtU6_Vi65THq81q,0,0.0,,,,,
pageTransferSize,1331734,,,,,,
totalByteWeight,3049032,,,,,,
