img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.office365.com/,370,0.0,,,,,
RE1Mu3b?ver=5c31,4391,4054.0,1952.0,1954.0,1932.0,1898.0,1852
LinkedIn-29?scl=1,1012,820.0,296.0,278.0,242.0,204.0,164
Twitter-34?scl=1,943,749.0,298.0,286.0,248.0,218.0,172
Blog?scl=1,1042,848.0,340.0,324.0,280.0,240.0,186
Hero-M365HP-1920x720:VP1-539x400,24318,24070.0,7010.0,6656.0,5392.0,4148.0,2998
Icon_Word_36x36_2x?wid=72&hei=72&qlt=100,3887,3685.0,732.0,710.0,594.0,472.0,350
VerticalTab-Word-1608x1206?wid=1608&hei=1206&qlt=100&fit=constrain,348424,347464.0,64754.0,59128.0,45644.0,31328.0,18048
Icon_Excel_36x36_2x?wid=72&hei=72&qlt=100,3792,3590.0,688.0,642.0,530.0,436.0,348
Icon_PowerPoint_36x36_2x?wid=72&hei=72&qlt=100,4632,4429.0,804.0,780.0,652.0,502.0,362
Icon_Teams_36x36_2x?wid=72&hei=72&qlt=100,4412,4210.0,748.0,708.0,586.0,464.0,332
Icon_Outlook_36x36_2x?wid=72&hei=72&qlt=100,4883,4681.0,886.0,844.0,704.0,572.0,416
Icon_OneDrive_36x36_2x?wid=72&hei=72&qlt=100,3834,3631.0,628.0,584.0,504.0,408.0,280
Icon_More_36x36_2x?wid=72&hei=72&qlt=100,5233,5030.0,1236.0,1166.0,964.0,768.0,530
personal-family?wid=1099&hei=880&qlt=75,116891,116444.0,64158.0,59926.0,46946.0,33826.0,22400
work?wid=1099&hei=880&qlt=75,73858,73502.0,37290.0,35238.0,27976.0,20830.0,14120
education?wid=1099&hei=880&qlt=75,64389,64042.0,28734.0,27202.0,21324.0,16022.0,10998
ibs:dpid=411&dpuuid=YmM2VQAAAKZZ_wQp,945,42.0,72.0,72.0,72.0,72.0,72
hbpix?pixId=16873&pcv=70&ptid=66&tpuv=01&tpu=82196339328671580801411552634668921313,278,43.0,72.0,72.0,72.0,72.0,72
adsct?p_user_id=82196339328671580801411552634668921313&p_id=38594,354,43.0,72.0,72.0,72.0,72.0,72
pageview?pid=2422&uu=230513ab-f249-a277-cfc4-7834b76046db&sn=1&lv=1650669142&lhd=1650669142&hd=1650669142&pn=1&re=1&dw=373&dh=8433&ww=373&wh=662&sw=360&sh=640&dr=&url=https%3A%2F%2Fwww.microsoft.com%2,320,0.0,,,,,
pageEvent?value=MIewdgZglg5gXAAgEoFMA2KCGBnFB9AJgAYDiAWIgdiAAA%3D%3D&isETR=false&isCustomHashId=false&v=11.20.0&pid=2422&uu=230513ab-f249-a277-cfc4-7834b76046db&sn=1&pn=1&r=179987,319,0.0,,,,,
p-vj4AYjBqd6VJ2.gif?idmatch=0&gdpr=0&gdpr_consent=,372,35.0,44.0,44.0,44.0,44.0,44
ibs:dpid=358&dpuuid=1957462903802989475,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=477&dpuuid=01eee807fc73ad27e77c15d44f38654fcd38d457011c8ab0a3c96cadb1c377b2b0da87c991749652,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=771&dpuuid=CAESEHdylkMCjonzIkGgKb4O8Eg&google_cver=1?gdpr=0&gdpr_consent=,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=269&dpuuid=40f66263-3656-4900-8720-fc56487d41b9&ddsuuid=82196339328671580801411552634668921313,945,42.0,72.0,72.0,72.0,72.0,72
Image-ConnectAnywhere-800x450:VP1-539x349,38222,37938.0,13382.0,12752.0,10206.0,7744.0,5238
pageEvent?value=PIOwNg9ghgJgBAHzgQTGOAFKBzApgZwC45gBlOAXhRBgCcIBLeAdgDoAGIA%3D&isETR=false&isCustomHashId=false&v=11.20.0&pid=2422&uu=230513ab-f249-a277-cfc4-7834b76046db&sn=1&pn=1&r=376661,319,0.0,,,,,
Image-Protect-800x450?wid=800&hei=450&qlt=100,68697,68358.0,10474.0,9728.0,7704.0,5836.0,3946
clifton-coffee-roasters-logo?wid=128&hei=128&fit=crop,3106,2912.0,1252.0,1202.0,1038.0,838.0,630
ibs:dpid=1957&dpuuid=0A556F485D64620537307EC65C6D638F,945,42.0,72.0,72.0,72.0,72.0,72
