img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.okezone.com/,41733,229073.0,,,,,
mncnow-logo@2x.png,1997,1617.0,1264.0,1244.0,1194.0,1124.0,1066
tinjau-street-race-bsd-kapolda-metro-balapan-punya-nilai-ekonomi-luar-biasa-etwiRcV9LN.jpg,64407,63480.0,6302.0,5980.0,4904.0,3706.0,2336
hasil-kualifikasi-motogp-portugal-2022-marc-marquez-tercecer-ke-posisi-9-johann-zarco-dramatis-rebut-pole-position-Imp5xcjEYw.jpg,106257,105219.0,20694.0,18342.0,12856.0,8182.0,4748
5-fakta-arsenal-menang-3-1-atas-manchester-united-di-liga-inggris-2021-2022-nomor-1-aksi-cristiano-ronaldo-penuh-haru-Bfaqr1Yf96.jpg,79645,78652.0,7892.0,7564.0,6344.0,4892.0,3132
hasil-arsenal-vs-manchester-united-di-liga-inggris-2021-2022-cristiano-ronaldo-cs-dihajar-the-gunners-1-3-w4suErrOlN.jpg,156734,155648.0,59370.0,55866.0,45080.0,33210.0,21316
daftar-harga-tempe-di-5-negara-selain-indonesia-jadi-makanan-sultan-NgWTqVxe7d.jpg,34553,33693.0,19592.0,18330.0,14078.0,10610.0,6706
logo_highend.png,2889,2508.0,1534.0,1514.0,1460.0,1366.0,1296
logo_idxc.png,23526,23115.0,10628.0,10432.0,9816.0,9026.0,8160
logo_travel.png,7112,6723.0,3196.0,3128.0,2900.0,2634.0,2396
logo_autos.png,8455,8074.0,3102.0,3044.0,2710.0,2462.0,2232
logo_bola.png,3094,2713.0,2972.0,2898.0,2586.0,2234.0,1818
logo_techno.png,5098,4719.0,2454.0,2422.0,2320.0,2198.0,2058
ic-foto-1x.png,835,332.0,282.0,274.0,260.0,250.0,242
icon-menu-mobile.png,45678,45243.0,20784.0,20290.0,18874.0,17086.0,15602
logo_okezone_ramadan.png,13720,13162.0,9598.0,9412.0,8800.0,8108.0,7258
xlogo-wp402x.png.pagespeed.ic.OLkNt1PsL4.png,19843,19230.0,11408.0,11378.0,11380.0,11308.0,11180
xmncmedia.png.pagespeed.ic.6g3z4rz69Y.png,3054,2467.0,1062.0,1050.0,996.0,926.0,848
percentage.png,854,476.0,440.0,438.0,406.0,384.0,354
icon-okedukasi.svg,1075,1296.0,,,,,
icon-oketravel.png,3413,3033.0,1574.0,1574.0,1574.0,1574.0,1574
navicon-idx.png,26568,26150.0,16378.0,16086.0,14836.0,13290.0,11406
icon_sportstars.png,1075,698.0,784.0,758.0,664.0,562.0,452
nav-ramadan-wp.svg,93448,222388.0,,,,,
icon.png,1504,1123.0,618.0,598.0,538.0,468.0,398
logo-sponsor.svg,15880,15662.0,,,,,
widget-azan.png,6994,6611.0,2778.0,2624.0,1998.0,1466.0,950
widget-quran-digital.png,7080,6697.0,2828.0,2672.0,2064.0,1572.0,1020
www.okezone.com,229073,229073.0,44.0,44.0,44.0,44.0,44
J4hyILtsMo.jpg,6573,5928.0,4360.0,4114.0,3286.0,2522.0,1604
jzvso3BHGu.jpg,7915,7197.0,5534.0,5298.0,4268.0,3230.0,1926
kLTYR52q6G.jpg,9265,8604.0,6260.0,5892.0,4728.0,3584.0,2364
epUxeglPrT.jpg,3444,2799.0,1620.0,1542.0,1262.0,942.0,666
QPM48IzIA9.jpg,8639,7995.0,5106.0,4794.0,3848.0,2872.0,1894
4XIz06PQSh.jpeg,4788,4143.0,2330.0,2214.0,1708.0,1274.0,844
4nM8ogcWyX.jpg,4547,3893.0,2454.0,2332.0,1910.0,1470.0,958
cUrpOaW26e.JPG,4670,4025.0,2760.0,2582.0,2072.0,1542.0,906
