img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.okta.com/,131743,705857.0,72.0,72.0,72.0,72.0,72
logo.svg?v2,1323,1967.0,,,,,
WEB_Icon_Product_SSO_40x40-Nav.svg,1594,2979.0,,,,,
WEB_Icon_Product_Universal-Directory_40x40-Nav.svg,984,1507.0,,,,,
WEB_Icon_Product_ASA_40x40-Nav.svg,1123,1319.0,,,,,
WEB_Icon_Product_API-Access-Mgmt_40x40-Nav.svg,975,2084.0,,,,,
WEB_Icon_Product_MFA_40x40-Nav.svg,941,2039.0,,,,,
WEB_Icon_Product_Authentication_40x40-Nav.svg,988,1495.0,,,,,
WEB_Icon_Product_User-Mgmt_40x40-Nav.svg,946,1198.0,,,,,
WEB_Icon_Product_B2B-Integration_40x40-Nav.svg,913,1881.0,,,,,
WEB_Icon_Product_Lifecycle-Mgmt_40x40-Nav.svg,1360,1870.0,,,,,
WEB_Icon_Product_Access-Gateway_40x40-Nav.svg,897,1343.0,,,,,
Workforce-ID-Solutions-Remote-Nav.svg,1070,1385.0,,,,,
Workforce-ID-Solutions-Onboarding%250D-Nav.svg,767,827.0,,,,,
Workforce-ID-Solutions-IT%20efficiency-Nav.svg,922,1036.0,,,,,
Icon_T1_100x100_Cloud-Nav.svg,1126,1275.0,,,,,
Workforce-ID-Solutions-External%20collaboration-Nav.svg,1409,2215.0,,,,,
Workforce-ID-Solutions-Office%20365-Nav.svg,1300,1863.0,,,,,
Customer-id-solutions-Digital-platform-Nav.svg,1025,1232.0,72.0,72.0,72.0,72.0,72
Customer-id-solutions-User-trust-Nav.svg,1253,1803.0,,,,,
Customer-id-solutions-Modern-identity-Nav.svg,831,860.0,,,,,
Customer-id-solutions-Build-scalable-apps-Nav.svg,995,1189.0,72.0,72.0,72.0,72.0,72
Customer-id-solutions-Secure-APIs-Nav.svg,991,1200.0,,,,,
Customer-id-solutions-Account-protection-Nav.svg,1406,2593.0,72.0,72.0,72.0,72.0,72
Customer-id-solutions-Integrate-Apps-Nav.svg,985,1258.0,72.0,72.0,72.0,72.0,72
Icon_T1_100x100_Coding-Nav.svg,871,990.0,,,,,
Icon_T1_100x100_Docs-Nav.svg,843,946.0,,,,,
mark-icons-Directory-Nav.svg,964,868.0,,,,,
Webinar-Nav.svg,1151,1293.0,,,,,
Icon_T1_100x100_MessagingConversation-Nav.svg,877,1006.0,,,,,
Icon_T1_100x100_Launch2-Nav.svg,989,1369.0,,,,,
Icon_T1_100x100_Datasheet2-Nav.svg,953,1124.0,,,,,
Icon_T1_100x100_AppsLaptop-Nav.svg,973,1263.0,72.0,72.0,72.0,72.0,72
Icon_T1_100x100_Calendar_0.svg,827,1044.0,,,,,
Icon_T1_100x100_IdentitySecurity-Nav.svg,1215,1667.0,,,,,
Icon_T1_100x100_Training-Nav.svg,1017,1325.0,,,,,
Icon_T1_100x100_Certification-Nav.svg,988,1217.0,,,,,
Icon_T1_100x100_Partners4-Nav.svg,1127,1680.0,,,,,
Icon_T1_100x100_OrgPhysicalBuildingPremises-Nav.svg,900,1112.0,,,,,
Icon_T1_100x100_GroupOfPeopleUsers-Nav.svg,1235,1679.0,72.0,72.0,72.0,72.0,72
Icon_T1_100x100_Handshake2-Nav.svg,1595,2490.0,,,,,
Team-goal-Nav.svg,1298,2043.0,,,,,
Icon_T1_100x100_OrganizationPeople-Nav.svg,1142,1837.0,72.0,72.0,72.0,72.0,72
Icon_T1_100x100_OrgEmployee-Nav.svg,976,1311.0,72.0,72.0,72.0,72.0,72
Icon_T1_100x100_Global-Nav.svg,1183,1352.0,,,,,
Icon_T1_100x100_Heart-Nav.svg,1123,1431.0,,,,,
Icon_T1_100x100_Handshake1-Nav.svg,1234,1703.0,,,,,
Icon_T1_100x100_Money2-Nav.svg,1231,1691.0,,,,,
a1_r06_v16_transp_cropped_720_sm.png,98367,97879.0,139082.0,137086.0,129970.0,120678.0,110178
customer-420x420.png,18690,18316.0,72.0,72.0,72.0,72.0,72
workforce-420x420.png,32703,32301.0,49404.0,48864.0,46378.0,43526.0,39142
logo-forrester-white.png,2368,1964.0,1536.0,1536.0,1536.0,1538.0,1536
logo-gartner-white.png,2318,1988.0,1490.0,1490.0,1490.0,1492.0,1490
workforce_desktop.jpg,111184,110666.0,48112.0,45412.0,35438.0,27064.0,17982
customer_desktop.jpg,147621,147040.0,72.0,72.0,72.0,72.0,72
icon-globe.svg,2414,3904.0,,,,,
cta-centered-top-right-white.svg,12087,33372.0,72.0,72.0,72.0,72.0,72
cta-centered-bottom-right-white.svg,23340,66791.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-QKMSDV5369&cid=1603424591.1650736594&gtm=2oe4k0&aip=1&z=907228951,501,42.0,72.0,72.0,72.0,72.0,72
Logo-V_NY_blue.png?itok=gf7C7vDr,12855,12395.0,17536.0,17122.0,16110.0,14926.0,13580
u.gif?g=hylzdeMFK2xY9OTPHW2IwV1JeT+7B3yHQrxqSRJtAAw=&pd=eyJ3ZWJ0cmFja2VyIjoiMi4wIn3e4bPXaJOLfs6WjnYOMJNA&gtmcb=442442140,266,43.0,72.0,72.0,72.0,72.0,72
rt.gif?ntv_tg=473396d05bd542a08209aa3438b16501&ord=494443496,539,43.0,72.0,72.0,72.0,72.0,72
rt.gif?ntv_tg=473396d05bd542a08209aa3438b16501&ord=514422067,539,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=532977860&t=pageview&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=360x640&je=,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=532977860&t=pageview&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=360x,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=532977860&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=36,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=532977860&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=36,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=532977860&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=360x640&j,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=532977860&t=pageview&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=360x,55,35.0,44.0,44.0,44.0,44.0,44
0?ti=5175358&Ver=2&mid=2eff35b4-1d8e-4bf6-bb1c-6149d79c1aa1&sid=b7903460c32e11ecababf561566b4311&vid=b790a880c32e11ecb3574bab061b597e&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=The%20World%E,175,0.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15777010-7&cid=1603424591.1650736594&jid=426118210&_u=YCDAiEABBAAAAE~&z=1579092589,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15777010-7&cid=1603424591.1650736594&jid=426118210&_u=YCDAiEABBAAAAE~&z=1579092589,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15777010-1&cid=1603424591.1650736594&jid=2074732035&_u=YCDAgEABAAAAAE~&z=461312283,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15777010-1&cid=1603424591.1650736594&jid=2074732035&_u=YCDAgEABAAAAAE~&z=461312283,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15777010-23&cid=1603424591.1650736594&jid=1029325696&_u=YCDAiEABBAAAAE~&z=1371105067,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15777010-23&cid=1603424591.1650736594&jid=1029325696&_u=YCDAiEABBAAAAE~&z=1371105067,107,42.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=532977860&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=36,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=532977860&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.okta.com%2F&ul=en-us&de=UTF-8&dt=The%20World%E2%80%99s%20%231%20Identity%20Platform%20%7C%20Okta&sd=24-bit&sr=360x640&vp=360x640&j,55,35.0,44.0,44.0,44.0,44.0,44
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nuwe7&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=d445471e-f706-4e1d,355,43.0,72.0,72.0,72.0,72.0,72
