img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.online-convert.com/,15212,183276.0,,,,,
oc_logo_grey_font_like_sat.svg,11803,48430.0,,,,,
favicon.ico,4503,7406.0,,,,,
siemens.png,1594,1433.0,890.0,890.0,886.0,886.0,884
renault.png,1679,1584.0,1076.0,1060.0,1000.0,948.0,878
dell.png,1345,1249.0,760.0,758.0,748.0,744.0,738
hasbro.png,2253,2137.0,1062.0,1042.0,974.0,898.0,824
unilever.png,2219,2071.0,1426.0,1424.0,1416.0,1410.0,1404
bbc.png,2245,2126.0,1500.0,1466.0,1374.0,1272.0,1120
hp.png,1511,1388.0,842.0,838.0,834.0,832.0,832
samsung.png,2085,1951.0,1280.0,1274.0,1240.0,1210.0,1190
ChromeWebStore_Badge.svg,8728,41145.0,,,,,
FirefoxWebStore_Badge.png,5872,5718.0,1874.0,1804.0,1526.0,1210.0,856
en_get_google_play.svg,2065,5019.0,,,,,
Download_on_the_App_Store_Badge_EN_135x40.svg,4644,12224.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15479234-1&cid=354918297.1650676001&jid=1470142881&_u=YADAAQAAAAAAAC~&z=567990362,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-15479234-1&cid=354918297.1650676001&jid=1470142881&_u=YADAAQAAAAAAAC~&z=567990362,501,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,593134,,,,,,
totalByteWeight,1684042,,,,,,
