img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.onlinesbi.com/,12954,60312.0,,,,,
new_blink.gif,2336,1746.0,1666.0,1648.0,1576.0,1484.0,1388
new_blink1.gif,1849,1259.0,1496.0,1484.0,1442.0,1384.0,1326
cache.gif,10654,11839.0,19298.0,18816.0,16298.0,13586.0,9380
cache_mob.gif,10708,11898.0,19046.0,18380.0,16030.0,13290.0,9364
arrow.png,1921,1331.0,358.0,352.0,334.0,318.0,296
ybbi_corp.png,9358,8768.0,2396.0,2360.0,2296.0,2206.0,2150
body_bg.jpg,5937,10921.0,62.0,64.0,58.0,54.0,48
sprite.png,71865,88536.0,21430.0,21034.0,19296.0,17322.0,15128
register.png,3224,2634.0,478.0,470.0,430.0,386.0,312
faq.png,3531,2941.0,818.0,790.0,724.0,648.0,568
cust_care.png,3091,2501.0,526.0,516.0,464.0,420.0,354
unlock_user.png,2349,1759.0,432.0,418.0,396.0,368.0,346
icon_usefulLinks.png,1658,1068.0,110.0,110.0,108.0,102.0,96
dropdown.png,3514,2924.0,,,,,
banner34.jpg,245523,244983.0,38562.0,37192.0,30524.0,23498.0,15550
banner36.jpg,54941,58318.0,23484.0,22472.0,18900.0,14558.0,10230
banner35.jpg,68514,69437.0,25266.0,23876.0,19508.0,14362.0,9378
banner30.jpg,103339,108714.0,22560.0,21576.0,18576.0,14736.0,10588
banner29.jpg,124415,128471.0,30262.0,29060.0,24830.0,19512.0,13818
banner24.jpg,144985,149262.0,30314.0,29020.0,24848.0,19306.0,13478
banner25.jpg,161115,164976.0,27660.0,26092.0,21842.0,16348.0,10992
banner27.jpg,154803,162100.0,26742.0,25572.0,21454.0,16640.0,11334
banner3.jpg,127518,126848.0,22216.0,21026.0,17254.0,12704.0,8344
banner19.jpg,203999,203825.0,29556.0,28064.0,24042.0,18888.0,13542
banner22.jpg,331747,342808.0,48212.0,46060.0,37520.0,28498.0,18980
banner23.jpg,158821,160448.0,27672.0,26296.0,22044.0,17160.0,11700
banner20.jpg,103356,104212.0,27270.0,26028.0,21680.0,17092.0,11800
banner9.jpg,97926,97430.0,34722.0,33294.0,27542.0,21418.0,14780
banner11.jpg,79823,88861.0,22608.0,21904.0,18516.0,14298.0,10080
resizeimage.ashx?ig=www.onlinesbi.com&sz=105405,143,0.0,,,,,
dropdown.png,756,756.0,,,,,
pageTransferSize,2430848,,,,,,
totalByteWeight,2748869,,,,,,
