img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.op.gg/,59835,186809.0,,,,,
icon-navi-lol.png?v=1650634188962,7725,7456.0,1578.0,1518.0,1364.0,1172.0,984
opgglogo.svg?v=1650634188962,4322,4055.0,,,,,
icon-login-gray.svg?v=1650634188962,1010,764.0,,,,,
icon-gg.svg?v=1650634188962,3045,2799.0,,,,,
img-firsttimeuser-01x2.png?v=1650634188962,46988,46636.0,9064.0,8648.0,7238.0,5778.0,4046
img-firsttimeuser-02x2.png?v=1650634188962,77536,77114.0,11280.0,10812.0,9062.0,7034.0,4824
img-firsttimeuser-03x2.png?v=1650634188962,72401,71997.0,11330.0,10856.0,9112.0,7088.0,4966
twitter_mobile.png?v=1650634188962,2538,2285.0,440.0,424.0,372.0,316.0,236
instagram_mobile.png?v=1650634188962,5278,5018.0,962.0,922.0,822.0,686.0,564
facebook_mobile.png?v=1650634188962,1244,1001.0,376.0,362.0,316.0,288.0,246
bg-selectArrow-small.png,378,135.0,108.0,106.0,104.0,100.0,96
img-op-gg-app-downlaod-popup-01-en@2x.png?v=1650634188774,126403,125872.0,32216.0,30698.0,25716.0,19144.0,12958
icon-closead.svg?v=1650634188774,670,424.0,,,,,
img-sidebar-btn-more.png?v=1650634188774,599,358.0,144.0,150.0,134.0,136.0,110
img-sidebar-btn-more.png?v=1650634188774,602,358.0,144.0,150.0,134.0,136.0,110
20220419150423.1fa02e2e1dd44f84907bd35b57b3750a.png?image=q_autof_webpw_auto&v=1650634188774,32384,31800.0,25992.0,24440.0,21550.0,19278.0,16340
op_loader.gif,8213,7611.0,10888.0,10464.0,9438.0,7598.0,5488
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-37377845-1&cid=946204767.1650645395&jid=566833265&_u=YADAAUAAAAAAAC~&z=574380289,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-37377845-1&cid=946204767.1650645395&jid=566833265&_u=YADAAUAAAAAAAC~&z=574380289,501,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,2139093,,,,,,
totalByteWeight,7417991,,,,,,
