img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.outbrain.com/,17971,60418.0,,,,,
video-hero-play-mobile.png,13567,13186.0,4216.0,4144.0,3902.0,3588.0,3268
video-hero-play.webp,12104,11722.0,13628.0,13490.0,12654.0,11650.0,10328
smartfeed-logo.webp,6039,5658.0,5858.0,5818.0,5590.0,5260.0,4722
video-hero-bg-mobile.webp,3340,2960.0,3202.0,3086.0,2712.0,2274.0,1806
reg-envelop.svg,1313,2108.0,,,,,
arrow.svg,948,1013.0,,,,,
phone-bg.png?v=ue0380faeu0651f6cbudc00bcf4ucb481b65,247540,247157.0,95462.0,91808.0,78050.0,62970.0,47808
phone-side.png?v=ue0380faeu0651f6cbudc00bcf4ucb481b65,174816,174433.0,63092.0,60472.0,51894.0,42322.0,33892
hearst.jpg?v=ue0380faeu0651f6cbudc00bcf4ucb481b65,1295465,1295080.0,87472.0,82696.0,62926.0,45566.0,27434
cnn.jpg?v=ue0380faeu0651f6cbudc00bcf4ucb481b65,225499,225115.0,98774.0,91592.0,65342.0,45254.0,24590
amplify-mobile.jpg?v=ue0380faeu0651f6cbudc00bcf4ucb481b65,26107,25725.0,10344.0,9736.0,7700.0,5762.0,3748
engage-mobile.png?v=ue0380faeu0651f6cbudc00bcf4ucb481b65,23516,23135.0,11040.0,10466.0,8826.0,6960.0,5058
smartfeed-bg-mobile.png?v=ue0380faeu0651f6cbudc00bcf4ucb481b65,113877,113494.0,52048.0,49092.0,40030.0,32202.0,24506
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-NTFSE0FZ9Y&cid=211219485.1650650019&gtm=2oe4k0&aip=1&z=1826196793,501,42.0,72.0,72.0,72.0,72.0,72
usage.gif?token=eda72c8282ab4e99b9e4f4ad95ac9219&correlationId=fddae039-ad0e-41c2-9613-d2b9ff317f34&application=www-outbrain-com&x=121df67f-e508-4c73-bd6f-549781d9b255&,229,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=1302352121&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.outbrain.com%2F&ul=en-us&de=UTF-8&dt=Outbrain%20-%20Recommendation%20Platform%20Powered%20by%20Native%20Ads&sd=24-bit&sr=360x640&,55,35.0,44.0,44.0,44.0,44.0,44
unifiedPixel?marketerId=004e6e2a8dddb574d007a0de6dfc51706300c8f9e47f3276f93622bf0fc68f3902e8000e82d9fd79b774dfc2addc8ab340a83b&obApiVersion=1.0-gtm&obtpVersion=1.6.0&name=PAGE_VIEW&dl=https%3A%2F%2F,256,43.0,72.0,72.0,72.0,72.0,72
article-programmatic-native.jpg,59887,59505.0,7734.0,7310.0,5910.0,4670.0,3154
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-71823982-1&cid=211219485.1650650019&jid=1131071079&_u=aADAAEAAQAAAAC~&z=1580536047,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-71823982-1&cid=211219485.1650650019&jid=1131071079&_u=aADAAEAAQAAAAC~&z=1580536047,63,42.0,72.0,72.0,72.0,72.0,72
?random=1650650019437&cv=9&fst=1650646800000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,548,42.0,,,,,
