img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.oxu.az/,465,0.0,,,,,
W1siZiIsIjIwMjIvMDQvMjIvMTgvNTMvNDcvMGYwNGQ0ZmUtN2I1My00MmJhLTkxZjgtMjcwMmFmMTk4M2UwL19ST00wMTk5LmpwZyJdLFsicCIsImVuY29kZSIsImpwZyIsIi1xdWFsaXR5IDgwIl0sWyJwIiwidGh1bWIiLCI2MjB4NDEzIyJdXQ?sha=6de44d03a,111363,110770.0,65486.0,61746.0,50168.0,37482.0,22926
W1siZiIsIjIwMjIvMDQvMjIvMjAvMDAvNTQvNmQ5OGQzOTktMDg2ZC00Y2QyLTkyN2ItZmEwYjUwMjVlNjljL2QyYzU0NDdiLTM2N2UtM2M4MS05YmY3LWUxNGRkZWEwNTQ0MV84NTAuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAi,40553,40019.0,19760.0,18552.0,13404.0,9120.0,5170
W1siZiIsIjIwMjIvMDQvMjIvMTkvMDkvMDUvMzcwMGM4NzMtZGEwZC00ZGE2LWJjYjEtZTg4MGVmNDgxZGNmL0ZvdG9KZXQgLSAyMDIyLTA0LTIyVDE5MDg1NS41NTcuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAiLCJ0aHVtYiIs,57769,57216.0,28404.0,26502.0,20874.0,15340.0,9362
W1siZiIsIjIwMjIvMDQvMjIvMTkvMTAvMzgvMTM0MTk2N2QtNWU0Yy00ZmQwLTljOTItZGFmYzUyYTU5MDk4L19ST00wNTM4LmpwZyJdLFsicCIsImVuY29kZSIsImpwZyIsIi1xdWFsaXR5IDgwIl0sWyJwIiwidGh1bWIiLCI2MjB4NDEzIyJdXQ?sha=64f4d467e,51355,50816.0,13854.0,13060.0,10048.0,7438.0,4768
W1siZiIsIjIwMjIvMDQvMjIvMTgvNTMvMzIvNTNiZGUwZGYtNWFhYi00ZDg0LWEzZDgtMmFjYjg5ZjkxZjQzL21heHJlc2RlZmF1bHQuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAiLCJ0aHVtYiIsIjYyMHg0MTMjIl1d?sha=d04,46003,45478.0,24212.0,23188.0,18594.0,14204.0,9466
header_bg-16b933a63f94b28290d368006e6a4901530e656b79339c9ed6de9321eb73a30a.png,3943,3528.0,738.0,692.0,366.0,166.0,88
sprite2-ad58269760f18425adc4f1b489a5f0425d31a6157cacd2f8fc2b4e8ec79ed220.svg,6492,18495.0,,,,,
xb64.png,10402,9979.0,2072.0,2032.0,1812.0,1546.0,1276
divider@2x-3d28bf43b92af5058637e791f5dee9e42e4135b3c0f5abfd8b4fe307adaac233.png,677,263.0,174.0,174.0,174.0,174.0,174
W1siZiIsIjIwMjIvMDQvMjIvMjEvNDcvNTYvNmYzNjMzYmItNjdiZi00NmEzLWI3ZWUtZTZhZWU4NDFiN2Q1L0ZvdG9KZXQgLSAyMDIyLTA0LTIyVDIxNDcyNi40MzcuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAiLCJ0aHVtYiIs,39498,38953.0,16984.0,15714.0,12296.0,9046.0,5650
W1siZiIsIjIwMjIvMDQvMjIvMjEvMjkvMjIvNDk4MzNkMzQtZmNlOS00OThkLTljYzgtMjM1OWI3ZGM4MzBkL0ZvdG9KZXQgLSAyMDIyLTA0LTIyVDIxMjkxMy41NzUuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAiLCJ0aHVtYiIs,36967,36441.0,15434.0,14506.0,11390.0,8302.0,5222
W1siZiIsIjIwMjIvMDQvMjIvMjEvMjkvMDMvMWYzNWE5NTYtMTNhOC00ODcwLWEyZmYtYjRhMjVmYjMxODIxLzI3ODg2NjQ3OF82NzUzMTYyMTM2OTY5MzhfNjA4MzI1NzIxODMyNjYyMzkzX24uanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAi,37567,37029.0,18654.0,17616.0,14268.0,11052.0,7810
W1siZiIsIjIwMjIvMDQvMjIvMDkvMjgvMzIvMDk3YmIwNTgtYmJjOS00NjQ1LWIxZTAtZGJjNzU3YTFkMmIwL2JhcyBmb3RvIChheikuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAiLCJ0aHVtYiIsIjYyMHg0MTNcdTAwM2UiXV0?,125129,124513.0,19280.0,18430.0,14506.0,10512.0,6714
W1siZiIsIjIwMjIvMDQvMjIvMTEvMzUvMDkvM2Q4NmUwZTctOTVhZC00MDE5LThlM2MtZGZkYzg3ZDdmYTJhL0ZvdG9KZXQgLSAyMDIyLTA0LTIyVDExMzM0MC4wNzIuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAiLCJ0aHVtYiIs,47819,47273.0,19726.0,18050.0,13958.0,10156.0,6410
W1siZiIsIjIwMjIvMDQvMjIvMTgvMjcvMjgvY2FlM2UxMTYtZTJhZS00ZTk4LTk5NjEtOTEzMWQ2NTNjNzg4L0ZvdG9KZXQgLSAyMDIyLTA0LTIyVDE4MjY0Ni40NzcuanBnIl0sWyJwIiwiZW5jb2RlIiwianBnIiwiLXF1YWxpdHkgODAiXSxbInAiLCJ0aHVtYiIs,36678,36151.0,14678.0,13934.0,10712.0,7752.0,4940
