img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.patreon.com/,27389,172006.0,,,,,
coe-optimize.gif,1881566,1880219.0,,,,,
mikki_kendall.png,155095,154498.0,15288.0,14358.0,11656.0,8734.0,6196
baratunde_thurston.png,144178,143664.0,11814.0,11080.0,8830.0,6802.0,4888
heather_mcdonald.png,170121,169737.0,14544.0,13786.0,10918.0,8266.0,5604
podcasters.png,226323,225920.0,18368.0,17488.0,14058.0,10970.0,7776
CreatorProfile-EN.jpg,333157,332674.0,29582.0,28440.0,24316.0,19868.0,14900
is-patreon-right-for-you_2x.jpg,232482,231920.0,25968.0,24442.0,19654.0,15358.0,9962
6-membership-based-business_2x.jpg,213009,212575.0,18256.0,17244.0,13470.0,9764.0,6382
20-most-useful_2x.jpg,305652,305204.0,34834.0,32688.0,25942.0,19070.0,11956
country_flags.png,80887,80096.0,21962.0,20974.0,18154.0,15346.0,10674
rp.gif?ts=1650644645619&id=t2_1o7zgsup&event=PageVisit&m.itemCount=&m.value=&m.valueDecimal=&m.currency=&m.transactionId=&m.customEventName=&m.products=&uuid=8da11cae-2ab0-4300-a5e3-f2c3a70d8771&aaid=,421,421.0,72.0,72.0,72.0,72.0,72
?id=267568703576098&ev=PageView&dl=https%3A%2F%2Fwww.patreon.com%2F&rl=&if=false&ts=1650644645945&sw=360&sh=640&v=2.9.57&r=stable&a=tmSimo-GTM-WebTemplate&ec=0&o=30&par[0]=%7B%22extractorID%22%3A%2225,409,44.0,,,,,
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nw1x9&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=4e5214f2-73ba-429d,354,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nw1x9&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=4e5214f2-73ba-429d,337,43.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-40726300-1&cid=850513678.1650644645&jid=1384462763&_u=YEBAAUAAAAAAAC~&z=1197928931,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-40726300-1&cid=850513678.1650644645&jid=1384462763&_u=YEBAAUAAAAAAAC~&z=1197928931,107,42.0,72.0,72.0,72.0,72.0,72
?id=267568703576098&ev=Microdata&dl=https%3A%2F%2Fwww.patreon.com%2F&rl=&if=false&ts=1650644646454&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Best%20way%20for%20artists%20and%20creators%20to%20,91,44.0,,,,,
?random=1650644645761&cv=9&fst=1650643200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
?random=1650644645761&cv=9&fst=1650643200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
videocreators.png,225223,224680.0,21264.0,19838.0,15680.0,11912.0,8182
musicians.png,229891,229461.0,21148.0,20186.0,16502.0,12936.0,8872
pageTransferSize,5659352,,,,,,
totalByteWeight,8726440,,,,,,
