img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.people.com/,723,0.0,,,,,
image?q=60&c=tc&w=352&h=352&url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F22%2Falexander-skarsgard.jpg,12776,12442.0,7316.0,7122.0,6392.0,4938.0,3040
image?q=60&c=tc&w=352&h=352&url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F22%2Fteneille.jpg,27002,26650.0,22528.0,21884.0,20034.0,16478.0,9302
image?q=60&c=tc&w=352&h=352&url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F22%2Fanthony-ramos.jpg,17035,16692.0,11636.0,11310.0,10324.0,8422.0,4522
image?q=60&c=tc&w=352&h=352&url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F22%2Fozark.jpg,15477,15144.0,10014.0,9722.0,8712.0,6620.0,3700
hr-divider-royals-s.svg,1432,1225.0,,,,,
icon-continue.svg,1072,265.0,,,,,
x.gif?pulse=-1&v=l1.0.21&type=karma&globalTI_SID=8c064298-2632-4f48-8e11-c3e5e08264c9&request_id=c8eb5d92-814b-448e-a4a8-ecdbd212ec3b&url=https%3A%2F%2Fpeople.com%2F&host=people.com&ua=mozilla%2F5.0%2,462,35.0,44.0,44.0,44.0,44.0,44
generic-image.svg,2046,2318.0,83872.0,81674.0,72694.0,57346.0,31426
image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F23%2FEmma-Hernan.jpg&w=640&h=428&c=sc&poi=%5B735%2C40%5D&q=60,32205,31852.0,28814.0,28082.0,25790.0,20632.0,11228
image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F21%2Fshaq.jpg&w=316&h=211&c=sc&poi=%5B645%2C310%5D&q=60,16383,16048.0,11812.0,11430.0,10450.0,8584.0,4800
image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F22%2FPRINCE-LOUIS-01.jpg&w=316&h=211&c=sc&poi=%5B1120%2C706%5D&q=60&rect=162%2C108%2C2000%2C1333,29861,29508.0,4680.0,4568.0,4088.0,3102.0,1754
image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F20%2F2022%2F04%2F22%2Fjohnny-depp-4.jpg&w=196&h=196&c=sc&poi=%5B750%2C310%5D&q=60,9835,9502.0,6974.0,6808.0,6286.0,5316.0,3050
px.gif?ch=1,341,43.0,72.0,72.0,72.0,72.0,72
x.gif?v=1.0.25&pulse=0&url=https%3A%2F%2Fpeople.com%2F&vs=784&vs_pct=3&vs_max=25272&browser=chrome&w=360&h=640&dom_delay=2275&js_delay=1866&is_mobile=true&domain=people.com&os=android&tld=people.com&t,351,35.0,44.0,44.0,44.0,44.0,44
image.jpg&w=320&h=180&q=10&c=cc,8335,7998.0,83872.0,81674.0,72694.0,57346.0,31426
tracker?domain=videocloud&account=5755101710001&session=44395_2022-04-23T13:40:02.072Z&source=&destination=https%3A%2F%2Fpeople.com%2F&video=6304570624001&event=player_init&time=1650721202072&video_na,94,35.0,44.0,44.0,44.0,44.0,44
image.jpg&w=320&h=180&q=10&c=cc,8346,7998.0,83872.0,81674.0,72694.0,57346.0,31426
tracker?domain=videocloud&account=5755101710001&session=44395_2022-04-23T13:40:02.072Z&source=&destination=https%3A%2F%2Fpeople.com%2F&video=6304570624001&event=player_load&time=1650721202145&video_na,207,35.0,44.0,44.0,44.0,44.0,44
