img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.qoo10.sg/,76,0.0,,,,,
aad507b6-e07c-4e4f-9839-109fee5a8ba7.jpg,74734,74115.0,17062.0,16364.0,13514.0,10252.0,6840
loading.svg,661,1131.0,,,,,
ic_cm.png,10138,9799.0,14634.0,14348.0,13028.0,11708.0,10314
loading_media.gif,12919,12570.0,10266.0,9962.0,8974.0,7796.0,6492
b0c76445-9173-4733-a44c-b961b0b80833.s_180-w-fs_s.png,15651,15132.0,2790.0,2686.0,2276.0,1766.0,1238
ic_main.png,4947,4617.0,6196.0,6074.0,5582.0,5088.0,4476
ic_ctrl_aside.png,4245,3915.0,4218.0,4124.0,3800.0,3504.0,3084
b88f4919-248f-42d5-9c7d-383ec791175d.s_110-w-fs-st_s.png,5026,4516.0,1650.0,1612.0,1472.0,1280.0,1088
b06a5d9a-0dec-478a-8a79-ab819439b8c1.s_110-w-fs-st_s.png,9132,8611.0,2178.0,2110.0,1888.0,1634.0,1358
8a909345-6b11-4830-9f25-3e0e8a689efb.s_110-w-fs-st_s.png,8127,7619.0,2022.0,1966.0,1768.0,1520.0,1272
fbd1a702-11f3-42f1-9ee0-85cae8c26413.s_110-w-fs-st_s.png,7558,7050.0,2128.0,2078.0,1830.0,1572.0,1266
8df1d1ec-d765-4623-bd1f-a5025974b67d.s_110-w-fs-st_s.png,4648,4137.0,1904.0,1852.0,1700.0,1472.0,1208
18b78a2e-90e6-472e-ba2b-663037c29964.s_110-w-fs-st_s.png,3671,3163.0,1234.0,1220.0,1114.0,996.0,888
b109c4e0-f615-40a4-bd21-3c23aede28b5.s_110-w-fs-st_s.png,5828,5320.0,1940.0,1874.0,1698.0,1460.0,1200
4d177adf-fe01-4126-8b1b-a27578253f1a.s_110-w-fs-st_s.png,5670,5161.0,1940.0,1874.0,1688.0,1458.0,1194
6dbd59d0-ce7a-4d12-87ae-46a62a756778.s_110-w-fs-st_s.png,5367,4855.0,1726.0,1678.0,1528.0,1344.0,1156
b84a97df-1c4f-42ad-99d3-7415963e4390.s_110-w-fs-st_s.png,4133,3624.0,1412.0,1388.0,1270.0,1158.0,1016
0174ae05-f142-4fc1-bebb-7b892ef5d607.s_110-w-fs-st_s.png,4059,3547.0,1542.0,1498.0,1378.0,1196.0,1034
293a5d52-b6f6-48a0-b881-969c74913e4b.s_750-w-fs-st_s.jpg,153091,152391.0,35694.0,33844.0,28114.0,21688.0,14420
6c52556c-3217-4028-ba4b-b3663c0c230d.s_750-w-fs-st_s.jpg,99364,98729.0,20286.0,19348.0,15658.0,11452.0,7254
57fd9bb1-f250-47f8-ba92-43a2361a8287.s_750-w-fs-st_s.jpg,121059,120402.0,32370.0,31010.0,25818.0,20084.0,13700
f2a75ab7-db90-4c71-bfac-cd991189f384.s_750-w-fs-st_s.jpg,82672,82031.0,18644.0,17914.0,14974.0,11560.0,7970
d7b94c09-c2de-40af-a448-9633f46f2062.s_750-w-fs-st_s.jpg,168989,168238.0,38676.0,36886.0,31010.0,23940.0,15674
6d582a34-d156-4733-8b85-0cca0d18b259.s_750-w-fs-st_s.jpg,185803,185036.0,46644.0,44326.0,36590.0,27476.0,18232
66427bb6-a6a9-46a5-a91b-ee0b729d12c5.s_750-w-fs-st_s.jpeg,147367,146703.0,30932.0,29490.0,24138.0,18280.0,11710
53b207c4-de45-462e-8bfb-36c961a5b7ab.s_750-w-fs-st_s.jpg,104518,103879.0,34478.0,32770.0,27404.0,21540.0,14602
5833a1fb-abc9-4a2a-9b91-20f5a2de1490.s_750-w-fs-st_s.jpg,168774,168036.0,40466.0,38414.0,31990.0,24562.0,16596
dfb7f3c4-6a33-4af7-a5ee-00d48310c22b.s_750-w-fs-st_s.jpg,108757,108111.0,50562.0,47328.0,38630.0,29148.0,19280
ee083cd0-af6f-46c2-9790-7f16225f37da.s_750-w-fs-st_s.jpg,106589,105908.0,52200.0,49436.0,41068.0,31334.0,21332
61539fe6-f061-4b32-b695-928dfbe49b36.s_750-w-fs-st_s.jpg,161342,160626.0,43300.0,41364.0,33980.0,25750.0,16574
cc8d9012-f1f1-43b4-a503-21168e13bcd1.s_750-w-fs-st_s.jpg,103784,103147.0,39632.0,37568.0,30988.0,23568.0,15204
b67e046b-7ec7-443c-b3bf-0cb7f77a6109.s_750-w-fs-st_s.jpg,95338,94712.0,37766.0,35524.0,29714.0,22588.0,15262
7ace85a0-99cc-4165-b39c-42cd8277dc9d.s_750-w-fs-st_s.jpg,167279,166550.0,36722.0,34816.0,28756.0,21474.0,14158
