img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.quizlet.com/,510,0.0,,,,,
eca927aa-4f86-4e40-9565-8dd2fefb2cde_hero+image+shaded.png?auto=compressformat,68814,68617.0,84650.0,79662.0,61896.0,45614.0,30174
99cd5988-f3a3-4432-aa3c-1e8941f59cb9_20210814_QZ_Home_Explanations.png?auto=compressformat&rect=0230722395&w=1026&h=800,14305,13958.0,59520.0,57278.0,50232.0,41778.0,33920
d4052d90-f71e-466a-86f5-080cf02de2da_20210814_QZ_Home_Flashcards.png?auto=compressformat&rect=0230722395&w=1026&h=800,12362,12222.0,63412.0,61156.0,53736.0,44842.0,36076
3a92729c-f212-4ac0-8dad-b2c875c57358_20210814_QZ_Home_StudyJam.png?auto=compressformat&rect=0230722395&w=1026&h=800,30734,30570.0,166108.0,148650.0,114358.0,85334.0,60894
6b2ff704-ccbf-441e-9b49-dbd3b7d7d530_20210814_QZ_Home_MobileApp.png?auto=compressformat&rect=0230722395&w=1026&h=800,22469,22313.0,146276.0,131682.0,99386.0,72972.0,51736
33696601-f5ff-43e0-9144-f9e30eed4514_Teacher+call+out.png?auto=compressformat,96383,96062.0,128858.0,120784.0,88654.0,63488.0,42844
coppa-seal.cdf1828279fe2a1.png,11789,11271.0,3876.0,3758.0,3314.0,2708.0,2028
fd9b8aeb-8e4c-4d96-a51d-9463339217bc_Hero+background+LO+home+final.svg,1327,1670.0,,,,,
scribble.6c75e80726e3401.svg,8132,17099.0,,,,,
quotes-open.76da8581ea3adc0.svg,847,896.0,,,,,
quotes-close.f05dbfc1b568217.svg,774,779.0,,,,,
google_play@2x.d414a00e1f7f3d0.png,6393,6077.0,,,,,
favicon.ico,4715,5430.0,,,,,
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nzix6&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=d5abb282-175d-4844,355,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nzix6&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=d5abb282-175d-4844,338,43.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-1203987-1&cid=1404862698.1650742003&jid=2068830376&_u=YFBAAUAAAAAAAC~&z=1875857245,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-1203987-1&cid=1404862698.1650742003&jid=2068830376&_u=YFBAAUAAAAAAAC~&z=1875857245,501,42.0,72.0,72.0,72.0,72.0,72
?id=1745833195445450&ev=PageView&dl=https%3A%2F%2Fquizlet.com%2F&rl=&if=false&ts=1650742007992&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650742007988.105889473&it=1650742005252&coo=false&rqm,213,44.0,,,,,
?id=1745833195445450&ev=ViewContent&dl=https%3A%2F%2Fquizlet.com%2F&rl=&if=false&ts=1650742007996&sw=360&sh=640&v=2.9.57&r=stable&ec=1&o=30&fbp=fb.1.1650742007988.105889473&it=1650742005252&coo=false&,363,44.0,,,,,
?id=1745833195445450&ev=ViewContent&dl=https%3A%2F%2Fquizlet.com%2F&rl=&if=false&ts=1650742007998&cd[title]=Learning%20tools%20%26%20flashcards%2C%20for%20free&sw=360&sh=640&v=2.9.57&r=stable&ec=2&o=3,213,44.0,,,,,
?id=1745833195445450&ev=Microdata&dl=https%3A%2F%2Fquizlet.com%2F&rl=&if=false&ts=1650742008500&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Learning%20tools%20%26%20flashcards%2C%20for%20free%20,213,44.0,,,,,
pageTransferSize,2156562,,,,,,
totalByteWeight,6969935,,,,,,
