img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.rakuten.co.jp/,21893,101579.0,72.0,72.0,72.0,72.0,72
marathonde663734873ceb8856b3bd3e33184551.svg,3227,6131.0,72.0,72.0,72.0,72.0,72
logo_rakuten_25th.svg,4280,8778.0,,,,,
202004_footer_fcb_nba_logo.svg,9587,26423.0,72.0,72.0,72.0,72.0,72
20200610_sp_etsy_card_68x68.png,2846,2571.0,72.0,72.0,72.0,72.0,72
panda_marathon.svg,11444,29798.0,,,,,
bigsaleparts_bigsale.jpg?fitin=80:80,1946,1756.0,1356.0,1288.0,1074.0,836.0,578
bigsaleparts_gift.jpg?fitin=80:80,2007,1774.0,1322.0,1258.0,1024.0,770.0,508
bigsaleparts_pokkiri-food.jpg?fitin=80:80,2546,2356.0,1762.0,1678.0,1356.0,1008.0,648
bigsaleparts_timelimited.jpg?fitin=80:80,1414,1156.0,922.0,890.0,742.0,564.0,414
bigsaleparts_itemcoupon.jpg?fitin=80:80,1657,1482.0,1182.0,1146.0,988.0,774.0,564
bigsaleparts_multicoupon2.jpg?fitin=80:80,2379,2166.0,1690.0,1616.0,1310.0,1022.0,710
bigsaleparts_rankcoupon.jpg?fitin=80:80,1397,1214.0,954.0,890.0,718.0,556.0,388
bigsaleparts_shopcoupon.jpg?fitin=80:80,1993,1754.0,1356.0,1294.0,1090.0,844.0,582
bigsaleparts_pointup20.jpg?fitin=80:80,1695,1524.0,1202.0,1152.0,944.0,714.0,482
bigsaleparts_pointrank_1.jpg?fitin=80:80,1843,1636.0,1286.0,1212.0,1000.0,766.0,518
bigsaleparts_otegoro-food_2.jpg?fitin=80:80,2536,2324.0,1778.0,1684.0,1414.0,1068.0,730
bigsaleparts_wakeari-food.jpg?fitin=80:80,2469,2230.0,1590.0,1516.0,1230.0,926.0,568
bigsaleparts_review.jpg?fitin=80:80,1887,1716.0,1224.0,1130.0,938.0,668.0,404
bigsaleparts_food.jpg?fitin=80:80,2611,2406.0,1786.0,1724.0,1406.0,1080.0,690
bigsaleparts_ladiesfashion_ss0309.jpg?fitin=80:80,1467,1254.0,946.0,888.0,698.0,536.0,346
bigsaleparts_mensfashion_ss0309.jpg?fitin=80:80,1381,1212.0,922.0,878.0,710.0,552.0,376
bigsaleparts_lottery.jpg?fitin=80:80,2546,2328.0,1664.0,1596.0,1308.0,1000.0,630
bigsaleparts_quiz_game.jpg?fitin=80:80,1438,1232.0,968.0,926.0,794.0,640.0,468
bigsaleparts_guide_marathon.jpg?fitin=80:80,2075,1884.0,1518.0,1442.0,1196.0,930.0,654
bigsaleparts_guide-quiz.jpg?fitin=80:80,1999,1770.0,1420.0,1344.0,1128.0,896.0,620
bigsaleparts_guide_case.jpg?fitin=80:80,1999,1824.0,1434.0,1380.0,1148.0,882.0,636
hd_banner_sp-common_global_rgx_en.png,21973,21702.0,72.0,72.0,72.0,72.0,72
cosme_112x112.png,6798,6614.0,978.0,942.0,798.0,662.0,470
service_112x112.png,14357,14204.0,72.0,72.0,72.0,72.0,72
bed_112x112.png,10500,10267.0,1278.0,1236.0,982.0,780.0,570
car_112x112.png,15259,14996.0,72.0,72.0,72.0,72.0,72
fashion_80x80.png,10416,10179.0,2034.0,1980.0,1766.0,1580.0,1328
ladies.png,8236,8050.0,2042.0,1960.0,1762.0,1562.0,1320
