img,imgTransferSize,imgActualSize
https://www.rbcroyalbank.com/,329,180.0
rbc-app-icon.svg,54791,54417.0
ui-close-blue.svg,535,283.0
rbc-logo-shield.svg,5634,5387.0
icon-search-inverse.svg,593,341.0
icon-flag-Canada.svg,1035,783.0
rbc-logo-shield-blue.svg,5404,5157.0
Ampli-A.png,33956,33698.0
Arrive-A.png,8423,8229.0
icon-search-yellow.svg,651,399.0
ui-close-white.svg,540,288.0
rbc-vantage-blue-en.svg,17754,17479.0
Connect_icon.svg,4015,3768.0
icon-online.svg,1111,859.0
rates-icn.svg,1335,1097.0
currx-icn.svg,1360,1122.0
icon-calc.svg,1543,1305.0
icon-bank-accounts.svg,2040,1802.0
cdic-badge-en.svg,4606,4359.0
scl-facebook-master-white.svg,462,211.0
scl-instagram-master-white.svg,1623,1385.0
scl-twitter-master-white.svg,738,486.0
scl-youtube-master-white.svg,658,406.0
scl-linkedin-master-white.svg,624,372.0
ui-to-top-white.svg,513,262.0
icon-secure-dark.svg,227,0.0
ui-menu-white.svg,772,521.0
ui-chevron-down-white.svg,496,244.0
ui-tab-selected.svg,364,113.0
energy-lines.png,14975,14771.0
icon-mortgages.svg,1302,1064.0
cash-new-40.svg,1339,1101.0
icon-investments.svg,1331,1093.0
icon-credit-cards.svg,939,687.0
icon-loans.svg,2489,2251.0
ui-external-arrow-right-blue.svg,502,251.0
ui-chevron-right-blue.svg,488,236.0
ui-chevron-right-trans.svg,491,240.0
ui-chevron-down-blue.svg,491,239.0
ui-chevron-right-white.svg,492,241.0
ui-checkmark-blue.svg,527,275.0
icon-flag-China.svg,0,0.0
icon-flag-US.svg,0,0.0
icon-branch-inverse.svg,1175,923.0
icon-phone-inverse.svg,2201,1963.0
icon-email-inverse.svg,814,562.0
ui-external-arrow-right-white.svg,508,256.0
ID16_vantage.jpg,0,0.0
map-bg.jpg,0,0.0
collect?v=1&_v=j96&a=1916733891&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,0,0.0
0?ti=5488685&tm=gtm002&Ver=2&mid=41b74eb3-c4e6-46e3-ba01-be67f4928c91&sid=15a66ce0c31511ec9a3c57d2d210a0f8&vid=15a6deb0c31511ecad4a3d171f5b50ec&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Per,0,0.0
rbc-app-icon.svg,159,54417.0
ui-close-blue.svg,159,283.0
rbc-logo-shield.svg,159,5387.0
icon-search-inverse.svg,159,341.0
icon-flag-Canada.svg,159,783.0
rbc-logo-shield-blue.svg,159,5157.0
Ampli-A.png,155,33698.0
Arrive-A.png,155,8229.0
icon-search-yellow.svg,159,399.0
ui-close-white.svg,159,288.0
rbc-vantage-blue-en.svg,159,17479.0
Connect_icon.svg,159,3768.0
icon-online.svg,159,859.0
rates-icn.svg,159,1097.0
currx-icn.svg,159,1122.0
icon-calc.svg,159,1305.0
icon-bank-accounts.svg,159,1802.0
cdic-badge-en.svg,159,4359.0
scl-facebook-master-white.svg,159,211.0
scl-instagram-master-white.svg,159,1385.0
scl-twitter-master-white.svg,159,486.0
scl-youtube-master-white.svg,159,406.0
scl-linkedin-master-white.svg,159,372.0
ui-to-top-white.svg,159,262.0
ui-menu-white.svg,0,521.0
ui-chevron-down-white.svg,0,244.0
ui-tab-selected.svg,0,113.0
energy-lines.png,0,14771.0
icon-mortgages.svg,0,1064.0
cash-new-40.svg,0,1101.0
icon-investments.svg,0,1093.0
icon-credit-cards.svg,0,687.0
icon-loans.svg,0,2251.0
ui-external-arrow-right-blue.svg,0,251.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-blue.svg,0,236.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-blue.svg,0,236.0
ui-chevron-down-blue.svg,0,239.0
ui-chevron-right-blue.svg,0,236.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-white.svg,0,241.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-white.svg,0,241.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-white.svg,0,241.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=gtm.init_consent&eid=1&tc=19&z=0,17,0.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=gtm.init&eid=2&tc=19&z=0,17,0.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=gtm.js&eid=3&tc=19&tr=1opt.1html.5html.1ua.1paused.1hl.1cl.1cl.1cl.1cl.1html.5html&ti=1opt.1html.1html.1ua.1paused.1hl.1cl.1cl.1cl.1cl.1html.1,17,0.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=13&tc=19&z=0,17,0.0
ui-checkmark-blue.svg,159,275.0
0?ti=5488685&tm=gtm002&Ver=2&mid=e4c03a46-6fd2-4dcb-9eed-ef066623b33e&sid=15a66ce0c31511ec9a3c57d2d210a0f8&vid=15a6deb0c31511ecad4a3d171f5b50ec&vids=0&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Per,121,0.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&e=gtm.js&eid=3&tc=19&tr=5opt.6paused.5hl.5cl.5cl.5cl.5cl&ti=1opt.1paused.1hl.1cl.1cl.1cl.1cl&z=0,17,0.0
icon-mortgages.svg,0,1064.0
cash-new-40.svg,0,1101.0
icon-investments.svg,0,1093.0
icon-credit-cards.svg,0,687.0
icon-loans.svg,0,2251.0
ui-external-arrow-right-blue.svg,0,251.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-blue.svg,0,236.0
ui-chevron-right-trans.svg,0,240.0
ui-chevron-right-blue.svg,0,236.0
ui-chevron-right-blue.svg,0,236.0
a?id=GTM-ML3TFWJ&cv=31&v=3&t=t&pid=38645119&rv=4k0&es=1&e=*&eid=40&u=C&tc=19&z=0,17,0.0
collect?v=1&_v=j96&a=1773795092&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640,55,35.0
collect?v=1&_v=j96&a=1773795092&t=pageview&_s=1&dl=https%3A%2F%2Fwww.rbcroyalbank.com%2Fpersonal.html&ul=en-us&de=UTF-8&dt=Personal%20Banking%20-%20RBC%20Royal%20Bank&sd=24-bit&sr=360x640&vp=360x640&j,55,35.0
