img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.rezka.ag/,372,0.0,,,,,
n981bffbc0ed4si57m70y.jpg,12472,12058.0,6450.0,6048.0,4820.0,3570.0,2212
i334db5c7c5dcrn44e54i.jpg,10204,9791.0,4680.0,4402.0,3520.0,2652.0,1818
u43884b6f38cbeq75c45l.jpg,8774,8361.0,4030.0,3824.0,3086.0,2316.0,1568
sf275bd9830actv58f22n.jpg,11913,11499.0,6122.0,5722.0,4560.0,3406.0,2168
k655a59f86117fu95n10q.jpg,12084,11670.0,6092.0,5742.0,4574.0,3418.0,2184
o3e9461a20e30mj42t57n.jpg,16116,15702.0,9490.0,8826.0,7204.0,5384.0,3446
m805f37f5d507lh64y97w.jpg,12565,12151.0,6930.0,6498.0,5186.0,3916.0,2478
l026421f851e8ek71p63t.jpg,8947,8534.0,3988.0,3768.0,2970.0,2160.0,1376
ncf0dc44011abua90a26o.jpg,12144,11730.0,6408.0,5944.0,4722.0,3464.0,2202
qfa2e53479b81pw46k33z.jpg,13846,13432.0,7982.0,7452.0,5996.0,4336.0,2664
a6c29a59a4e62yq15u30u.jpg,13432,13018.0,7532.0,7064.0,5628.0,4092.0,2524
fa87cba4ffc62fo82v38q.jpg,14361,13947.0,7958.0,7462.0,5942.0,4480.0,2824
d80db25f066daik84j66h.jpg,10654,10240.0,5104.0,4858.0,3726.0,2712.0,1638
gdaff4461fceehp55y99w.jpg,18815,18401.0,12366.0,11710.0,9548.0,7074.0,4318
f7a8c134f7c6buc28v22h.jpg,12892,12478.0,7146.0,6716.0,5270.0,3724.0,2188
p55bd67b410fcsg32z92f.jpg,13965,13551.0,7694.0,7350.0,5972.0,4396.0,2844
f3a49141fd1e0wi17a40u.jpg,12956,12542.0,7362.0,6874.0,5582.0,3978.0,2436
jb384b0d13ac3ia99p31j.jpg,13245,12831.0,7480.0,7094.0,5566.0,4084.0,2462
va2ab94c51bedvl49a99o.jpg,14508,14094.0,8478.0,7960.0,6448.0,4638.0,2808
