img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.rg.ru/,204,0.0,,,,,
pixel_w.gif,224,43.0,44.0,44.0,44.0,44.0,44
photorep_imageid_602727_2d46d1e50fc75f51636960219_t_650x433.jpg,36749,36481.0,14258.0,13348.0,10638.0,7740.0,5188
photorep_imageid_620802_ca0f7ac9d9cb33b1650709558_t_650x433.jpg,71852,71547.0,38282.0,36324.0,28840.0,21580.0,13246
2022-04-09T182630Z_1625235879_RC2UJT9CLFNC_RTRMADP_3_UKRAINE-CRISIS-KRAMATORSK-STATION_t_650x433.jpg,90010,89687.0,46680.0,44180.0,35288.0,25836.0,15764
iStock-1135060668_t_650x433.jpg,40145,39877.0,12556.0,11886.0,9388.0,7130.0,5128
2p_patriarch_(1)_t_650x433.jpg,50412,50126.0,24056.0,22706.0,17440.0,12556.0,7592
3_t_650x433.jpg,28283,28023.0,9152.0,8484.0,6430.0,4770.0,3118
stalker2_t_650x433.jpg,69742,69437.0,33404.0,31648.0,24440.0,17794.0,10510
5p_2k_shiny(1)_t_650x433.jpg,59306,59011.0,28270.0,26568.0,21060.0,15948.0,10342
RIAN_T-80_Ilia_Pitalev_t_650x433.jpg,77656,77343.0,41778.0,39288.0,31016.0,22450.0,13544
50_t_650x433.jpg,58961,58665.0,20068.0,18570.0,14716.0,11304.0,7506
akt3_t_650x433.jpg,60626,60331.0,9152.0,8484.0,6430.0,4770.0,3118
808.jpeg,20127,19877.0,1414.0,1354.0,1120.0,836.0,548
1B7A8877_t_310x206.jpg,18808,18558.0,10794.0,10294.0,8114.0,6038.0,3626
1p_par_skola_4k_2(1)_t_310x206.jpg,19147,18897.0,10920.0,10160.0,8118.0,6146.0,3910
1920+_t_310x206.jpg,24481,24231.0,11790.0,11146.0,8766.0,6464.0,4014
9p_centr-maska(1)_t_310x206.jpg,20007,19757.0,11788.0,11168.0,8888.0,6490.0,3996
RIAN_5595366.HR.ru_t_310x206.jpg,14536,14295.0,5306.0,5056.0,3894.0,2888.0,1834
6_t_310x206.jpg,16670,16420.0,7086.0,6718.0,5466.0,4110.0,2814
form_photoreport_imageid_620096_c7f7664cfbe36941650108098_t_310x206.jpg,24024,23774.0,15912.0,15224.0,12474.0,9562.0,5980
22222_t_310x206.jpg,10098,9857.0,2954.0,2800.0,2216.0,1590.0,1162
3p_tank_t_310x206.jpeg,20860,20610.0,12734.0,12108.0,9726.0,7120.0,4294
photorep_imageid_616833_5342e50b0b2020f1647594507_t_310x206.jpg,18248,17998.0,10116.0,9564.0,7742.0,5980.0,3956
50.jpg,19038,18788.0,868.0,808.0,670.0,510.0,334
maksimov50.jpg,1663,1431.0,698.0,644.0,522.0,416.0,270
sprite_main_2.png,42990,43061.0,,,,,
partners-rg2x.png,37670,37847.0,,,,,
spinner.svg,677,3060.0,,,,,
counter?id=11659;t=409;l=1,2105,1515.0,,,,,
rg-main2x.png,70556,70449.0,,,,,
getCodeTest?p1=chwya&p2=frfe&pfc=cpmvc&pfb=hfbez&pr=1447212457&ptrc=b,14,0.0,,,,,
getCodeTest?p1=chwxt&p2=frfe&pfc=cpmvc&pfb=hfakn&pr=1447212457&ptrc=b,14,0.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-MZTK7RCMBQ&cid=396253083.1650726380&gtm=2oe4k0&aip=1&z=556006570,501,42.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=329513159&t=pageview&_s=1&dl=https%3A%2F%2Frg.ru%2F&ul=en-us&de=UTF-8&dt=%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%B0%D0%B7%D0%B5%D1%82%D0%B0&sd=24-,55,35.0,44.0,44.0,44.0,44.0,44
advert.gif,124,43.0,72.0,72.0,72.0,72.0,72
btw?id=7f382d25-d014-5171-8077-1a04e2130fe8,70,0.0,,,,,
getCodeTest?yandexuid=12275019891738480983&sign=436db94814ae44861cf9112613835ff2&rqs=AAAAAAAAAADrFWRiddx2dOS-scZSQgjw&matchid-br=1,1025,1025.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-7039329-2&cid=396253083.1650726380&jid=497600416&_u=YCDAgAABAAAAAE~&z=542142589,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-7039329-2&cid=396253083.1650726380&jid=497600416&_u=YCDAgAABAAAAAE~&z=542142589,63,42.0,72.0,72.0,72.0,72.0,72
sprite_main.png,19151,18868.0,9320.0,9192.0,8774.0,8220.0,7664
;h%u0420%u043E%u0441%u0441%u0438%u0439%u0441%u043A%u0430%u044F%20%u0433%u0430%u0437%u0435%u0442%u0430;0.7848174873720124,752,266.0,,,,,
tmsec=rg_total,297,43.0,72.0,72.0,72.0,72.0,72
match?bidder_id=123&external_user_id=1ef08b2f-e5e2-4ff6-8aec-0911dd2aa5c9,607,68.0,72.0,72.0,72.0,72.0,72
match?bidder_id=37&external_user_id=ugIqT7k4iL7z.AikABlGAVvWp2A,607,68.0,72.0,72.0,72.0,72.0,72
