img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.sciencedirect.com/,25282,98235.0,,,,,
elsevier-non-solus-new-grey.svg,18607,44774.0,,,,,
climate-banner.jpg,192250,191815.0,42704.0,39742.0,29194.0,19984.0,12324
elsevier-non-solus-new-with-wordmark.svg,11224,28872.0,,,,,
ibs:dpid=411&dpuuid=YmKs-gAAALg8hwPw,945,42.0,72.0,72.0,72.0,72.0,72
logo-relx-tm.svg,993,1510.0,,,,,
d6c1d995-bc7e-4e53-77f1-2ea4ecbb9565?v=2.133.1_prod&ct=1650633983739&jzb=eJzFUstu2zAQ_BeeXUsi9b4VsGM0DdwUslvARSEw0jpiIZEKSUV5wP-elSW47iEFCjTIydbsznJ2dn48E_vYAkmJKEFasX8kM3KjVW9A51Y0WPHCwA0ZS2IWMXdG7oU,115,42.0,72.0,72.0,72.0,72.0,72
guide-media-0f571845-b6c3-42ce-8d5c-096466bec2a9,5030,4737.0,,,,,
s69045020162893?AQB=1&ndh=1&pf=1&t=22%2F3%2F2022%2018%3A26%3A28%205%20-300&cid.&userid.&id=ae%3A12975512&.userid&.cid&mid=04375071361973584221581258217248706009&aamlh=3&ce=UTF-8&cdp=2&pageName=sd%3Aho,245,43.0,76.0,76.0,76.0,76.0,76
pageTransferSize,799220,,,,,,
totalByteWeight,1981729,,,,,,
