img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.scribd.com/,33396,208113.0,72.0,72.0,72.0,72.0,72
scribd_logo_horiz_small_white.svg?c889200ee,4697,4572.0,,,,,
scribd_logo_horiz_small.svg?c889200ee,3152,3010.0,,,,,
badge_appstore_english.svg?c889200ee,11824,11696.0,,,,,
badge_playstore_english.svg?c889200ee,9786,9658.0,,,,,
1650305363?v=1,4302,3992.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,3067,2880.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,4560,4310.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,6228,6018.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,6342,6156.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,4697,4354.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,3168,2976.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,3812,3620.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,4567,4356.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,5656,5412.0,4956.0,4760.0,4022.0,2946.0,2030
1650305363?v=1,5893,5468.0,4956.0,4760.0,4022.0,2946.0,2030
1650305370?v=1,5651,5228.0,4850.0,4662.0,4068.0,2828.0,1954
logo_techcrunch.svg?c889200ee,6611,6396.0,,,,,
logo_forbes.svg?c889200ee,5863,5729.0,,,,,
logo_wallstreetjournal.svg?c889200ee,4262,4100.0,,,,,
logo_los_angeles_times.svg?c889200ee,23128,23005.0,,,,,
logo_today.svg?c889200ee,7037,6955.0,,,,,
450_en@2x.e81c9ec5.jpg,110017,109796.0,54594.0,51346.0,40022.0,28916.0,18690
activity?tagid=V2_976761&src.rand=[timestamp]&src.p=%2F&src.u=https%3A%2F%2Fwww.scribd.com%2F,0,0.0,72.0,72.0,72.0,72.0,72
?id=287045611447707&ev=PageView&dl=https%3A%2F%2Fwww.scribd.com%2F&rl=&if=false&ts=1650635881970&sw=360&sh=640&v=2.9.57&r=stable&a=tmSimo-GTM-WebTemplate&ec=0&o=30&fbp=fb.1.1650635881968.1060697387&it,91,44.0,72.0,72.0,72.0,72.0,72
0?ti=15260218&tm=gtm002&Ver=2&mid=b539e2da-d539-4b70-8c14-1d8de7dc68fe&sid=398308a0c24411ec96922ddbb3c6219d&vid=39832e30c24411eca8860df2d1efb2b1&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Di,152,0.0,,,,,
rp.gif?ts=1650635882163&id=t2_9t33vcn2&event=PageVisit&m.itemCount=&m.value=&m.valueDecimal=&m.currency=&m.transactionId=&m.customEventName=&m.products=&uuid=497a7f92-6f00-48b9-8e01-1d03a2cd332e&aaid=,423,423.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nzbvs&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=5fc05567-0ce6-4c5f,355,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nzbvs&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=5fc05567-0ce6-4c5f,337,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=134511674&t=pageview&_s=1&dl=https%3A%2F%2Fwww.scribd.com%2F&ul=en-us&de=UTF-8&dt=Discover%20the%20Best%20eBooks%2C%20Audiobooks%2C%20Magazines%2C%20Sheet%20Music%2C%20and%20More%,55,35.0,44.0,44.0,44.0,44.0,44
?id=287045611447707&ev=Microdata&dl=https%3A%2F%2Fwww.scribd.com%2F&rl=&if=false&ts=1650635882476&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Discover%20the%20Best%20eBooks%2C%20Audiobooks%2C%20,88,44.0,72.0,72.0,72.0,72.0,72
sp.pl?a=10000&d=Fri%2C%2022%20Apr%202022%2013%3A58%3A02%20GMT&n=-5&b=Discover%20the%20Best%20eBooks%2C%20Audiobooks%2C%20Magazines%2C%20Sheet%20Music%2C%20and%20More%20%7C%20Scribd&.yp=10143699&f=http,633,43.0,44.0,44.0,44.0,44.0,44
?random=1650635882106&cv=9&fst=1650632400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,548,42.0,,,,,
?random=1650635882106&cv=9&fst=1650632400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,548,42.0,,,,,
pixie?e=PageView&pi=e130d494-bd0b-478b-971d-6cb34ea210e2&it=1650635882651&v=0.0.20&u=https%3A%2F%2Fwww.scribd.com%2F&st=1650635882650&et=1650635882651&if=0,347,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-443684-29&cid=573623827.1650635882&jid=2140020677&_u=YGDAgEABQAAAAG~&z=1009831884,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-443684-29&cid=573623827.1650635882&jid=2140020677&_u=YGDAgEABQAAAAG~&z=1009831884,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-443684-2&cid=573623827.1650635882&jid=831028749&_u=IEBAAEAAQAAAAC~&z=682855991,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-443684-2&cid=573623827.1650635882&jid=831028749&_u=IEBAAEAAQAAAAC~&z=682855991,107,42.0,72.0,72.0,72.0,72.0,72
www.scribd.com,737,42.0,72.0,72.0,72.0,72.0,72
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=e7eb7804-dccd-4c82-830f-0932b39a1adc&_expected_cookie=61175f1a2334c6be7af63f8906ce829e,142,43.0,,,,,
appstore_white_en.f11cfc14.svg,9850,9556.0,,,,,
playstore_en.52ebe950.svg,9951,9658.0,,,,,
171700.gif?bk=cbcb9f556a&tm=129&r=129524374&v=105&cs=UTF-8&h=www.scribd.com&l=en-US&S=1bc5ded1573f3b64d77f48c8a3113de9&uu=0f8bb7a249379ca1131454e57723303&t=Discover%20the%20Best%20eBooks%2C%20Audioboo,272,43.0,72.0,72.0,72.0,72.0,72
c.gif?ctsa=mr&CtsSyncId=92540B8AC0104270B61816759A836993&MUID=1712FBD26581680C31EAEA5C64886914,441,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1762221,,,,,,
totalByteWeight,5676965,,,,,,
