img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.selfridges.com/,583,0.0,,,,,
selfridges-logo.svg,2060,4406.0,,,,,
220419_HP_UPDATE_WEDDINGS_CAT_TILE_1?scl=1&qlt=601,71257,70892.0,55740.0,51922.0,39854.0,28816.0,16896
220412_HOMEPAGE_UPDATE_CAT_TILE_2?scl=1&qlt=601,34849,34574.0,22606.0,21736.0,17126.0,12498.0,8042
220412_HOMEPAGE_UPDATE_CAT_TILE_3?scl=1&qlt=601,45295,44993.0,32426.0,30726.0,22806.0,16098.0,9230
220414_HP_UPDATE_CAT_TILE_7?scl=1&qlt=601,34487,34211.0,20784.0,19576.0,15340.0,11314.0,7664
220412_HOMEPAGE_UPDATE_CAT_TILE_5?scl=1&qlt=601,77680,77288.0,64822.0,62024.0,49290.0,36142.0,21930
220414_HOMEPAGE_UPDATE_DENIM_CAT_TILE_6?scl=1&qlt=601,27780,27523.0,16032.0,15278.0,12356.0,9324.0,6404
220414_SUPERFUTURES_HOMEPAGEBANNER_D_V2?scl=1&qlt=601,103226,102770.0,76452.0,72542.0,57272.0,39424.0,22234
220414_SUPERFUTURES_HOMEPAGEBANNER_M_V2?scl=1&qlt=601,49963,49643.0,36336.0,34632.0,27646.0,19478.0,10864
220422_EARTH_DAYMOBILE_HERO2,11191,10979.0,4396.0,4100.0,3328.0,2476.0,1740
sprite.svg,22045,119050.0,,,,,
220422_EARTH_DAYMOBILE_HERO2?fmt=jpg&qlt=601&scl=1,27601,27343.0,14588.0,13788.0,10188.0,7382.0,4882
arrow-left.svg,846,589.0,,,,,
Shopping-Bag.png,1393,1197.0,350.0,340.0,320.0,284.0,252
Search.svg,914,1581.0,,,,,
Cross.svg,774,1422.0,,,,,
track_page_view?payload=%7B%22title%22%3A%22Designer%20Fashion%2C%20Accessories%20%26%20More%20-%20Shop%20Online%20at%20Selfridges%22%2C%22url%22%3A%22https%3A%2F%2Fwww.selfridges.com%2FGB%2Fen%2F%22%,686,43.0,72.0,72.0,72.0,72.0,72
220420_HP_UPDATE_CAROUSEL_NOM_1?scl=1&qlt=601,15262,15041.0,11874.0,11410.0,9436.0,6732.0,4282
220420_HP_UPDATE_CAROUSEL_NOM_2?scl=1&qlt=601,7224,7022.0,3526.0,3270.0,2434.0,1818.0,1208
220404_TRENDING_WINDOWS?scl=1&qlt=601,26315,26058.0,21346.0,20318.0,16504.0,12030.0,7332
220404_TRENDING_CYRILL?scl=1&qlt=601,16562,16332.0,12200.0,11440.0,8882.0,6088.0,3544
220413_HOMEPAGE_CAROUSEL_UPDATE_BESTSELLERS_1?scl=1&qlt=601,14558,14337.0,12366.0,11786.0,9966.0,7496.0,5078
220413_HOMEPAGE_CAROUSEL_UPDATE_BESTSELLERS_2?scl=1&qlt=601,7237,7034.0,3796.0,3596.0,2976.0,2242.0,1576
pageview?pid=4570&uu=8b38a89d-f249-a0ad-c5c5-44acc888ec5a&sn=1&lv=1650714547&lhd=1650714547&hd=1650714547&pn=1&dw=370&dh=3244&ww=370&wh=658&sw=360&sh=640&dr=&url=https%3A%2F%2Fwww.selfridges.com%2FGB%,320,0.0,,,,,
dvar?v=11.20.0&pid=4570&uu=8b38a89d-f249-a0ad-c5c5-44acc888ec5a&sn=1&pn=1&dv=N4IgxgzgsghgLmAFgSwHYHMDSBTAniALhAAYA6AdgA4AmagRmoGYBOS5gFnZYYH06A2AKzFyddoPb92zfiAC%2BQAA&r=692869,319,0.0,,,,,
collect?v=1&_v=j96&a=1963406336&t=pageview&cu=GBP&_s=1&dl=https%3A%2F%2Fwww.selfridges.com%2FGB%2Fen%2F&dp=%2F&ul=en-us&de=UTF-8&dt=Designer%20Fashion%2C%20Accessories%20%26%20More%20-%20Shop%20Online,55,35.0,44.0,44.0,44.0,44.0,44
?id=406949736535679&ev=PageView&dl=https%3A%2F%2Fwww.selfridges.com%2FGB%2Fen%2F&rl=&if=false&ts=1650714547809&cd[title]=Designer%20Fashion%2C%20Accessories%20%26%20More%20-%20Shop%20Online%20at%20Sel,408,44.0,,,,,
?id=406949736535679&ev=PageView&dl=https%3A%2F%2Fwww.selfridges.com%2FGB%2Fen%2F&rl=&if=false&ts=1650714547815&cd[title]=Designer%20Fashion%2C%20Accessories%20%26%20More%20-%20Shop%20Online%20at%20Sel,211,44.0,,,,,
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o2mm8&events=%5B%5B%22pageview%22%2C%7B%22value%22%3A%5B%5D%2C%22currency%22%3A%22gbp%22%7D%5D%5D&tw_order_quantity=0&tw_sale_amount,200,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o2mm8&events=%5B%5B%22pageview%22%2C%7B%22value%22%3A%5B%5D%2C%22currency%22%3A%22gbp%22%7D%5D%5D&tw_order_quantity=0&tw_sale_amount,188,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o2myt&events=%5B%5B%22pageview%22%2C%7B%22value%22%3A%5B%5D%2C%22currency%22%3A%22gbp%22%7D%5D%5D&tw_order_quantity=0&tw_sale_amount,198,43.0,72.0,72.0,72.0,72.0,72
