img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.service-now.com/,124,0.0,,,,,
servicenow-header-logo.svg,2056,3102.0,72.0,72.0,72.0,72.0,72
search-icon.svg,1263,972.0,,,,,
1024-up.svg,2427,4035.0,,,,,
close-form-button.png,935,252.0,252.0,252.0,252.0,252.0,252
sign-out.svg,1474,1380.0,,,,,
cta-arrow.svg,1583,536.0,,,,,
globe.svg,1431,1290.0,,,,,
?random=1650661381595&cv=9&fst=1650661200000&num=1&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&sendb=1&frm=0&url=https%3A%2F%2Fwww.servicenow.co,548,42.0,,,,,
?random=1650661381595&cv=9&fst=1650661200000&num=1&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&sendb=1&frm=0&url=https%3A%2F%2Fwww.servicenow.co,548,42.0,,,,,
search-icon-brand-blue.svg,59,59.0,,,,,
marquee-homepage-evo-billboard.jpg.thumb.400.400.png,60255,59749.0,42424.0,40112.0,29410.0,19518.0,10868
icon-try-a-demo.svg,1078,758.0,,,,,
icon-connect-with-sales.svg,1203,921.0,,,,,
icon-discover.svg,1610,712.0,,,,,
hp-now-platform.jpg.thumb.320.320.png,16526,15806.0,15308.0,14414.0,11536.0,9018.0,6134
hp-it-workflows.jpg.thumb.320.320.png,94946,94054.0,58542.0,55234.0,44268.0,32502.0,20568
hp-employee-workflows.jpg.thumb.320.320.png,72912,74052.0,33854.0,31702.0,24606.0,17924.0,11104
hp-customer-workflows.jpg,138629,146393.0,46314.0,43224.0,34058.0,24576.0,16316
hp-creator-workflows.jpg,233091,231892.0,53012.0,50056.0,38220.0,27474.0,17356
log?domain=servicenow2.com&country=pk&state=&behavior=implied&c=703c,441,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&aip=1&t=dc&_r=3&tid=UA-3441098-1&cid=1333447055.1650661382&jid=1434197067&_v=5.7.2&z=1126266185,430,35.0,44.0,44.0,44.0,44.0,44
pageview?pid=5063&uu=5439bc73-f249-a0b9-98da-428466c01c62&sn=1&lv=1650661382&lhd=1650661382&hd=1650661382&pn=1&dw=360&dh=9588&ww=360&wh=640&sw=360&sh=640&dr=&url=https%3A%2F%2Fwww.servicenow.com%2F&uc,320,0.0,,,,,
0?ti=5175780&Ver=2&mid=130d7293-9afe-49ad-a7ab-e2085848d97f&sid=9935fb60c27f11eca79c939686537bdc&vid=99363160c27f11ec8138d3ddbed92d69&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=ServiceNow%20,151,0.0,,,,,
bannermsg?action=views&domain=servicenow2.com&behavior=implied&country=pk&language=en&rand=0.21695786727386346,468,43.0,72.0,72.0,72.0,72.0,72
?random=1650661382831&cv=9&fst=1650661200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,,,,,
?random=1650661382831&cv=9&fst=1650661200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,,,,,
ibs:dpid=411&dpuuid=YmMYBwAAAJ-lSwP9,945,42.0,72.0,72.0,72.0,72.0,72
dvar?v=11.20.0&pid=5063&uu=5439bc73-f249-a0b9-98da-428466c01c62&sn=1&pn=1&dv=N4IgxgzgsghgLmAFgSwHYHMDSBTAniALhAAYA6AJgFYBOAFgHZjaAOWgRlsvtvOIGYA%2BmwBslYsOFs%2BzPvUp8QAXyAA%3D&r=240690,319,0.0,,,,,
hp-impact-content-block.jpg.thumb.320.320.png,44608,43824.0,34918.0,32878.0,26286.0,19724.0,12434
ibs:dpid=771&dpuuid=CAESEK-pKzTY2L_lRXtv97VtzSE&google_cver=1?gdpr=0&gdpr_consent=,945,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=1957&dpuuid=18619F3630FB6A0030198EB831F26B2D,945,42.0,72.0,72.0,72.0,72.0,72
?random=1650661385214&cv=9&fst=1650661385214&num=1&fmt=3&guid=ON&disvt=false&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&sendb=1&ig=1&frm=0&url=https%3A,507,42.0,,,,,
tap.php?v=7941&nid=2243&put=YmMYCAAWivhmKgAy&expires=90&_test=YmMYCAAWivhmKgAy,786,42.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=g8f47s39e399f3fe&google_push&google_sc&google_hm=WW1NWUNBQVdpdzVtSUFBeQ==&_test=YmMYCAAWiw5mIAAy,188,170.0,44.0,44.0,44.0,44.0,44
b.php?p=1531105787105294&e=YmMYCQAWi41nTwAy&t=2592000&o=0,604,43.0,,,,,
Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MjE5MSZ0bD0yNTkyMDA=&piggybackCookie=YmMYCQAWi8Nu9AAy&_test=YmMYCQAWi8Nu9AAy,547,1.0,,,,,
sd?cc=1&id=537148856&val=YmMYCQAD8WkNLAAZ&_test=YmMYCQAD8WkNLAAZ,61,43.0,44.0,44.0,44.0,44.0,44
city-of-copenhagen.png.thumb.320.320.png,5449,4756.0,5164.0,5058.0,4732.0,4446.0,4130
ice.png.thumb.320.320.png,2033,1380.0,1318.0,1312.0,1298.0,1274.0,1252
7-eleven.png.thumb.320.320.png,3501,2838.0,2818.0,2740.0,2622.0,2412.0,2222
deloitte.png.thumb.320.320.png,2809,2126.0,2150.0,2146.0,2132.0,2110.0,2090
ricoh.png.thumb.320.320.png,3690,3312.0,3392.0,3330.0,3124.0,2818.0,2598
sanford-health.png.thumb.320.320.png,6687,6135.0,7834.0,7638.0,6996.0,6162.0,5270
partner?adv_id=6409&uid=YmMYCQAD8XkUMAAZ&img=1&_test=YmMYCQAD8XkUMAAZ&__user_check__=1&sync_id=9b1edb9f-c27f-11ec-b53c-1d6193ca0507,548,43.0,,,,,
rum?cm_dsp_id=88&external_user_id=YmMYCAAWi3tmFAAy&_test=YmMYCAAWi3tmFAAy&C=1,1002,43.0,72.0,72.0,72.0,72.0,72
bounce?%2Fsetuid%3Fentity%3D158%26code%3DYmMYCQAWi41nTwAy%26_test%3DYmMYCQAWi41nTwAy,1097,43.0,72.0,72.0,72.0,72.0,72
hp-cs-lloyds-banking-group.jpg.thumb.320.320.png,16947,16226.0,15002.0,14098.0,11298.0,8516.0,5874
?id=218086422666431&ev=PageView&dl=https%3A%2F%2Fwww.servicenow.com%2F&rl=&if=false&ts=1650661389615&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650661389608.1143392814&it=1650661389387&coo=fa,409,44.0,,,,,
src=9859302;type=brows0;cat=homep0;ord=1650661389031xxx40531980951455462361755605644008194540;gtm=2od4k0;auiddc=*;u1=n;u2=undefined;u3=undefined;u4=undefined;u5=undefined;u6=undefined;u7=;u8=;u9=;u10=,494,42.0,72.0,72.0,72.0,72.0,72
src=9859302;type=brows0;cat=unive0;ord=1650661389025xxx40531980951455462361755605644008194540;gtm=2od4k0;auiddc=*;u1=n;u2=undefined;u3=undefined;u4=undefined;u5=undefined;u6=undefined;u7=;u8=;u9=;u10=,107,42.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o5ye5&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=af79b8ad-5c45-4b02,355,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o5ye5&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=af79b8ad-5c45-4b02,337,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o4ewi&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=15f3b3bf-db33-4937,200,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o4ewi&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=15f3b3bf-db33-4937,211,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=849826332&t=pageview&_s=2&dl=https%3A%2F%2Fwww.servicenow.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=ServiceNow%20%E2%80%93%20The%20world%20works%20with%20ServiceNow%E2%84%A2&sd=24-bit&sr,55,35.0,44.0,44.0,44.0,44.0,44
?value=0&guid=ON&script=0&data=aam=18201172&is_vtc=1&random=2208226811&ipr=y,548,42.0,,,,,
validateCookie?vendor=liveramp&user_id=Xc1297ahp5wJB9QfADctffQr3z1BSGmSGEsjEGRa4_B6HqUP4&verifyHash=a0692a766e17bec4988f36c10612ee0e2535aa44,409,26.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-29210697-5&cid=1333447055.1650661382&jid=11203722&_u=6TBCAUAAAAAAAC~&z=1013583927,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-29210697-5&cid=1333447055.1650661382&jid=11203722&_u=6TBCAUAAAAAAAC~&z=1013583927,63,42.0,72.0,72.0,72.0,72.0,72
