img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.setn.com/,270,0.0,,,,,
top-menu.png,958,610.0,622.0,622.0,620.0,620.0,620
logo.png,1545,1193.0,2194.0,2152.0,1982.0,1800.0,1574
live.png,1801,1452.0,4388.0,4268.0,3780.0,3156.0,2510
member.png,853,505.0,728.0,708.0,640.0,566.0,474
search.png,766,416.0,374.0,370.0,368.0,366.0,366
home.png,803,453.0,384.0,384.0,382.0,382.0,382
search-w.png,698,347.0,316.0,316.0,316.0,310.0,308
star.png,6049,5679.0,3808.0,3674.0,3278.0,2698.0,2156
live.png,6244,5875.0,2552.0,2494.0,2208.0,1876.0,1498
stock.png,11911,11532.0,3574.0,3490.0,3056.0,2534.0,2028
watch.png,8066,7697.0,4188.0,4102.0,3644.0,3166.0,2504
travel.png,11667,11289.0,5682.0,5478.0,4688.0,3664.0,2704
fuhouse.png,11332,10952.0,4380.0,4262.0,3734.0,3100.0,2432
baodao.png,29374,28977.0,6158.0,5908.0,5186.0,4224.0,3164
webicon_esport.png,958920,957516.0,,,,,
2022mazu.png,91247,90797.0,47800.0,45320.0,36992.0,28282.0,19046
webicon_goodlifewithyou.png,91557,91108.0,25830.0,24578.0,20588.0,15970.0,11638
3623451-XXL.jpg,28956,28568.0,16948.0,16092.0,12696.0,9588.0,6076
3623361-S.jpg,7253,6902.0,5084.0,4890.0,4064.0,3182.0,2066
icon-video.png,1480,1130.0,2472.0,2434.0,2300.0,2150.0,1922
3623285-S.jpg,5865,5514.0,3518.0,3320.0,2712.0,2044.0,1326
3623305-S.jpg,5384,5041.0,3166.0,3022.0,2424.0,1858.0,1172
1771429-S.jpg,5879,5528.0,3524.0,3358.0,2740.0,2054.0,1386
3623446-S.jpg,4209,3866.0,2052.0,1934.0,1554.0,1138.0,708
3623243-S.jpg,6006,5654.0,3788.0,3586.0,2942.0,2288.0,1472
3623380-S.jpg,6532,6182.0,4422.0,4196.0,3508.0,2696.0,1780
3623418-S.jpg,5833,5483.0,3566.0,3388.0,2730.0,2040.0,1272
3151816-S.jpg,5323,4979.0,3104.0,2942.0,2384.0,1862.0,1250
more.png,523,174.0,174.0,174.0,174.0,174.0,174
project_2295_600x337.jpg,86705,86251.0,25560.0,24448.0,20184.0,15152.0,10152
project_1246_600x337.jpg,175365,174800.0,18794.0,18068.0,14846.0,11506.0,8042
project_7756_600x337.jpg,173527,172902.0,21760.0,20786.0,16752.0,12480.0,8222
project_7753_600x337.jpg,95100,94622.0,18400.0,17396.0,13778.0,10364.0,6660
project_6653_600x337.jpg,264613,263959.0,30400.0,28586.0,21456.0,15102.0,9144
project_55_600x337.jpg,151765,151232.0,56758.0,54182.0,42420.0,29992.0,17382
project_789_600x337.png,102280,101814.0,26220.0,24954.0,21202.0,16790.0,11660
0810_107_600x337.jpg,59973,59552.0,19506.0,18746.0,15708.0,12486.0,8840
project_7131_1113_600x337.jpg,131354,130754.0,18712.0,17814.0,14710.0,10810.0,6988
project_7198_600x337_20210818.jpg,189420,188761.0,25866.0,24382.0,19514.0,14466.0,9310
project_3839_600x337.jpg,98431,97935.0,25116.0,23700.0,19058.0,14176.0,9176
project_1155_600x337.png,111147,110660.0,18332.0,17380.0,14492.0,11346.0,7582
appstore.png,2808,2457.0,2452.0,2378.0,2136.0,1802.0,1412
googleplay.png,3276,2926.0,2770.0,2698.0,2386.0,2012.0,1538
menu-home.png,1990,1667.0,1052.0,1030.0,1028.0,1038.0,1028
menu-hot.png,3410,3085.0,1658.0,1680.0,1670.0,1656.0,1670
menu-live.png,2675,2351.0,2552.0,2494.0,2208.0,1876.0,1498
menu-theme.png,2772,2450.0,1284.0,1278.0,1278.0,1280.0,1280
menu-activity.png,2863,2541.0,1518.0,1518.0,1494.0,1502.0,1492
icon-extendnews.png,533,184.0,258.0,250.0,224.0,208.0,170
logo-title-s.png,1489,1139.0,1868.0,1848.0,1706.0,1564.0,1394
top.png,2175,1825.0,1988.0,1962.0,1842.0,1720.0,1548
icon-project.png,1493,1151.0,182.0,186.0,182.0,188.0,182
icon-video2.png,1480,1130.0,2472.0,2434.0,2300.0,2150.0,1922
social-media.png,11162,10801.0,11392.0,10976.0,9578.0,8036.0,6428
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=%E4%B8%89%E7%AB%8B%E6%96%B0%E8%81%9E%E7%B6%B2%20SETN.com&time=1650629780806&time_zone_offset=-300&screen_params=360x640x24&java_enabled=0&cooki,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
collect?v=1&_v=j96&a=356724152&t=pageview&_s=1&dl=https%3A%2F%2Fwww.setn.com%2Fm%2F&ul=en-us&de=UTF-8&dt=%E4%B8%89%E7%AB%8B%E6%96%B0%E8%81%9E%E7%B6%B2%20SETN.com&sd=24-bit&sr=360x640&vp=360x640&je=0&_,55,35.0,44.0,44.0,44.0,44.0,44
b2?c1=2&c2=20617561&ns__t=1650629780894&ns_c=UTF-8&cv=3.5&c8=%E4%B8%89%E7%AB%8B%E6%96%B0%E8%81%9E%E7%B6%B2%20SETN.com&c7=https%3A%2F%2Fwww.setn.com%2Fm%2F&c9=,190,0.0,,,,,
collect?v=1&_v=j96&a=356724152&t=pageview&_s=1&dl=https%3A%2F%2Fwww.setn.com%2Fm%2F&ul=en-us&de=UTF-8&dt=%E4%B8%89%E7%AB%8B%E6%96%B0%E8%81%9E%E7%B6%B2%20SETN.com&sd=24-bit&sr=360x640&vp=360x640&je=0&_,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-117496391-1&cid=1632444516.1650629781&jid=519092&_u=aGDAiEABBAAAAE~&z=1501512271,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-117496391-1&cid=1632444516.1650629781&jid=519092&_u=aGDAiEABBAAAAE~&z=1501512271,501,42.0,72.0,72.0,72.0,72.0,72
3618129-XXL.jpg,40778,40389.0,28376.0,26578.0,21560.0,16394.0,10026
3621727-S.jpg,3763,3413.0,1770.0,1644.0,1296.0,990.0,656
3016076-S.jpg,5860,5509.0,3990.0,3822.0,3164.0,2388.0,1426
3264040-S.jpg,5171,4821.0,3120.0,2978.0,2444.0,1854.0,1216
3621899-S.jpg,5737,5385.0,3426.0,3244.0,2616.0,2024.0,1338
3622817-S.jpg,6426,6077.0,4328.0,4168.0,3380.0,2624.0,1620
3621444-S.jpg,5537,5187.0,3372.0,3200.0,2578.0,1964.0,1246
3601373-S.jpg,5835,5483.0,3740.0,3516.0,2842.0,2136.0,1370
3620074-S.jpg,3672,3319.0,1706.0,1638.0,1308.0,960.0,546
3620310-S.jpg,4950,4598.0,2808.0,2630.0,2110.0,1606.0,990
3623418-XXL.jpg,26926,26540.0,15046.0,14098.0,11356.0,8350.0,5326
3577179-XXL.jpg,43425,43027.0,32102.0,30716.0,24466.0,18444.0,10990
3623343-PH.jpg,111315,110846.0,75926.0,73014.0,62124.0,48620.0,34432
mqdefault.jpg,21331,21223.0,14944.0,14382.0,11620.0,8886.0,5776
mqdefault.jpg,22547,22463.0,14650.0,13840.0,11362.0,8634.0,5630
mqdefault.jpg,22340,22165.0,17460.0,16628.0,13716.0,10566.0,6886
mqdefault.jpg,21825,21296.0,13528.0,13032.0,10808.0,8332.0,5718
