img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.shomanews.com/,303458,303056.0,,,,,
logo_header.png,5459,5197.0,2526.0,2526.0,2526.0,2528.0,2526
%D8%B4%D8%A8+%D9%82%D8%AF%D8%B1.jpg,14440,14045.0,6792.0,6488.0,5282.0,4048.0,2894
%D9%82%D8%A7%D9%84%DB%8C%D8%A8%D8%A7%D9%81.jpg,7821,7426.0,4262.0,4062.0,3160.0,2312.0,1438
%D8%AD%D9%82%D9%88%D9%82+%DA%A9%D8%A7%D8%B1%DA%AF%D8%B1%D8%A7%D9%86.jpg,17253,16858.0,11070.0,10470.0,8732.0,6764.0,4492
%D8%A8%DB%8C%D8%AA+%DA%A9%D9%88%DB%8C%D9%86.jpg,6379,5984.0,4212.0,4016.0,3254.0,2564.0,1634
%D9%87%D9%85%D8%B3%D8%B1+%D9%BE%D9%85%D9%BE%D8%A6%D9%88.jpg,5603,5208.0,2840.0,2718.0,2192.0,1690.0,1070
%D8%B3%D9%87%D8%A7%D9%85+%D8%B9%D8%AF%D8%A7%D9%84%D8%AA.jpg,7891,7496.0,5100.0,4834.0,3946.0,3054.0,1988
%D8%AD%D9%82%D9%88%D9%82+%D8%A8%D8%A7%D8%B2%D9%86%D8%B4%D8%B3%D8%AA%DA%AF%D8%A7%D9%86.jpg,5883,5488.0,3538.0,3410.0,2772.0,2110.0,1444
%D9%82%D8%AD%D8%B7%DB%8C-%D8%AC%D9%87%D8%A7%D9%86%DB%8C%2B%DA%AF%D9%86%D8%AF%D9%85.jpg,10750,10355.0,8880.0,8634.0,7316.0,5962.0,4034
%D9%81%D8%A7%D8%A6%D8%B2%D9%87+%D9%87%D8%A7%D8%B4%D9%85%DB%8C.jpg,5640,5245.0,2800.0,2640.0,2138.0,1664.0,1122
%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA+%D8%AE%D8%A7%D9%86%DA%AF%DB%8C.jpg,5696,5301.0,3348.0,3154.0,2610.0,1954.0,1338
%D9%82%DB%8C%D9%85%D8%AA+%D9%86%D9%81%D8%AA.jpg,5549,5154.0,2534.0,2358.0,1860.0,1430.0,920
%D9%87%D9%88%D8%A7%D8%B4%D9%86%D8%A7%D8%B3%DB%8C+.jpg,8082,7687.0,5690.0,5450.0,4430.0,3332.0,2042
%D8%B7%D8%A8%D8%AE+%D8%A8%D8%B2%D8%B1%DA%AF%D8%AA%D8%B1%DB%8C%D9%86+%DA%A9%D8%A8%D8%A7%D8%A8+%DA%A9%D9%88%D8%A8%DB%8C%D8%AF%D9%87+%D8%AC%D9%87%D8%A7%D9%86.jpg,4362,3968.0,2144.0,2060.0,1654.0,1318.0,884
%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF+%D8%A8%D8%B9%D8%AF+%D8%A7%D8%B2+%D8%AD%D8%B0%D9%81+%D8%AA%D8%AD%D8%B1%DB%8C%D9%85.jpg,7419,7024.0,4696.0,4512.0,3710.0,2762.0,1750
%D9%BE%D8%B1%D9%88%D8%A7%D8%B2+%D9%85%D8%B4%D9%87%D8%AF.jpg,5625,5230.0,3202.0,2998.0,2404.0,1778.0,1134
%D9%88%D8%A7%D9%85.jpg,8811,8416.0,4880.0,4626.0,3780.0,2826.0,1864
%D9%82%DB%8C%D9%85%D8%AA+%D8%AE%D9%88%D8%AF%D8%B1%D9%88.jpg,6834,6439.0,4266.0,4024.0,3386.0,2536.0,1666
%D8%A8%D8%A7%D9%86%DA%A9+%D9%85%D8%B1%DA%A9%D8%B2%DB%8C.jpg,4958,4563.0,2696.0,2582.0,2004.0,1544.0,926
%D8%B1%D9%85%D8%B2+%D9%BE%D9%88%D9%84+%D9%85%D9%84%DB%8C.jpg,6726,6331.0,4058.0,3868.0,3186.0,2424.0,1580
%D8%AF%D9%84%D8%A7%D8%B1+%D9%88+%D8%B3%DA%A9%D9%87.jpg,8902,8507.0,6718.0,6456.0,5416.0,4136.0,2636
%D8%B1%D9%85%D8%B2+%D8%A7%D8%B1%D8%B2+%D9%85%D9%84%DB%8C.jpg,8843,8448.0,6210.0,5974.0,4900.0,3844.0,2452
aasaam.png,3428,3167.0,1252.0,1228.0,1150.0,1084.0,992
%D9%85%D9%81%DB%8C%D8%AF+%2F+%D8%A7%D8%B3%D8%AA%DA%A9%DB%8C.gif,141066,140703.0,409510.0,393336.0,334846.0,264684.0,181336
%D9%87%D8%AF%D9%81%2F+%D9%87%D8%AF%D8%B1.gif,145774,145411.0,275412.0,265960.0,230264.0,187512.0,134486
%D8%A7%D8%B1%D8%B2+%D8%AC%D9%88+%D8%A7%D8%B3%D8%AA%DA%A9%DB%8C+%D8%A2%D8%B0%D8%B1+%D9%85%D8%A7%D9%87.gif,99180,98818.0,157690.0,148178.0,125876.0,99618.0,69710
Xus1zDGU20kU&jsv=20130128&user_lang=en-US,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
collect?v=1&_v=j96&a=1498769341&t=timing&_s=2&dl=https%3A%2F%2Fwww.shomanews.com%2F&ul=en-us&de=UTF-8&dt=%D9%BE%D8%A7%DB%8C%DA%AF%D8%A7%D9%87%20%D8%AE%D8%A8%D8%B1%DB%8C%20%D8%B4%D9%85%D8%A7%20%D9%86%D,55,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,1097186,,,,,,
totalByteWeight,1625718,,,,,,
