img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.slideshare.net/,24962,119430.0,,,,,
slideshare-scribd-logo@2x.png,3041,2746.0,3712.0,3608.0,3336.0,3054.0,2746
slideshare-scribd-logo.png,1941,1474.0,1580.0,1550.0,1416.0,1300.0,1156
slideshare_logo.svg,12987,12630.0,,,,,
plus.svg,947,576.0,,,,,
scribd_logo.svg,3757,3404.0,,,,,
studying.svg,16428,16174.0,,,,,
slideshareisjoiningscribd-200811191829-thumbnail-3.jpg?cb=1597174152,7290,6924.0,5538.0,5164.0,3966.0,3314.0,2020
10254techvisiontrend1awcp-200206101024-thumbnail-3.jpg?cb=1596755216,10392,9998.0,7848.0,7208.0,5134.0,4196.0,2700
hp_mobile_header.jpg?cb=af36c5d4d5e9e3a0b5d25bdadbfc06869166df99,6348,5882.0,3054.0,2580.0,1814.0,1336.0,884
datareportal20200130gd001digital2020globaldigitaloverviewjanuary2020v01-200130025629-thumbnail-3.jpg?cb=1596755441,6312,5788.0,4640.0,4382.0,3528.0,2944.0,1900
__utm.gif?utmwv=5.7.2&utms=1&utmn=875930797&utmhn=www.slideshare.net&utme=8(member_type)9(LOGGEDOUT)11(1)&utmcs=UTF-8&utmsr=360x640&utmvp=360x640&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Share%2,54,35.0,44.0,44.0,44.0,44.0,44
__utm.gif?utmwv=5.7.2&utms=2&utmn=323393345&utmhn=www.slideshare.net&utmt=event&utme=5(homepage_loggedout*pageload)8(member_type)9(LOGGEDOUT)11(1)&utmcs=UTF-8&utmsr=360x640&utmvp=360x640&utmsc=24-bit&,55,35.0,44.0,44.0,44.0,44.0,44
whattoupload-150527194759-lva1-app6891-thumbnail-3.jpg?cb=1596487126,13425,12910.0,9780.0,9126.0,6484.0,5200.0,3246
beagreatproductleader-amplifyoct2019v5-191007205738-thumbnail-3.jpg?cb=1580173593,2459,1946.0,1528.0,1408.0,1200.0,986.0,754
trilliondollarcoachslideshare-190415231411-thumbnail-3.jpg?cb=1642766082,10858,10342.0,8270.0,7674.0,5578.0,4630.0,2774
apidays19-200125062048-thumbnail-3.jpg?cb=1580173469,8209,7694.0,6464.0,6222.0,5064.0,4360.0,3092
pageTransferSize,513647,,,,,,
totalByteWeight,1244487,,,,,,
