img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.souq.com/,595,0.0,,,,,
cutover_skyline_banner_rtl.jpg,58669,58184.0,6546.0,6224.0,5214.0,4448.0,3808
?id=284342475053577&ev=PixelInitialized&dl=https%3A%2F%2Fegypt.souq.com%2Feg-ar%2Fsouq-now-amazon.php%3Fref%3DSQEG-mWEB-GT301&rl=&if=false&ts=1650670335864,409,44.0,,,,,
site?res=360x640&lang=en&client_id=20104&product_category=default&item_identifier=%3CITEM%20ID%3E&_ur=27713376&_ref=,67,0.0,72.0,72.0,72.0,72.0,72
?random=1650670336458&cv=9&fst=1650668400000&num=1&bg=ffffff&hl=ar&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=ecomm_pag,548,42.0,,,,,
?random=1650670336458&cv=9&fst=1650668400000&num=1&bg=ffffff&hl=ar&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=ecomm_pag,548,42.0,,,,,
?random=1650670336463&cv=9&fst=1650668400000&num=1&bg=ffffff&hl=ar&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=ecomm_pag,108,42.0,,,,,
?random=1650670336463&cv=9&fst=1650668400000&num=1&bg=ffffff&hl=ar&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&data=ecomm_pag,108,42.0,,,,,
pageTransferSize,1285526,,,,,,
totalByteWeight,2902636,,,,,,
