img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.springer.com/,369,0.0,,,,,
logo-print.gif,1556,1185.0,1670.0,1604.0,1376.0,1084.0,770
v1,6413,5862.0,,,,,
spcom-img-homepage-teaser,11594,11175.0,3616.0,3416.0,2694.0,2072.0,1336
spcom-img-homepage-teaser,16448,16027.0,418.0,404.0,314.0,270.0,234
spcom-img-homepage-teaser,29980,29561.0,378.0,366.0,322.0,274.0,234
spcom-img-homepage-teaser,16534,16112.0,6404.0,6020.0,4888.0,3752.0,2416
spcom-img-homepage-teaser,16929,16508.0,6762.0,6408.0,5228.0,4018.0,2612
spcom-img-homepage-teaser,11605,11736.0,,,,,
spcom-img-homepage-teaser,5648,5810.0,,,,,
spcom-img-homepage-teaser,5888,6058.0,,,,,
spcom-img-homepage-teaser,8882,9032.0,,,,,
logo-springernature_dark.png,2437,2066.0,1092.0,1092.0,1092.0,1092.0,1092
bg.png,2991,2619.0,146.0,142.0,142.0,138.0,138
bg-mobile-header.png,1332,961.0,66.0,66.0,62.0,62.0,60
logo.png,2671,2300.0,1462.0,1438.0,1330.0,1218.0,1110
springer-sprite-s970352aafb.png,149625,149099.0,44512.0,43554.0,39472.0,34548.0,28846
logo_sprite_high_res.png,13572,13185.0,8344.0,8006.0,7028.0,6064.0,5242
wt?p=405in1360x64024116506533873440360x6400&tz=5&eid=2165065338700713829&one=1&fns=0&la=en&cg1=in&cp5=cms-page-group-unmapped&fvc=202204222349&lvc=202204222349&pu=https%3A%2F%2Fwww.springer.c,285,0.0,,,,,
0?ti=5012007&tm=gtm002&Ver=2&mid=001d263e-06e1-4ea5-9011-9b0ecdca088e&sid=fc684be0c26c11ecbff4a3ec7c03c5ee&vid=fc687ad0c26c11ecb98dd1c274dd1044&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Spr,153,0.0,,,,,
a?id=GTM-NC7PR95&cv=16&v=3&t=t&pid=1673656116&rv=4k0&es=1&e=gtm.init_consent&eid=7&tc=1&z=0,17,0.0,,,,,
a?id=GTM-NC7PR95&cv=16&v=3&t=t&pid=1673656116&rv=4k0&es=1&e=gtm.init&eid=8&tc=1&z=0,17,0.0,,,,,
a?id=GTM-NC7PR95&cv=16&v=3&t=t&pid=1673656116&rv=4k0&es=1&e=gtm.js&eid=9&tc=1&tr=1asprv.5asprv&ti=1asprv.1asprv&z=0,17,0.0,,,,,
?id=814466165785823&ev=PageView&dl=https%3A%2F%2Fwww.springer.com%2Fin&rl=&if=false&ts=1650653389117&sw=360&sh=640&v=2.9.57&r=stable&a=tmSimo-GTM-WebTemplate&ec=0&o=30&fbp=fb.1.1650653389116.779087674,411,44.0,,,,,
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o25ys&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=0a9fd110-8ad6-45fd,355,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=o25ys&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=0a9fd110-8ad6-45fd,338,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&aip=1&a=410218248&t=pageview&_s=1&dl=https%3A%2F%2Fwww.springer.com%2Fin&ul=en-us&de=UTF-8&dt=Springer%20-%20International%20Publisher%20Science%2C%20Technology%2C%20Medicine&sd=24-,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&aip=1&a=410218248&t=pageview&_s=1&dl=https%3A%2F%2Fwww.springer.com%2Fin&ul=en-us&de=UTF-8&dt=Springer%20-%20International%20Publisher%20Science%2C%20Technology%2C%20Medicine&sd=24-,55,35.0,44.0,44.0,44.0,44.0,44
