img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.superhaber.tv/,25813,200141.0,,,,,
resized-c304a-51a01aa6asker-lb5u-he-v4tG_headline.jpg.webp,13839,13526.0,12058.0,11588.0,8932.0,6262.0,3994
header-logo-red@2x.png,8777,8428.0,4516.0,4406.0,4148.0,3826.0,3440
resized-c304a-51a01aa6asker-lb5u-he-v4tG_headline.jpg.webp,37844,37506.0,12058.0,11588.0,8932.0,6262.0,3994
superhabertv-youtube-headline@2x.png?v1,3377,3038.0,2502.0,2482.0,2434.0,2354.0,2276
ekonomi-kulisleri@2x.png,5274,4929.0,2548.0,2542.0,2548.0,2544.0,2548
youtube.svg,672,551.0,,,,,
search.svg,566,305.0,,,,,
menu.svg,495,154.0,,,,,
youtube-play-red.svg,775,710.0,,,,,
photo_camera-white.svg,590,357.0,,,,,
expand_less-white.svg,492,143.0,,,,,
expand_more-white.svg,491,143.0,,,,,
appleinc.svg,830,782.0,,,,,
android.svg,910,1152.0,,,,,
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=SuperHaber%2C%20Son%20Dakika%20Haberler%20-%20S%C3%BCper%20Haber&time=1650728937833&time_zone_offset=-300&screen_params=360x640x24&java_enabled,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
cocukkkk-uqlb-headline-CU3U_headline.jpg.webp,31488,31158.0,27526.0,26376.0,19248.0,13314.0,8372
4p-yOYX_cover.jpg.webp,38463,38124.0,14624.0,13988.0,12046.0,8614.0,6024
bell.png,1759,1155.0,604.0,588.0,542.0,500.0,456
14919_mioY.jpg,30480,30143.0,12334.0,11570.0,9516.0,7260.0,4820
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-53462249-1&cid=1227478547.1650728938&jid=1051991394&_u=IEBAAEAAAAAAAC~&z=665356971,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-53462249-1&cid=1227478547.1650728938&jid=1051991394&_u=IEBAAEAAAAAAAC~&z=665356971,501,42.0,72.0,72.0,72.0,72.0,72
elaa-vtlo-cover-rKQ2_cover.jpg.webp,14425,14112.0,5174.0,5018.0,4014.0,2842.0,1866
23-nisan-manset-jEdc_cover.jpg.webp,20773,20452.0,12424.0,11818.0,9576.0,6110.0,3852
?random=1650728938912&cv=9&fst=1650726000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
?random=1650728938912&cv=9&fst=1650726000000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
ak-parti-manisa-milletvekili-tamer-ayFC_cover.jpg.webp,21791,21460.0,5740.0,5478.0,3952.0,2442.0,1542
?random=1902809696&cv=9&fst=1650728938919&num=1&label=qmbKCOaelvQCEO2s4P4C&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_n,64,42.0,,,,,
709492066456376879,21924,21562.0,18196.0,17560.0,12680.0,10144.0,6642
tr.png,3161,3057.0,1908.0,1856.0,1608.0,1362.0,1012
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
l?ebcid=ALh7CaSZF1ojSvgakqeD0oo3w2gRV3H-3lgP3g7nyEwJn28RubBGKhwD9FerFJC9zJOOfpTo7d2apwkbRXeCQ51YjRS3W2XABQ,0,0.0,,,,,
adview?ai=Cqvkc6x9kYoCJGISr1wa6gaq4C76K4b1pl5Tvgt8P29keEAEgwtzza2DL3LQFyAECqQI0NbqfaTVyPuACAKgDAcgDCKoE_QFP0KO7pO0BVvxG18wscGf_LcD73w17gjbdeax00dfvJ2rQR9yjEkbbjM56tA6XfUHcphUz7RUdSzUstW6buqLbDnc1jHvME,0,0.0,,,,,
si?st=NO_DATA,0,0.0,,,,,
pageTransferSize,1415287,,,,,,
totalByteWeight,3755645,,,,,,
