img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.td.com/,175,0.0,,,,,
td-logo.png,3251,3175.0,644.0,616.0,552.0,450.0,360
country_ca_tcm382-273916.png,272,230.0,390.0,380.0,334.0,282.0,224
country_us_tcm382-273917.png,201,156.0,574.0,548.0,498.0,462.0,358
ESG_Landing_Page-main_image_tcm382-371070.jpeg,212548,212362.0,16458.0,15588.0,12308.0,9088.0,5914
Reimagining-the-future-of-TD-branches_tcm382-361087.jpeg,807746,807235.0,73796.0,69466.0,55014.0,40016.0,24500
Protecting-yourself-from-fraud_tcm382-361089.jpg,1645048,1644101.0,130568.0,120552.0,94120.0,68904.0,45790
sustainabilityLeader_tcm382-285697.svg,1215,2175.0,,,,,
bestWorkplace_tcm382-285698.svg,1356,2788.0,,,,,
bestMobileApp_tcm382-285699.svg,864,1450.0,,,,,
Footer_CHAIR_glow_approved_636x566_tcm382-273931.png,58745,58651.0,7656.0,7552.0,7266.0,6924.0,6638
About_TD_Banner-mobile_tcm382-290979.jpg,52897,52801.0,16116.0,15084.0,11206.0,7724.0,4824
e.gif?msg=s%20is%20not%20defined&lnn=-1&fn=&cid=822&client=tdb&publishPath=public-ca&rid=-1&did=-1&errorName=ReferenceError,106,0.0,,,,,
0?ti=5188219&Ver=2&mid=ef8492a7-15e6-4e58-960f-cd3bdcb64f16&sid=fe0dc840c26511ec824f958d1b1e446d&vid=fe0de200c26511eca1fc998bca4af79c&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=About%20TD%20,177,0.0,,,,,
ibs:dpid=411&dpuuid=YmLtEQAAAHf-9AQD,945,42.0,,,,,
token?pid=6404&puid=47552594269646529802956073087069185872&gdpr=0&gdpr_consent=,719,0.0,,,,,
