img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ted.com/,65246,626852.0,,,,,
membership_banner.png?u%5Br%5D=2&u%5Bs%5D=0.5&u%5Ba%5D=0.8&u%5Bt%5D=0.03&quality=80&w=1080,24630,24350.0,17890.0,17770.0,17514.0,17446.0,17178
ted2019_20190419_1ma7278.jpg?u%5Br%5D=2&u%5Bs%5D=0.5&u%5Ba%5D=0.8&u%5Bt%5D=0.03&quality=82,107948,107738.0,49982.0,46008.0,32652.0,22726.0,14812
ElonMuskExtendedInterview_2022-embed.jpg?u%5Br%5D=2&u%5Bs%5D=0.5&u%5Ba%5D=0.8&u%5Bt%5D=0.03&quality=80&w=828,40374,40190.0,84654.0,78458.0,60214.0,45750.0,32988
v.gif?cd=0&a=613676&d=ted.com&u=D494DD641FD75DAE32CB4D71312715873&h=9f00a6c196875d68864d733e16601a7e&t=false&r=0.7149595520896963,83,0.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=446130192&t=event&ni=1&_s=2&dl=https%3A%2F%2Fwww.ted.com%2F&ul=en-us&de=UTF-8&dt=TED%3A%20Ideas%20Worth%20Spreading&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=homepage.pancake&ea=imp,194,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=446130192&t=event&ni=1&_s=3&dl=https%3A%2F%2Fwww.ted.com%2F&ul=en-us&de=UTF-8&dt=TED%3A%20Ideas%20Worth%20Spreading&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=homepage.pancake&ea=imp,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=446130192&t=event&ni=1&_s=4&dl=https%3A%2F%2Fwww.ted.com%2F&ul=en-us&de=UTF-8&dt=TED%3A%20Ideas%20Worth%20Spreading&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=homepage.ribbon&ea=impr,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=446130192&t=pageview&_s=5&dl=https%3A%2F%2Fwww.ted.com%2F&dp=%2F&ul=en-us&de=UTF-8&dt=TED%3A%20Ideas%20Worth%20Spreading&sd=24-bit&sr=360x640&vp=360x640&je=0&_u=YEBAAAABCAAAAC~&ji,91,35.0,44.0,44.0,44.0,44.0,44
b2?c1=2&c2=7341760&ns__t=1650728736309&ns_c=UTF-8&cv=3.5&c8=TED%3A%20Ideas%20Worth%20Spreading&c7=https%3A%2F%2Fwww.ted.com%2F&c9=,189,0.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-40781755-2&cid=895900211.1650728736&jid=1027003164&_u=YEBAAAAACAAAAC~&z=937113890,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-40781755-2&cid=895900211.1650728736&jid=1027003164&_u=YEBAAAAACAAAAC~&z=937113890,501,42.0,72.0,72.0,72.0,72.0,72
BillGates_2022-embed.jpg?u%5Br%5D=2&u%5Bs%5D=0.5&u%5Ba%5D=0.8&u%5Bt%5D=0.03&quality=80&w=1080,40623,40429.0,131114.0,115636.0,80440.0,51300.0,29626
log?logid=kfk&evtid=belog&itype=HB&adt=mobile&cid=8CUETUT4L&ct=GULBERG&cc=PK&ugd=3&app=0&pht=640&pid=8PRW23HG5&dn=ted.com&servname=ssp-serving-69f45fd4bc-cvn8m&svr=042112_361_042111_322_ssp&sc=&versio,194,35.0,44.0,44.0,44.0,44.0,44
l?ebcid=ALh7CaRJV0_POVc2Uoe9vIfUEW5mmLE2sX_9Bb2es6K3a2uw2Bjd5_8SB2M8qXMDlwuxnXMrgVPIWegEL0yU38CeOhubuTmaBA,0,0.0,,,,,
9735342612437135912,156923,156488.0,34738.0,33046.0,28152.0,23228.0,15228
log?logid=kfk&evtid=cs&flt=0&origin=1&pvgid=data-co&ovsid=bb422497-8a8b-4db5-880c-25c426dd9767&cs=15&vsid=,194,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,1699113,,,,,,
totalByteWeight,4819834,,,,,,
