img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.usps.com/,19370,95564.0,,,,,
logo-sb.svg,1739,3557.0,,,,,
hamburger.svg,1019,546.0,,,,,
logo_mobile.svg,1013,2060.0,,,,,
search.svg,891,1465.0,,,,,
tracking.svg,950,1561.0,,,,,
mailman.svg,1009,1827.0,,,,,
location.svg,1302,2586.0,,,,,
stamps.svg,658,1103.0,,,,,
schedule_pickup.svg,1005,1775.0,,,,,
calculate_price.svg,878,2302.0,,,,,
find_zip.svg,899,1471.0,,,,,
holdmail.svg,875,1448.0,,,,,
change_address.svg,1004,1869.0,,,,,
po_box.svg,955,1639.0,,,,,
free_boxes.svg,725,1066.0,,,,,
featured_clicknship.svg,611,1078.0,,,,,
go-now.png,20445,20334.0,6718.0,6570.0,6010.0,5426.0,4692
go-now.png,8135,8026.0,6718.0,6570.0,6010.0,5426.0,4692
go-now.png,32270,32151.0,6718.0,6570.0,6010.0,5426.0,4692
go-now.png,20084,19969.0,6718.0,6570.0,6010.0,5426.0,4692
go-now.png,22245,22133.0,6718.0,6570.0,6010.0,5426.0,4692
id-homepage-hero3.jpg,91874,91727.0,15534.0,14672.0,12294.0,9926.0,7300
po-boxes-box.jpg,78234,78087.0,18656.0,17740.0,14096.0,10564.0,7194
adv-eddm-3.jpg,70981,70833.0,45346.0,43034.0,34476.0,25498.0,16136
passport-airportwindow.jpg,72259,72116.0,15496.0,14386.0,11568.0,8856.0,5912
giftcard-mom.jpg,129045,128884.0,35132.0,33292.0,26154.0,20038.0,13108
dfa-pink.jpg,122709,122533.0,33360.0,31570.0,25274.0,19226.0,12576
april-stamps.jpg,71001,70892.0,18742.0,17914.0,14520.0,10644.0,7010
supplies-dotcom8.jpg,40627,40507.0,11260.0,10798.0,8912.0,6734.0,4538
april-cards.jpg,51285,51157.0,14334.0,13562.0,11152.0,8174.0,5280
april-gifts-shirts.jpg,37949,37821.0,8268.0,7714.0,6352.0,4858.0,3354
social-facebook_1.png,1987,1873.0,414.0,396.0,360.0,316.0,270
social-twitter_2.png,1942,1842.0,628.0,618.0,598.0,584.0,562
social-pinterest_6.png,2402,2325.0,840.0,842.0,838.0,836.0,834
social-youtube_3.png,2561,2461.0,596.0,590.0,562.0,522.0,494
m_dropdown_carat_blue.svg,499,598.0,,,,,
blue-caret.svg,518,592.0,,,,,
footer-logo.png,5492,5390.0,2670.0,2634.0,2500.0,2358.0,2210
collect?v=1&_v=j96&a=1643774600&t=pageview&_s=1&dl=https%3A%2F%2Fwww.usps.com%2F&ul=en-us&de=windows-1252&dt=Welcome%20%7C%20USPS&sd=24-bit&sr=360x640&vp=360x640&je=0&_u=YCDAiEABB~&jid=839984317&gjid=,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=1643774600&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.usps.com%2F&ul=en-us&de=windows-1252&dt=Welcome%20%7C%20USPS&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Impression&ea=Element%20Visi,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=1643774600&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.usps.com%2F&ul=en-us&de=windows-1252&dt=Welcome%20%7C%20USPS&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Impression&ea=Element%20Visi,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=1643774600&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.usps.com%2F&ul=en-us&de=windows-1252&dt=Welcome%20%7C%20USPS&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Impression&ea=Element%20Visi,55,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=1643774600&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.usps.com%2F&ul=en-us&de=windows-1252&dt=Welcome%20%7C%20USPS&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Impression&ea=Element%20Visi,55,35.0,44.0,44.0,44.0,44.0,44
snoo.gif?q=CAAHAAABAAoACQAAAA8sjYvfAA==&s=758ZB25Erv8S36eTAg3XLKvz7xb4K5BBW3pi8UyQQy8=&ts=1650631147389,125,42.0,72.0,72.0,72.0,72.0,72
