img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.voot.com/,33795,153693.0,,,,,
image-16x9-placeholder-lg.jpg,5039,4598.0,1502.0,1500.0,1460.0,1416.0,1378
menu.svg,881,433.0,,,,,
icon_search_white.svg,897,449.0,,,,,
userAvatar.svg,1225,777.0,,,,,
collect?v=1&_v=j96&a=620788657&t=pageview&_s=1&dl=https%3A%2F%2Fwww.voot.com%2F&ul=en-us&de=UTF-8&dt=VOOT%20-%20Watch%20Free%20Online%20TV%20Shows%2C%20Movies%2C%20Kids%20Shows%20HD%20Quality%20on%20V,55,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-75234699-2&cid=1984385712.1650717832&jid=417063804&_u=aGBAgEABQAAAAE~&z=729573087,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-75234699-2&cid=1984385712.1650717832&jid=417063804&_u=aGBAgEABQAAAAE~&z=729573087,501,42.0,72.0,72.0,72.0,72.0,72
b2?c1=2&c2=15961802&ns__t=1650717832194&ns_c=UTF-8&cv=3.5&c8=VOOT%20-%20Watch%20Free%20Online%20TV%20Shows%2C%20Movies%2C%20Kids%20Shows%20HD%20Quality%20on%20VOOT.%20Keep%20Vooting.&c7=https%3A%2F%2F,192,0.0,,,,,
?id=334294196945197&ev=PageView&dl=https%3A%2F%2Fwww.voot.com%2F&rl=&if=false&ts=1650717834332&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650717834330.1535530106&it=1650717831137&coo=false&ex,409,44.0,,,,,
unifiedPixel?marketerId=00f2758a7dae9f84ddb888e9b1e1e6e7c8&obApiVersion=1.0-gtm&obtpVersion=1.6.0&name=PAGE_VIEW&dl=https%3A%2F%2Fwww.voot.com%2F&optOut=false&bust=07162524464453428,256,43.0,72.0,72.0,72.0,72.0,72
Voot-Logo.svg,1533,4233.0,,,,,
upgrade-line.svg,970,1021.0,,,,,
pixel?google_nid=cjp&google_sc&google_ula=913071&google_hm=ay0xdnhHdmoxcVJHZ25UVi1TNHE5VXdjOS1YTUcyTklLb0xvNXFrZw,0,0.0,44.0,44.0,44.0,44.0,44
cookie-sync?p=criteo&uid=k-WomJjD1qRGgnTV-S4q9Uwc9-XMEfGX6p0okJcw,0,0.0,72.0,72.0,72.0,72.0,72
sync.htm?pid=13079&cuid=k-wWSGAj1qRGgnTV-S4q9Uwc9-XMF-TQ1G4WNfTg,0,0.0,72.0,72.0,72.0,72.0,72
?dspInit=1001851&dspCookie=k-rcG_ND1qRGgnTV-S4q9Uwc9-XMG_Ng4wGmYFNw,0,0.0,,,,,
cksync.php?cs=3&type=crt&ovsid=k-8aNUGT1qRGgnTV-S4q9Uwc9-XMGQrIgmOeBT5Q,0,0.0,44.0,44.0,44.0,44.0,44
?taboola_hm=k-o89RhT1qRGgnTV-S4q9Uwc9-XMGgD21OmENfow,0,0.0,,,,,
sync?dsp_id=46&user_id=k-DdlTMD1qRGgnTV-S4q9Uwc9-XMEn95LzAGQjMw&expires=30,0,0.0,72.0,72.0,72.0,72.0,72
seg?add=95287&redir=https%3A%2F%2Fib.adnxs.com%2Fgetuid%3Fhttps%3A%2F%2Fdis.criteo.com%2Fdis%2Frtb%2Fappnexus%2Fcookiematch.aspx%3Fappnxsid%3D%24UID,0,0.0,72.0,72.0,72.0,72.0,72
seg?add=1005440&redir=https%3A%2F%2Fib.adnxs.com%2Fgetuid%3Fhttps%3A%2F%2Fdis.criteo.com%2Fdis%2Frtb%2Fappnexus%2Fcookiematch.aspx%3Fappnxsid%3D%24UID,0,0.0,72.0,72.0,72.0,72.0,72
v1?esig=1~7315a025058f3128185459bfaf16e164414683fc&nwid=10000545908&sigv=1,0,0.0,,,,,
spp.pl?a=10001287818027&.yp=438920,0,0.0,44.0,44.0,44.0,44.0,44
sync?_origin=1&uid=k-dPAc0z1qRGgnTV-S4q9Uwc9-XMGltRaoct0wuQ,0,0.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1733969,,,,,,
totalByteWeight,6088874,,,,,,
