img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.weixinyunduan.com/,12026,47262.0,,,,,
yunduan_logo.png,10279,10104.0,3228.0,3164.0,2936.0,2680.0,2400
QR_code.png,4106,4009.0,7034.0,6868.0,6016.0,5042.0,3776
b_bg_1_1.png,3606,3503.0,1174.0,1162.0,1142.0,1108.0,1076
b_bg_1_2.png,3394,3296.0,1208.0,1216.0,1196.0,1192.0,1192
b_content_8.png,10860,10767.0,9832.0,9346.0,7716.0,5836.0,4040
b_content_10.png,4087,4001.0,2516.0,2342.0,1960.0,1552.0,1188
b_content_2.png,37627,37502.0,17778.0,16718.0,12844.0,9100.0,5680
b_content_4.png,16803,16687.0,10296.0,9846.0,8702.0,7192.0,5534
b_content_5.png,13903,13764.0,6076.0,5812.0,4936.0,3992.0,3034
b_content_7.png,11966,11860.0,10996.0,10328.0,8494.0,6434.0,4364
wxtx1.jpg,16671,16509.0,540.0,500.0,410.0,338.0,256
wxtx2.jpg,15211,15095.0,392.0,366.0,320.0,274.0,222
wxtx3.jpg,15935,15842.0,486.0,480.0,388.0,322.0,250
wxtx4.jpg,15844,15751.0,492.0,474.0,390.0,326.0,252
QR_WZ.png,5440,5334.0,7528.0,7312.0,6450.0,5514.0,4160
QR_WGW.png,5460,5375.0,7820.0,7628.0,6718.0,5750.0,4404
QR_WYY.png,7741,7612.0,7846.0,7528.0,6636.0,5696.0,4350
QR_HYK.png,5789,5705.0,7636.0,7326.0,6544.0,5672.0,4380
QR_DZP.png,6049,5950.0,7698.0,7484.0,6580.0,5610.0,4350
QR_GGK.png,6006,5899.0,7668.0,7470.0,6550.0,5600.0,4274
QR_WTG.png,8424,8332.0,7934.0,7714.0,6732.0,5744.0,4372
QR_WXC.png,8049,7913.0,7896.0,7652.0,6652.0,5696.0,4330
QR_WJD.png,8526,8434.0,7654.0,7418.0,6526.0,5550.0,4180
QR_WWM.png,8224,8141.0,7710.0,7470.0,6604.0,5600.0,4194
QR_LYX.png,5792,5709.0,7758.0,7578.0,6638.0,5796.0,4456
QR_CJTP.png,6865,6759.0,7790.0,7596.0,6660.0,5724.0,4274
QR_WSC.png,8437,8345.0,7748.0,7466.0,6612.0,5586.0,4250
QR_WHT.png,8435,8345.0,7956.0,7654.0,6742.0,5680.0,4366
QR_YHQ.png,8069,7940.0,7634.0,7388.0,6464.0,5566.0,4218
QR_WDY.png,7755,7672.0,7814.0,7514.0,6644.0,5690.0,4258
weiyunqi.png,3934,3848.0,2056.0,2040.0,1946.0,1858.0,1740
logo_diy.png,5059,4976.0,2720.0,2682.0,2588.0,2468.0,2342
vipyunkemailogo.png,4561,4478.0,1960.0,1924.0,1840.0,1736.0,1640
weishop.png,4968,4873.0,2564.0,2548.0,2486.0,2392.0,2328
HELP.png?v1.0,11214,11117.0,6702.0,6058.0,4452.0,3174.0,2140
yunduan_logo1.png,10149,10017.0,3138.0,3076.0,2868.0,2580.0,2320
beian.png,19375,19256.0,,,,,
gongxin.png,2158,2059.0,574.0,562.0,502.0,450.0,390
b_bg_1.jpg,41504,41370.0,6868.0,6550.0,5610.0,4668.0,3914
b_bg_6.jpg,27703,27553.0,3562.0,3438.0,3084.0,2516.0,2160
b_bg_8.jpg?v=1.1,16828,16715.0,1334.0,1280.0,972.0,788.0,590
b_bg_2.jpg,59432,59296.0,8328.0,7810.0,6056.0,4666.0,3114
b_bg_4.jpg,22224,22088.0,2654.0,2590.0,2548.0,2312.0,2078
b_bg_5.jpg,19627,19487.0,2986.0,2908.0,2706.0,2412.0,2294
news.png,1914,1817.0,546.0,530.0,474.0,382.0,298
new_btn.png,1483,1410.0,386.0,394.0,372.0,352.0,342
function_icon.png,28771,28668.0,25658.0,24426.0,20358.0,16298.0,11608
dlBG.jpg,13170,13054.0,4358.0,4198.0,2840.0,2170.0,1704
pageTransferSize,673172,,,,,,
totalByteWeight,776221,,,,,,
