img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.windowsazure.com/,259,0.0,,,,,
hero-mobile.webp,5925,5740.0,4434.0,4428.0,4044.0,3786.0,3396
move-cloud.webp,1961,1786.0,1550.0,1498.0,1204.0,870.0,612
azure-arc.webp,2791,2640.0,2290.0,2206.0,1840.0,1432.0,1118
innovate-anywhere.webp,14220,13906.0,13122.0,12898.0,11934.0,10938.0,10016
azure-arc.svg,1405,3190.0,,,,,
azure-migrate.svg,909,1957.0,,,,,
azure-stack.svg,1172,3286.0,,,,,
azure-defender.svg,2461,5043.0,,,,,
kubernetes-service.svg,1424,4552.0,,,,,
cosmos-db.svg,1262,2670.0,,,,,
pageview?pid=2422&uu=d83bc619-f249-a085-91a9-cba429866284&sn=1&lv=1650702499&lhd=1650702499&hd=1650702499&pn=1&re=1&dw=360&dh=6365&ww=360&wh=640&sw=360&sh=640&dr=&url=https%3A%2F%2Fazure.microsoft.com,320,0.0,,,,,
featured.png,33146,32886.0,17288.0,16416.0,13980.0,11028.0,7384
pageEvent?value=MIewdgZglg5gXAAgEoFMA2KCGBnFB9AJgAYDiAWIgdiAAA%3D%3D&isETR=false&isCustomHashId=false&v=11.20.0&pid=2422&uu=d83bc619-f249-a085-91a9-cba429866284&sn=1&pn=1&r=313596,319,0.0,,,,,
pageEvent?value=PIOwNg9ghgJgBAHzgCQgWwKYAUoHMNwC0cAchCHAOoCWIAjAAxwCuAzhgE5AAA%3D%3D&isETR=false&isCustomHashId=false&v=11.20.0&pid=2422&uu=d83bc619-f249-a085-91a9-cba429866284&sn=1&pn=1&r=582066,319,0.0,,,,,
pageEvent?value=PIOwNg9ghgJgBAHzgQTGOAFKBzApgZwC45gBlOAXhRBgCcIBLeAdgDoAGIA%3D&isETR=false&isCustomHashId=false&v=11.20.0&pid=2422&uu=d83bc619-f249-a085-91a9-cba429866284&sn=1&pn=1&r=387953,319,0.0,,,,,
pageEvent?value=PIOwNg9ghgJgBAHzgCQgWwKYAcoHMNAA&isETR=false&isCustomHashId=false&v=11.20.0&pid=2422&uu=d83bc619-f249-a085-91a9-cba429866284&sn=1&pn=1&r=412270,319,0.0,,,,,
nba-logo.svg,2381,5041.0,,,,,
nba-mobile.webp,15098,14946.0,12640.0,12038.0,9516.0,7208.0,5246
pepsico-mobile.webp,23270,23078.0,19022.0,18262.0,14284.0,10952.0,8056
makeawish-mobile.webp,69465,69278.0,55256.0,52624.0,41146.0,29976.0,20860
accelerate-814w.webp,34486,34090.0,30286.0,29090.0,23600.0,16204.0,10988
quantum-596w.webp,9734,9280.0,7796.0,7430.0,5980.0,4416.0,3114
solutions-596w.webp,13952,13778.0,12460.0,11910.0,10298.0,6646.0,4482
tr?id=1770559986549030&ev=PageView&dpo=LDU&dpoco=0&dpost=0&noscript=1&external_id=5675fd88c61d40d6bb0d4e5a7484eb10&random=1650702506585,297,44.0,72.0,72.0,72.0,72.0,72
?guid=ON&script=0&random=1650702506585&is_vtc=1&random=3693906457&ipr=y,548,42.0,,,,,
c.gif?DI=4050&did=1&t=&ctsa=mr&CtsSyncId=55DAA8CC9B8F43AF8E6AB61AF8E31F48&MUID=391F6167A97D6AC1277E70E8AD7D6C5B,576,42.0,72.0,72.0,72.0,72.0,72
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=6a04b3e4-3814-4bbb-a930-ff82a41c89fe&_expected_cookie=fb0fe4ae0fe020d22b7d7254ba78ecc8,165,43.0,,,,,
src=6952136;type=store0;cat=oneds;u58=5675fd88c61d40d6bb0d4e5a7484eb10;match_id=5675fd88c61d40d6bb0d4e5a7484eb10;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1,0,0.0,72.0,72.0,72.0,72.0,72
pageTransferSize,912590,,,,,,
totalByteWeight,2374189,,,,,,
