img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.wixsite.com/,546,0.0,,,,,
%F0%9F%87%BA%F0%9F%87%A6.png,1095,984.0,540.0,522.0,480.0,434.0,376
311dce_b91a7b8c8d354b9591174f9ef692168c~mv2.jpg,506,390.0,2342.0,2350.0,2146.0,2086.0,1932
mobile%20(2).png,7904,7552.0,11074.0,10774.0,9322.0,7900.0,6254
311dce_3945bf5d06e344c4a70b134fd3dc46d3~mv2.jpg,888,772.0,256.0,256.0,252.0,250.0,264
Template%20Copy.png,4757,4640.0,1228.0,1194.0,1066.0,952.0,836
template.png,6701,6590.0,33042.0,31906.0,27322.0,21886.0,15958
a%20fashion%20blog%20website%20called%20Half%20Full%20.png,7248,7136.0,844.0,796.0,660.0,528.0,394
adi.png,3161,3050.0,3030.0,2900.0,2466.0,2002.0,1440
Vibrant%20photo%20of%20plants%20floats%20over%20IDE%20.jpg,887,770.0,6382.0,6070.0,5026.0,3626.0,2326
store.png,2844,2732.0,2886.0,2786.0,2436.0,2018.0,1512
bookings.png,5605,5490.0,6948.0,6530.0,5478.0,4424.0,3006
blog.png,4044,3934.0,3872.0,3700.0,3108.0,2502.0,1814
logo.png,4088,3970.0,3078.0,2940.0,2462.0,1990.0,1396
seo.png,5234,5124.0,7246.0,6852.0,5580.0,4264.0,2740
domain.png,3763,3652.0,5098.0,4918.0,4162.0,3328.0,2276
1f4e5a_4a9994cf7cbe44aba5deba197d95f827~mv2_d_1924_1924_s_2.jpg,2093,1976.0,17508.0,16722.0,13976.0,9798.0,6580
An%20online%20store%20for%20designer%20sunglasses_.png,3029,2918.0,494.0,474.0,400.0,344.0,284
Best%20Portfolio%20Websites%20to%20Fuel%20Your%20Ins.png,4664,4554.0,790.0,758.0,638.0,526.0,394
How%20to%20Create%20an%20Authentic%20Brand%20Identit.png,3227,3116.0,594.0,568.0,482.0,382.0,296
10%20Web%20Design%20Trends%20to%20Look%20Out%20For%20in%202022_desktop.jpg,1357,1240.0,496.0,474.0,390.0,302.0,228
0fdef751204647a3bbd7eaa2827ed4f9.png,673,548.0,382.0,382.0,382.0,382.0,382
c7d035ba85f6486680c2facedecdcf4d.png,793,672.0,446.0,446.0,446.0,446.0,446
78aa2057f0cb42fbbaffcbc36280a64a.png,743,624.0,428.0,428.0,428.0,428.0,428
8f6f59264a094af0b46e9f6c77dff83e.png,757,638.0,424.0,424.0,424.0,424.0,424
01c3aff52f2a4dffa526d7a9843d46ea.png,773,654.0,430.0,430.0,430.0,430.0,430
6ea5b4a88f0b4f91945b40499aa0af00.png,771,646.0,440.0,440.0,440.0,440.0,440
%F0%9F%87%BA%F0%9F%87%A6.png,2048,1922.0,540.0,522.0,480.0,434.0,376
311dce_b91a7b8c8d354b9591174f9ef692168c~mv2.jpg,3020,2896.0,718.0,726.0,646.0,614.0,552
mobile%20(2).png,190153,189928.0,11074.0,10774.0,9322.0,7900.0,6254
pblc?src=19&evid=5&_=0.8366672717246615,153,43.0,72.0,72.0,72.0,72.0,72
311dce_3945bf5d06e344c4a70b134fd3dc46d3~mv2.jpg,1504,1482.0,256.0,256.0,252.0,250.0,264
Template%20Copy.png,93072,93038.0,1228.0,1194.0,1066.0,952.0,836
collect?v=1&_v=j96&a=76295944&t=pageview&_s=1&dl=https%3A%2F%2Fwww.wix.com%2F&ul=en-us&de=UTF-8&dt=Free%20Website%20Builder%20%7C%20Create%20a%20Free%20Website%20%7C%20Wix.com&sd=24-bit&sr=360x640&vp=,55,35.0,44.0,44.0,44.0,44.0,44
0?ti=36000948&tm=gtm002&Ver=2&mid=2918fc8c-c14b-4e97-9048-830ec161d51f&sid=3d543ef0c25111ec90f065993fffab06&vid=3d546f90c25111ec9f88a50b13ca8578&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Fr,175,0.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-H314XQHSPY&cid=1671098891.1650641472&gtm=2oe4k0&aip=1&z=201159784,501,42.0,72.0,72.0,72.0,72.0,72
?tid=2615884535838&pd=%7B%22np%22%3A%22gtm%22%7D&event=init&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww.wix.com%2F%22%2C%22ref%22%3A%22%22%2C%22if%22%3Afalse%2C%22sh%22%3A640%2C%22sw%22%3A360%2C%22mh%22%3A,247,35.0,44.0,44.0,44.0,44.0,44
?event=pagevisit&ed=%7B%22np%22%3A%22gtm%22%7D&tid=2615884535838&pd=%7B%22np%22%3A%22gtm%22%7D&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww.wix.com%2F%22%2C%22ref%22%3A%22%22%2C%22if%22%3Afalse%2C%22sh%22%3,327,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-54339416-1&cid=1671098891.1650641472&jid=1580008821&_u=YGBAiEABBAAAAE~&z=421648625,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-54339416-1&cid=1671098891.1650641472&jid=1580008821&_u=YGBAiEABBAAAAE~&z=421648625,107,42.0,72.0,72.0,72.0,72.0,72
?random=1650641472033&cv=9&fst=1650639600000&num=1&label=_2AsCJvP16cBEP6d24YD&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=,108,42.0,,,,,
?random=1650641472033&cv=9&fst=1650639600000&num=1&label=_2AsCJvP16cBEP6d24YD&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=,64,42.0,,,,,
?random=1650641472039&cv=9&fst=1650639600000&num=1&label=7C_FCLqootIBEP7clrIC&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=,108,42.0,,,,,
?random=1650641472039&cv=9&fst=1650639600000&num=1&label=7C_FCLqootIBEP7clrIC&bg=ffffff&guid=ON&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=,64,42.0,,,,,
?random=653977765&cv=9&fst=1650641472036&num=1&value=0&label=Jza8CKKX8MgBEIX-keAD&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&eid=376635470&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_jav,64,42.0,,,,,
?id=704136006388169&ev=PageView&dl=https%3A%2F%2Fwww.wix.com%2F&rl=&if=false&ts=1650641474989&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650641474987.809326587&it=1650641474755&coo=false&rqm=,410,44.0,,,,,
template.png,162406,162362.0,12256.0,11832.0,10228.0,8286.0,6100
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=5ee99256-1ab0-413e-9fb4-ed2892579853&_expected_cookie=81cb90fc845e5db7b048a57883147952,142,43.0,,,,,
?id=704136006388169&ev=Microdata&dl=https%3A%2F%2Fwww.wix.com%2F&rl=&if=false&ts=1650641475494&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Free%20Website%20Builder%20%7C%20Create%20a%20Free%20We,91,44.0,,,,,
pageTransferSize,2184728,,,,,,
totalByteWeight,5543645,,,,,,
