img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.wsj.com/,108718,779110.0,,,,,
wsj-logo-alt.8c9e4a5c.svg,1253,1698.0,,,,,
?size=2&width=640&pixel_ratio=2,150997,150290.0,88.0,88.0,88.0,84.0,80
google-play.4699f3c2.svg,2604,6475.0,,,,,
appstore.a6e93ba3.svg,2168,5464.0,,,,,
rep.gif?ver=2.3.4&typ=pgv&rnd=l2al9vib6q0oxvab&sid=9222318613852486900&loc=https%3A%2F%2Fwww.wsj.com%2F&new=1&arf=0&ltm=1650641405123&ref=&tzo=-300&wsz=360x640&res=360x640&dpr=2.625&col=24&bln=en-US&c,468,43.0,44.0,44.0,44.0,44.0,44
im-529607?width=360,15113,14560.0,8764.0,8176.0,6292.0,4490.0,2678
?width=640&height=426.5&pixel_ratio=2,157127,156466.0,88.0,88.0,88.0,84.0,80
?width=621&height=795&pixel_ratio=2,176481,175787.0,88.0,88.0,88.0,84.0,80
im-529667?width=640&height=426.5&pixel_ratio=2,181395,180674.0,37544.0,35652.0,29322.0,21698.0,14250
im-529715?width=1280&height=1280,84821,84179.0,17144.0,16548.0,14248.0,11404.0,8364
?width=640&height=426.5&pixel_ratio=2,176253,175559.0,88.0,88.0,88.0,84.0,80
?size=2&width=640&pixel_ratio=2,173960,173265.0,88.0,88.0,88.0,84.0,80
?width=110&height=110&pixel_ratio=2,7406,6909.0,88.0,88.0,88.0,84.0,80
?width=110&height=110&pixel_ratio=2,18558,18042.0,88.0,88.0,88.0,84.0,80
?width=110&height=110&pixel_ratio=2,15430,14924.0,88.0,88.0,88.0,84.0,80
?width=110&height=110&pixel_ratio=2,12623,12117.0,88.0,88.0,88.0,84.0,80
?width=110&height=110&pixel_ratio=2,45657,45069.0,88.0,88.0,88.0,84.0,80
?width=110&height=110&pixel_ratio=2,7826,7330.0,88.0,88.0,88.0,84.0,80
?width=640&height=320&pixel_ratio=2,165334,164666.0,88.0,88.0,88.0,84.0,80
?width=640&height=426.5&pixel_ratio=2,170232,169554.0,88.0,88.0,88.0,84.0,80
?width=640&height=320&pixel_ratio=2,74243,73664.0,88.0,88.0,88.0,84.0,80
im-528946?width=640&height=426.5&pixel_ratio=2,134595,133952.0,29218.0,27792.0,22620.0,17392.0,11492
im-528639?width=640&height=426.5&pixel_ratio=2,272436,271641.0,55462.0,52562.0,44180.0,31074.0,16486
?width=640&height=426.5&pixel_ratio=2,289192,288371.0,88.0,88.0,88.0,84.0,80
im-528822?width=640&height=426.5&pixel_ratio=2,205145,204423.0,35366.0,33180.0,25944.0,18684.0,10994
?width=640&height=426.5&pixel_ratio=2,190663,189960.0,88.0,88.0,88.0,84.0,80
?width=640&height=426.5&pixel_ratio=2,312054,311168.0,88.0,88.0,88.0,84.0,80
?width=640&height=426.5&pixel_ratio=2,182178,181445.0,88.0,88.0,88.0,84.0,80
setuid?bidder=rubicon&account=9673&uid=L2AL9YGK-Q-BR5M&gdpr=0,601,86.0,72.0,72.0,72.0,72.0,72
ede526c2-ae79-48ed-b7bb-d84e730fe9c3,0,167.0,,,,,
eyJldmVudHMiOlt7InNlc3Npb25JZCI6InMxNjUwNjQxNDA5eGRkMGU1NTAyNjIxYjUyeDA1ODExMDEyIiwiYWNjb3VudElkIjoiMWFiYWJkZTkiLCJzdHJlYW0iOiJhZEV2ZW50cyIsImluc3RhbnRpYXRpb24iOiIwNzUwMzQ2OTYxNTA0MTMzNiIsImluZGV4Ijow,242,35.0,,,,,
ibs:dpid=411&dpuuid=YmLKAgAAALTK7QQA,945,42.0,72.0,72.0,72.0,72.0,72
9682e1c92df38b662283541614d820f0072ca613a189dad5961acf1798b44b5d?position=50&transform=crush&resize=nullx300&quality=90&colorAccurate=true,14108,13582.0,64020.0,60852.0,46582.0,35252.0,24148
eyJldmVudHMiOlt7InNlc3Npb25JZCI6InMxNjUwNjQxNDA5eGRkMGU1NTAyNjIxYjUyeDA1ODExMDEyIiwiYWNjb3VudElkIjoiMWFiYWJkZTkiLCJzdHJlYW0iOiJhZEV2ZW50cyIsImluc3RhbnRpYXRpb24iOiIwNzUwMzQ2OTYxNTA0MTMzNiIsImluZGV4Ijox,242,35.0,44.0,44.0,44.0,44.0,44
9682e1c92df38b662283541614d820f0072ca613a189dad5961acf1798b44b5d?position=50&transform=crush&resize=nullx300&quality=90&colorAccurate=true,0,13582.0,64020.0,60852.0,46582.0,35252.0,24148
eyJldmVudHMiOlt7InNlc3Npb25JZCI6InMxNjUwNjQxNDA5eGRkMGU1NTAyNjIxYjUyeDA1ODExMDEyIiwiYWNjb3VudElkIjoiMWFiYWJkZTkiLCJzdHJlYW0iOiJhZEV2ZW50cyIsImluc3RhbnRpYXRpb24iOiIwNzUwMzQ2OTYxNTA0MTMzNiIsImluZGV4Ijo2,242,35.0,,,,,
eyJldmVudHMiOlt7InNlc3Npb25JZCI6InMxNjUwNjQxNDA5eGRkMGU1NTAyNjIxYjUyeDA1ODExMDEyIiwiYWNjb3VudElkIjoiMWFiYWJkZTkiLCJzdHJlYW0iOiJhZEV2ZW50cyIsImluc3RhbnRpYXRpb24iOiIwNzUwMzQ2OTYxNTA0MTMzNiIsImluZGV4Ijox,242,35.0,44.0,44.0,44.0,44.0,44
eyJldmVudHMiOlt7InNlc3Npb25JZCI6InMxNjUwNjQxNDA5eGRkMGU1NTAyNjIxYjUyeDA1ODExMDEyIiwiYWNjb3VudElkIjoiMWFiYWJkZTkiLCJzdHJlYW0iOiJhZEV2ZW50cyIsImluc3RhbnRpYXRpb24iOiIwNzUwMzQ2OTYxNTA0MTMzNiIsImluZGV4Ijox,242,35.0,44.0,44.0,44.0,44.0,44
getId?gid=%24UID&mpk=OamVJkzNx0DZp9FcmQ0NlQUSVVlQ3UCNyUCRzUCZpVnNyUSaENTJmZjMlQ0Mlk3YhZXayB3XzVnNyUCRzUCduV2cu92YfJHckdmNyUCMENTJyBHZnZjMlEWakVWbzJXYtR0MlIXZkRWaiZ0MlQWa1RXZzZkMl02bj5CdjVmavJHcu92YpJW,689,43.0,,,,,
pbs.gif?gdpr=0&gdpr_consent=&us_privacy=&redir=https%3A%2F%2Fprebid-server.rubiconproject.com%2Fsetuid%3Fbidder%3Dcolossus%26gdpr%3D0%26gdpr_consent%3D%7B%7Bgdpr_consent%7D%26us_privacy%3D%7D%26f%3Di%,176,0.0,72.0,72.0,72.0,72.0,72
