img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.yna.co.kr/,28286,135506.0,,,,,
AKR20220423024853001_02_i_P4.jpg,0,0.0,20220.0,19144.0,15026.0,11304.0,7172
bnr_kodyssey_20201229.jpg,0,0.0,3876.0,3682.0,2924.0,2178.0,1356
AKR20220423033000001_01_i_P2.jpg,0,0.0,18306.0,17368.0,13522.0,10232.0,6602
PYH2022041506140001300_P2.jpg,0,0.0,12042.0,11358.0,8950.0,6492.0,4180
PYH2022042302130005600_P2.jpg,0,0.0,49096.0,46970.0,37726.0,27184.0,15082
PYH2021110206620001300_P2.jpg,0,0.0,34582.0,32704.0,25932.0,19094.0,11474
kr_631_20220423074048_P2.jpg,0,0.0,10304.0,9624.0,7318.0,5468.0,3644
AKR20220422114200501_01_i_P2.jpg,0,0.0,,,,,
bnr_kvphoto_20220330.jpg,0,0.0,2254.0,2122.0,1828.0,1480.0,1018
PAP20220422085201009_T2.jpg,0,0.0,3914.0,3670.0,2960.0,2234.0,1430
PAF20220413016801009_T2.jpg,0,0.0,4526.0,4258.0,3462.0,2622.0,1628
kr_659_20220422211130_T2.jpg,0,0.0,5550.0,5198.0,4156.0,3056.0,1968
PYH2022042211430001300_T2.jpg,0,0.0,6362.0,6072.0,4708.0,3380.0,1944
bnr_yfarmexpo_20220414.jpg,0,0.0,3696.0,3536.0,3012.0,2386.0,1700
MYH20220422008400534_P4.jpg,0,0.0,42196.0,40312.0,32556.0,24974.0,17240
MYH20220422016000534_P4.jpg,0,0.0,62974.0,59388.0,45608.0,33424.0,20444
MYH20220422017700534_P4.jpg,0,0.0,53530.0,50348.0,40694.0,31436.0,21306
MYH20220422015000534_P4.jpg,0,0.0,42714.0,40524.0,31940.0,23986.0,15816
MYH20220422014800534_P4.jpg,0,0.0,60604.0,57494.0,44898.0,32996.0,19990
MYH20220422018100534_P4.jpg,0,0.0,34914.0,32948.0,26780.0,21114.0,14840
PYH2022041809780001300_P2.jpg,0,0.0,19818.0,18560.0,14966.0,11300.0,7176
PYH2022042201150001300_P2.jpg,0,0.0,18952.0,17930.0,14256.0,10874.0,7206
PAP20220415013901009_P2.jpg,0,0.0,17744.0,16950.0,13542.0,10316.0,6806
PYH2022042218880006200_P2.jpg,0,0.0,6510.0,6076.0,4802.0,3438.0,2260
AKR20220423026500009_01_i_P2.jpg,0,0.0,,,,,
PGT20220422007301009_P2.jpg,0,0.0,21138.0,19998.0,16090.0,12170.0,7884
PYH2022041006970001300_P2.jpg,0,0.0,,,,,
PYH2022041001440001300_P2.jpg,0,0.0,24312.0,23096.0,18502.0,14326.0,9328
