img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.yts.mx/,572,0.0,,,,,
logo-YTS.svg,4078,23348.0,,,,,
background.jpg,18041,17568.0,3844.0,3552.0,2894.0,2394.0,1904
ajax-spinner.gif,38642,37942.0,18436.0,17592.0,7102.0,5360.0,2204
rss-icon.png,2143,1460.0,396.0,386.0,344.0,298.0,258
download.png,1954,1273.0,216.0,208.0,182.0,152.0,126
banner1080p.png,2284,1606.0,1428.0,1406.0,1296.0,1182.0,1038
banner720p.png,2394,1716.0,1720.0,1694.0,1518.0,1318.0,1082
medium-cover.jpg,33091,32426.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,18331,17673.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,28130,27471.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,28673,28010.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,32879,32221.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,30273,29611.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,19780,19116.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,39639,38979.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,44986,44322.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,26198,25538.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,31965,31290.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,29940,29284.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,15569,14917.0,4860.0,4580.0,3644.0,2760.0,1948
medium-cover.jpg,42444,41779.0,4860.0,4580.0,3644.0,2760.0,1948
pageTransferSize,1004648,,,,,,
totalByteWeight,2046207,,,,,,
