img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.znanija.com/,454,0.0,,,,,
znanija-mobile-9a37533f81.svg,593,647.0,,,,,
znanija-826ea31325.svg,1464,1909.0,,,,,
14e51a256da9bf43ecff4a6bb78636e1.jpg,2189,1875.0,1046.0,970.0,782.0,602.0,418
?f=log_3x%2B4log_9x%3D9%5C%5C%5C%5Clog_3x%2Blog_%7B3%5E2%7Dx%5E4%3D9%5C%5C%5C%5Clog_3x%2Blog_3x%5E2%3D9%5C%5C%5C%5Clog_3%28x%2Ax%5E2%29%3D9%5C%5C%5C%5C+log_3x%5E3%3D9%5C%5C%5C%5C3log_3x%3D9%5C%5C%5C%5,2229,1786.0,2154.0,2154.0,2154.0,2154.0,2154
?f=log_%7Ba%5Ek%7Db%3D%5Cfrac%7B1%7D%7Bk%7Dlog_ab%5C%5C+%5C%5C+log_%7Ba%7Db%5En%3Dn%2Alog_ab%5C%5C+%5C%5C+log_ab%2Blog_ac%3Dlog_a%28bc%29,1207,1078.0,1222.0,1222.0,1220.0,1220.0,1220
a622e9b082ded4ef2dd6e7b5e45a2e91.jpg,4024,3677.0,2012.0,1922.0,1532.0,1160.0,748
collect?v=1&_v=j96&a=1396361968&t=pageview&_s=1&dl=https%3A%2F%2Fznanija.com%2F&ul=en-us&de=UTF-8&dt=%D0%A8%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%97%D0%BD%D0%B0%D0%BD%D0%B8%D1%8F.com%20-%20%,192,35.0,44.0,44.0,44.0,44.0,44
b2?c1=2&c2=27114725&ns__t=1650657735700&ns_c=UTF-8&c8=%D0%A8%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%97%D0%BD%D0%B0%D0%BD%D0%B8%D1%8F.com%20-%20%D0%A0%D0%B5%D1%88%D0%B0%D0%B5%D0%BC%20%D0%B4%D0,189,0.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-37179308-2&cid=1637605279.1650657736&jid=2025992372&_u=aGBAgEAjQAAAAE~&z=467529821,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-37179308-2&cid=1637605279.1650657736&jid=2025992372&_u=aGBAgEAjQAAAAE~&z=467529821,501,42.0,72.0,72.0,72.0,72.0,72
790068626,297,43.0,72.0,72.0,72.0,72.0,72
advert.gif,136,43.0,72.0,72.0,72.0,72.0,72
AAuE7mDZhUtXuAP3kRWk6kNNOIdF7w3HdYfOTMpm3l-ckg=w96-h96-n,4644,4574.0,1788.0,1670.0,1346.0,988.0,628
photo.jpg,4273,4189.0,1918.0,1818.0,1452.0,1060.0,652
AAuE7mBhmKirsoTTVzrUcuaREG0TxOgWo0p6k2_KR2MFsA=w96-h96-n,3588,3495.0,1598.0,1512.0,1214.0,924.0,586
AAuE7mDTD4zK4fFbEd6B5DsCtRC_O-6ofjgUIz9zlNNhVg=w96-h96-n,1288,893.0,224.0,216.0,184.0,144.0,114
photo.jpg,660,567.0,1918.0,1818.0,1452.0,1060.0,652
download_android_app_ru.svg,2336,6084.0,,,,,
download_ios_app_ru.svg,4770,9968.0,,,,,
pageTransferSize,677669,,,,,,
totalByteWeight,2225979,,,,,,
